=========

nsubj(have-3, Don-1)
root(ROOT-0, have-3)
det(use-5, any-4)
dobj(have-3, use-5)
det(apps-9, the-7)
amod(apps-9, smart-8)
prep_for(use-5, apps-9)

=========

root(ROOT-0, Use-1)
det(tv-3, this-2)
dobj(Use-1, tv-3)
advmod(Use-1, exclusively-4)
mark(monitor-8, as-5)
det(computer-7, a-6)
nsubj(monitor-8, computer-7)
advcl(Use-1, monitor-8)
poss(Mini-12, my-10)
nn(Mini-12, Mac-11)
prep_with(monitor-8, Mini-12)

=========

advmod(bought-2, Originally-1)
root(ROOT-0, bought-2)
det(MAC-4, a-3)
dobj(bought-2, MAC-4)
num(monitor-7, 27-5)
nn(monitor-7, inch-6)
nsubj(bought-2, monitor-7)
prep_for(bought-2, 1k-9)
prep_for(bought-2, didn-11)
conj_but(1k-9, didn-11)
partmod(1k-9, didn-11)
prep_like(didn-11, it-13)
poss(1k-21, its-15)
advmod(tiny-17, so-16)
amod(1k-21, tiny-17)
neg(worth-20, not-19)
conj_and(tiny-17, worth-20)
amod(1k-21, worth-20)
prep_because(didn-11, 1k-21)

=========

prep_for(got-6, half-2)
det(i-5, that-4)
prep_of(half-2, i-5)
root(ROOT-0, got-6)
conj_and(got-6, got-6')
det(tv-12, a-7)
amod(tv-12, great-8)
num(tv-12, 40-9)
nn(tv-12, inch-10)
nn(tv-12, LED-11)
dobj(got-6, tv-12)
amod(pictures-15, gorgeous-14)
prep_with(got-6, pictures-15)
amod(sound-19, decent-17)
amod(sound-19, built-in-18)
prep_with(got-6, sound-19)
conj_and(pictures-15, sound-19)
prep_at(got-6', 230-22)
nsubj(got-6, Hertz-23)
nsubj(got-6', Hertz-23)
aux(beat-27, can-25)
neg(beat-27, not-26)
ccomp(got-6, beat-27)
dobj(beat-27, it-28)

=========

det(version-4, This-1)
num(version-4, 40-2)
nn(version-4, inch-3)
nsubj(PERFECT-6, version-4)
cop(PERFECT-6, is-5)
root(ROOT-0, PERFECT-6)
det(room-10, a-8)
nn(room-10, bed-9)
prep_for(PERFECT-6, room-10)

=========

root(ROOT-0, Get-1)
dobj(Get-1, it-2)
det(quality-6, the-4)
nn(quality-6, picture-5)
prep_for(Get-1, quality-6)

=========

dep(better-5, For-1)
amod(apps-3, smart-2)
pobj(For-1, apps-3)
root(ROOT-0, better-5)
prepc_off(better-5, getting-7)
det(player-11, a-8)
amod(player-11, smart-9)
nn(player-11, dvd-10)
dobj(getting-7, player-11)
prep_from(getting-7, Samsung-13)
det(TV-19, a-15)
nn(TV-19, Roku-16)
conj_or(Roku-16, Apple-18)
nn(TV-19, Apple-18)
prep_from(getting-7, TV-19)
conj_or(Samsung-13, TV-19)

=========

det(app-3, The-1)
amod(app-3, built-in-2)
nsubj(hit-6, app-3)
nsubj(miss-8, app-3)
cop(hit-6, is-4)
det(hit-6, a-5)
root(ROOT-0, hit-6)
conj_or(hit-6, miss-8)
mark(expect-12, so-9)
nsubj(expect-12, don-10)
advcl(miss-8, expect-12)
det(experience-15, a-13)
amod(experience-15, good-14)
dobj(expect-12, experience-15)

