=========

advmod(ordered-3, When-1)
nsubj(ordered-3, I-2)
advcl(thought-7, ordered-3)
det(phone-5, the-4)
dobj(ordered-3, phone-5)
nsubj(thought-7, I-6)
root(ROOT-0, thought-7)
nsubj(getting-10, I-8)
aux(getting-10, was-9)
ccomp(thought-7, getting-10)
det(one-13, an-11)
amod(one-13, original-12)
dobj(getting-10, one-13)
advmod(received-17, when-15)
nsubj(received-17, I-16)
advcl(saw-21, received-17)
det(phone-19, the-18)
dobj(received-17, phone-19)
nsubj(saw-21, I-20)
parataxis(thought-7, saw-21)
complm(manufactured-26, that-22)
nsubjpass(manufactured-26, it-23)
auxpass(manufactured-26, was-24)
advmod(manufactured-26, re-25)
ccomp(saw-21, manufactured-26)
prep_in(manufactured-26, Mexico-28)
advmod(disappointed-31, really-30)
amod(gonna-35, disappointed-31)
dep(still-34, but-33)
dep(disappointed-31, still-34)
nsubj(using-37, gonna-35)
aux(using-37, be-36)
parataxis(thought-7, using-37)
dobj(using-37, it-38)
advmod(gonna-47, however-40)
dep(gonna-47, if-41)
det(problems-43, any-42)
nsubj(gonna-47, problems-43)
advmod(gonna-47, then-44)
nsubj(gonna-47, I-45)
cop(gonna-47, am-46)
parataxis(thought-7, gonna-47)
ccomp(gonna-47, need-48)
aux(contact-50, to-49)
xcomp(need-48, contact-50)

