=========

nsubj(phone-5, this-1)
cop(phone-5, is-2)
advmod(nice-4, very-3)
amod(phone-5, nice-4)
root(ROOT-0, phone-5)
det(time-10, the-8)
nn(time-10, delivery-9)
nsubj(good-13, time-10)
cop(good-13, was-11)
advmod(good-13, really-12)
conj_and(phone-5, good-13)

=========

advmod(probelm-2, Only-1)
nsubj(was-3, probelm-2)
ccomp(required-13, was-3)
nsubj(unlocked-9, it-5)
cop(unlocked-9, was-6)
neg(unlocked-9, not-7)
advmod(unlocked-9, fully-8)
ccomp(was-3, unlocked-9)
nsubjpass(required-13, I-11)
xsubj(unlock-15, I-11)
auxpass(required-13, was-12)
root(ROOT-0, required-13)
aux(unlock-15, to-14)
xcomp(required-13, unlock-15)
nsubj(purchasing-17, it-16)
dep(unlock-15, purchasing-17)
dobj(purchasing-17, codes-18)

