=========

nsubj(happy-4, I-1)
cop(happy-4, am-2)
advmod(happy-4, so-3)
ccomp(love-28, happy-4)
poss(order-7, my-6)
prep_with(happy-4, order-7)
advmod(came-11, even-8)
dep(came-11, though-9)
nsubj(came-11, it-10)
advcl(was-21, came-11)
det(day-13, a-12)
tmod(came-11, day-13)
det(date-18, the-15)
amod(date-18, expected-16)
nn(date-18, delivery-17)
prep_after(came-11, date-18)
nsubj(was-21, it-20)
rcmod(order-7, was-21)
dep(ordered-25, exactly-22)
dep(exactly-22, what-23)
nsubj(ordered-25, I-24)
ccomp(was-21, ordered-25)
nsubj(love-28, I-27)
root(ROOT-0, love-28)
det(torch-31, this-29)
amod(torch-31, blackberry-30)
dobj(love-28, torch-31)
num(torch-31, 9800-32)
advmod(much-34, so-33)
advmod(love-28, much-34)

=========

root(ROOT-0, Thank-1)
nn(Amazon-3, u-2)
dobj(Thank-1, Amazon-3)

