=========

dobj(say-4, What-1)
aux(say-4, can-2)
nsubj(say-4, I-3)
root(ROOT-0, say-4)

=========

root(ROOT-0, WOW-1)

=========

nsubj(Blackberry-5, This-1)
cop(Blackberry-5, is-2)
poss(Blackberry-5, my-3)
amod(Blackberry-5, first-4)
root(ROOT-0, Blackberry-5)
amod(screen-10, first-8)
nn(screen-10, touch-9)
nsubj(smartphone-11, screen-10)
conj_and(Blackberry-5, smartphone-11)

=========

nsubj(man-6, I-1)
cop(man-6, am-2)
det(man-6, a-3)
amod(man-6, former-4)
nn(man-6, Nokia-5)
root(ROOT-0, man-6)
partmod(man-6, coming-7)
det(E61i-10, the-9)
prep_from(coming-7, E61i-10)

=========

nsubj(did-2, I-1)
root(ROOT-0, did-2)
dobj(did-2, months-3)
prep_of(months-3, research-5)
nsubj(looked-8, I-7)
conj_and(did-2, looked-8)
det(HD2-12, the-10)
nn(HD2-12, HTC-11)
prep_at(looked-8, HD2-12)
num(Omnia-16, 7-14)
nn(Omnia-16, Samsung-15)
nsubj(features-22, Omnia-16)
num(Omnia-16, 7-17)
amod(comparing-21, many-19)
nn(comparing-21, others-20)
conj_and(Omnia-16, comparing-21)
nsubj(features-22, comparing-21)
conj_and(did-2, features-22)
dobj(features-22, likes-23)
dobj(features-22, dislikes-25)
conj_and(likes-23, dislikes-25)

=========

nsubj(believe-2, I-1)
root(ROOT-0, believe-2)
nsubj(KNOW-5, you-3)
nsubj(see-34, you-3)
aux(KNOW-5, should-4)
ccomp(believe-2, KNOW-5)
dep(NEED-8, WHAT-6)
dobj(buy-14, WHAT-6)
nsubj(NEED-8, YOU-7)
dep(going-28, NEED-8)
det(smartphone-11, a-10)
prep_in(NEED-8, smartphone-11)
mark(buy-14, before-12)
nsubj(buy-14, you-13)
advcl(NEED-8, buy-14)
expl(going-28, there-16)
aux(going-28, is-17)
advmod(going-28, no-18)
num(phone-21, one-19)
nn(phone-21, PERFECT-20)
pobj(no-18, phone-21)
det(market-24, the-23)
prep_on(no-18, market-24)
prep(market-24, plus-25)
nn(beats-27, nothing-26)
dep(plus-25, beats-27)
ccomp(KNOW-5, going-28)
det(store-32, a-30)
amod(store-32, local-31)
prep_to(going-28, store-32)
ccomp(believe-2, see-34)
conj_and(KNOW-5, see-34)
conj_and(KNOW-5, touch-36)
conj_and(see-34, touch-36)
advmod(demo-39, even-38)
conj_and(KNOW-5, demo-39)
conj_or(see-34, demo-39)
det(item-41, the-40)
dobj(demo-39, item-41)

=========

mark(have-3, If-1)
nsubj(have-3, you-2)
advcl(recommend-10, have-3)
dobj(have-3, access-4)
det(pc-7, a-6)
prep_to(have-3, pc-7)
nsubj(recommend-10, I-8)
advmod(recommend-10, highly-9)
root(ROOT-0, recommend-10)
advmod(download-15, FIRST-12)
dep(download-15, that-13)
nsubj(download-15, you-14)
nsubj(connect-21, you-14)
ccomp(recommend-10, download-15)
det(Software-19, the-16)
nn(Software-19, Blackberry-17)
nn(Software-19, Desktop-18)
dobj(download-15, Software-19)
ccomp(recommend-10, connect-21)
conj_and(download-15, connect-21)
det(TORCH-23, the-22)
nsubj(get-25, TORCH-23)
aux(get-25, to-24)
xcomp(connect-21, get-25)
det(updates-28, the-26)
nn(updates-28, need-27)
dobj(get-25, updates-28)
det(SOFTWARE-32, the-30)
nn(SOFTWARE-32, CORE-31)
prep_for(get-25, SOFTWARE-32)
prep_for(get-25, APPS-34)
conj_and(SOFTWARE-32, APPS-34)
prepc_before(get-25, putting-36)
poss(stuff-38, your-37)
dobj(putting-36, stuff-38)
prep_on(putting-36, it-40)

=========

dep(phone-5, Yes-1)
nsubj(phone-5, it-2)
cop(phone-5, is-3)
det(phone-5, a-4)
root(ROOT-0, phone-5)
nsubj(pc-12, it-8)
nsubjpass(treated-16, it-8)
cop(pc-12, is-9)
advmod(pc-12, also-10)
advmod(pc-12, half-11)
conj_but(phone-5, pc-12)
aux(treated-16, must-14)
auxpass(treated-16, be-15)
conj_but(phone-5, treated-16)
conj_and(pc-12, treated-16)
advmod(as-18, so-17)
advmod(treated-16, as-18)
aux(get-20, to-19)
xcomp(treated-16, get-20)
det(PERFORMANCE-23, the-21)
amod(PERFORMANCE-23, BEST-22)
dobj(get-20, PERFORMANCE-23)
prep_from(get-20, it-25)

=========

nsubj(KING-4, Blackberry-1)
cop(KING-4, is-2)
det(KING-4, the-3)
root(ROOT-0, KING-4)
dobj(handles-12, KING-4)
nn(!!!-9, business-6)
conj_and(business-6, messengering-8)
nn(!!!-9, messengering-8)
prep_for(KING-4, !!!-9)
det(TORCH-11, The-10)
nsubj(handles-12, TORCH-11)
rcmod(KING-4, handles-12)
dep(beautifully-14, them-13)
dep(handles-12, beautifully-14)
dep(handles-12, with-16)
conj_and(beautifully-14, with-16)
pobj(with-16, ease-17)

=========

nsubj(find-2, I-1)
root(ROOT-0, find-2)
complm(lean-5, that-3)
nsubj(lean-5, I-4)
ccomp(find-2, lean-5)
advmod(lean-5, more-6)
det(keys-10, the-8)
amod(keys-10, hard-9)
prep_on(more-6, keys-10)
nn(messages-14, type-12)
amod(messages-14, long-13)
prep_to(lean-5, messages-14)
nsubj(trying-19, I-17)
xsubj(get-21, I-17)
aux(trying-19, am-18)
conj_but(find-2, trying-19)
aux(get-21, to-20)
xcomp(trying-19, get-21)
dobj(get-21, use-22)
nn(typing-25, screen-24)
prep_to(get-21, typing-25)

=========

det(screen-2, The-1)
nsubj(great-4, screen-2)
cop(great-4, is-3)
root(ROOT-0, great-4)
prepc_for(great-4, watching-6)
dobj(watching-6, videos-7)
prepc_for(great-4, reading-9)
conj_and(watching-6, reading-9)
dobj(reading-9, text-10)
appos(text-10, ebooks-12)
nsubj(think-17, I-16)
conj_but(great-4, think-17)
nsubj(bigger-24, it-18)
aux(bigger-24, could-19)
aux(bigger-24, have-20)
cop(bigger-24, been-21)
det(little-23, a-22)
npadvmod(bigger-24, little-23)
ccomp(think-17, bigger-24)

=========

expl(is-2, There-1)
root(ROOT-0, is-2)
nsubj(is-2, room-3)

=========

advmod(updated-4, Althought-1)
nsubj(updated-4, I-3)
root(ROOT-0, updated-4)
det(software-6, the-5)
dobj(updated-4, software-6)
advmod(see-12, when-7)
csubj(see-12, multitasking-8)
advmod(multitasking-8, heavily-9)
dobj(multitasking-8, you-10)
aux(see-12, can-11)
dep(software-6, see-12)
det(GLASS-15, the-13)
nn(GLASS-15, HOUR-14)
dobj(see-12, GLASS-15)
partmod(GLASS-15, popping-16)
prt(popping-16, up-17)

=========

nsubj(believe-2, I-1)
root(ROOT-0, believe-2)
complm(corrected-6, that-3)
aux(corrected-6, can-4)
auxpass(corrected-6, be-5)
ccomp(believe-2, corrected-6)
det(plus-15, a-8)
advmod(CPU-10, faster-9)
amod(plus-15, CPU-10)
advmod(MEMORY-13, more-12)
conj_and(CPU-10, MEMORY-13)
amod(plus-15, MEMORY-13)
prep_with(corrected-6, plus-15)
nsubj(found-17, I-16)
rcmod(plus-15, found-17)
det(tips-20, some-18)
amod(tips-20, helpful-19)
dobj(found-17, tips-20)
dobj(found-17, tricks-22)
conj_and(tips-20, tricks-22)
prep_on(found-17, Youtube-24)
complm(used-27, that-25)
nsubj(used-27, I-26)
nsubj(work-39, I-26)
ccomp(found-17, used-27)
aux(BOOST-29, to-28)
xcomp(used-27, BOOST-29)
xcomp(used-27, OPTIMIZE-31)
conj_and(BOOST-29, OPTIMIZE-31)
det(PERFORMANCE-33, the-32)
dobj(BOOST-29, PERFORMANCE-33)
det(TORCH-36, the-35)
prep_of(PERFORMANCE-33, TORCH-36)
aux(work-39, can-38)
ccomp(found-17, work-39)
conj_and(used-27, work-39)
amod(phones-43, most-41)
nn(phones-43, Blackberry-42)
prep_on(work-39, phones-43)

=========

det(life-3, The-1)
nn(life-3, battery-2)
nsubj(outstanding-6, life-3)
cop(outstanding-6, is-4)
advmod(outstanding-6, also-5)
root(ROOT-0, outstanding-6)

=========

nsubj(go-3, I-1)
aux(go-3, can-2)
root(ROOT-0, go-3)
det(day-5, all-4)
tmod(go-3, day-5)
num(charge-8, one-7)
prep_on(go-3, charge-8)
