=========

advmod(received-3, When-1)
nsubj(received-3, I-2)
advcl(loved-9, received-3)
det(9800-7, this-4)
nn(9800-7, Blackberry-5)
nn(9800-7, Torch-6)
dobj(received-3, 9800-7)
nsubj(loved-9, I-8)
root(ROOT-0, loved-9)
det(product-11, this-10)
dobj(loved-9, product-11)

=========

nsubj(improvement-5, It-1)
cop(improvement-5, is-2)
det(improvement-5, a-3)
amod(improvement-5, big-4)
root(ROOT-0, improvement-5)
amod(blackberry-8, traditional-7)
prep_over(improvement-5, blackberry-8)
rcmod(improvement-5, 's-9)
mark(incorporates-12, since-10)
nsubj(incorporates-12, it-11)
advcl('s-9, incorporates-12)
dobj(incorporates-12, many-13)
det(features-17, the-15)
amod(features-17, iphone-16)
prep_of(many-13, features-17)
nn(screen-21, touch-20)
prep_such_as(features-17, screen-21)
appos(screen-21, picture-23)
partmod(picture-23, sliding-24)
cc(on-27, and-25)
dep(on-27, so-26)
advmod(sliding-24, on-27)
prepc_while(sliding-24, retaining-30)
det(features-33, the-31)
amod(features-33, best-32)
dobj(retaining-30, features-33)
det(blackberry-36, the-35)
prep_of(features-33, blackberry-36)
det(keyboard-40, the-38)
amod(keyboard-40, physical-39)
dep(picture-23, keyboard-40)
det(trackball-43, the-42)
dep(picture-23, trackball-43)
conj_and(keyboard-40, trackball-43)

=========

nsubj(best-4, It-1)
cop(best-4, 's-2)
det(best-4, the-3)
root(ROOT-0, best-4)
det(worlds-7, both-6)
prep_of(best-4, worlds-7)

=========

det(screen-2, The-1)
nsubj(larger-4, screen-2)
cop(larger-4, is-3)
root(ROOT-0, larger-4)
mark(modern-13, than-5)
det(blackberry-8, a-6)
amod(blackberry-8, traditional-7)
nsubj(modern-13, blackberry-8)
nsubj(functional-15, blackberry-8)
det(design-11, the-10)
conj_and(blackberry-8, design-11)
nsubj(modern-13, design-11)
cop(modern-13, is-12)
advcl(larger-4, modern-13)
advcl(larger-4, functional-15)
conj_and(modern-13, functional-15)

=========

det(pictures-2, The-1)
nsubj(good-10, pictures-2)
partmod(pictures-2, taken-3)
mark(camera-7, with-4)
nsubj(camera-7, it-5)
cop(camera-7, is-6)
advcl(taken-3, camera-7)
cop(good-10, are-8)
advmod(good-10, quite-9)
root(ROOT-0, good-10)

=========

nsubj(easy-3, It-1)
cop(easy-3, was-2)
root(ROOT-0, easy-3)
aux(set-5, to-4)
xcomp(easy-3, set-5)
dobj(set-5, it-6)
prt(set-5, up-7)
mark(done-12, since-8)
nsubjpass(done-12, it-9)
auxpass(done-12, is-10)
advmod(done-12, basically-11)
advcl(easy-3, done-12)
det(way-16, the-14)
amod(way-16, same-15)
prep_in(done-12, way-16)
amod(blackberry-20, other-18)
amod(blackberry-20, traditional-19)
prep_as(way-16, blackberry-20)
possessive(blackberry-20, 's-21)

=========

det(feature-3, The-1)
amod(feature-3, only-2)
dobj(missed-5, feature-3)
nsubj(capabilities-8, feature-3)
nsubj(missed-5, I-4)
rcmod(feature-3, missed-5)
cop(capabilities-8, is-6)
num(capabilities-8, 4G-7)
root(ROOT-0, capabilities-8)
nsubj(read-13, I-11)
aux(read-13, had-12)
conj_but(capabilities-8, read-13)
amod(reviews-15, horrible-14)
dobj(read-13, reviews-15)
det(model-19, the-17)
num(model-19, 9810-18)
prep_on(reviews-15, model-19)
nsubj(features-22, which-21)
