=========

nsubj(need-2, I-1)
root(ROOT-0, need-2)
det(camera-4, a-3)
dobj(need-2, camera-4)
nsubj(ready-7, camera-4)
cop(ready-7, is-6)
rcmod(camera-4, ready-7)
det(instant-10, an-9)
prep_in(ready-7, instant-10)

=========

advmod(hiking-2, When-1)
advcl(have-10, hiking-2)
det(country-6, the-4)
amod(country-6, back-5)
prep_in(hiking-2, country-6)
nsubj(have-10, I-7)
aux(have-10, do-8)
neg(have-10, not-9)
root(ROOT-0, have-10)
dobj(have-10, time-11)
prep_to(have-10, mess-13)
prep_with(mess-13, settings-15)
advmod(happens-21, when-16)
det(fight-19, an-17)
amod(fight-19, eagle-18)
nsubj(happens-21, fight-19)
advmod(happens-21, suddenly-20)
advcl(have-10, happens-21)
det(sky-24, the-23)
prep_in(happens-21, sky-24)
prep_above(sky-24, me-26)

=========

det(camera-2, This-1)
nsubj(slow-6, camera-2)
cop(slow-6, is-3)
det(little-5, a-4)
npadvmod(slow-6, little-5)
ccomp(requires-14, slow-6)
det(kind-9, this-8)
prep_for(slow-6, kind-9)
prep_of(kind-9, use-11)
nsubj(requires-14, it-13)
root(ROOT-0, requires-14)
dobj(requires-14, settings-15)
dobj(requires-14, knowledge-17)
conj_and(settings-15, knowledge-17)
nn(attributes-20, camera-19)
prep_of(settings-15, attributes-20)

=========

advmod(focus-12, Even-1)
det(setting-6, the-2)
nn(setting-6, point-3)
conj_and(point-3, click-5)
nn(setting-6, click-5)
nsubj(focus-12, setting-6)
cop(focus-12, is-7)
neg(focus-12, not-8)
number(%-10, 100-9)
amod(focus-12, %-10)
nn(focus-12, auto-11)
dep(focused-21, focus-12)
mark(have-15, so-13)
nsubj(have-15, you-14)
xsubj(make-17, you-14)
advcl(focus-12, have-15)
aux(make-17, to-16)
xcomp(have-15, make-17)
acomp(make-17, sure-18)
nsubjpass(focused-21, you-19)
auxpass(focused-21, are-20)
root(ROOT-0, focused-21)
mark(shoot-24, before-22)
nsubj(shoot-24, you-23)
advcl(focused-21, shoot-24)

=========

mark(get-3, Once-1)
nsubj(get-3, I-2)
xsubj(know-5, I-2)
advcl(sure-10, get-3)
aux(know-5, to-4)
xcomp(get-3, know-5)
det(camera-7, the-6)
dobj(know-5, camera-7)
nsubj(sure-10, I-8)
cop(sure-10, am-9)
root(ROOT-0, sure-10)
aux(get-12, to-11)
xcomp(sure-10, get-12)
dobj(get-12, tons-13)
amod(shots-16, terrific-15)
prep_of(tons-13, shots-16)
mark(terrific-24, because-17)
det(quality-19, the-18)
nsubj(terrific-24, quality-19)
det(photos-22, the-21)
prep_of(quality-19, photos-22)
cop(terrific-24, is-23)
advcl(get-12, terrific-24)

=========

advmod(use-9, Definitely-1)
det(camera-4, a-2)
amod(camera-4, great-3)
nsubj(use-9, camera-4)
amod(type-8, stationary-6)
amod(type-8, tripod-7)
prep_for(camera-4, type-8)
root(ROOT-0, use-9)
det(little-12, a-11)
npadvmod(less-13, little-12)
advmod(use-9, less-13)
advmod(less-13, so-14)
prep_for(use-9, use-16)
det(spur-19, the-18)
prep_on(use-16, spur-19)
det(moment-22, the-21)
prep_of(spur-19, moment-22)
mark(get-25, until-23)
nsubj(get-25, I-24)
advcl(use-9, get-25)
det(option-28, the-26)
amod(option-28, multi-photo-27)
nsubj(figured-29, option-28)
ccomp(get-25, figured-29)
prt(figured-29, out-30)

=========

prep_in(love-4, general-2)
nsubj(love-4, I-3)
root(ROOT-0, love-4)
det(camera-6, the-5)
dobj(love-4, camera-6)

=========

det(battery-2, The-1)
nsubj(lasts-3, battery-2)
root(ROOT-0, lasts-3)
advmod(well-7, very-4)
advmod(well-7, very-6)
acomp(lasts-3, well-7)
advmod(used-9, when-8)
advcl(lasts-3, used-9)
det(monitor-12, the-11)
prep_with(used-9, monitor-12)
nsubj(is-15, which-14)
prepc_off(used-9, is-15)
dobj(need-18, what-16)
nsubj(need-18, I-17)
ccomp(is-15, need-18)
nn(hikes-22, week-20)
amod(hikes-22, long-21)
prep_for(need-18, hikes-22)

=========

det(quality-3, The-1)
amod(quality-3, video-2)
nsubj(great-7, quality-3)
cop(great-7, is-4)
neg(great-7, not-5)
advmod(great-7, so-6)
root(ROOT-0, great-7)
nsubj('s-11, that-10)
conj_but(great-7, 's-11)
neg('s-11, not-12)
advmod(bought-15, why-13)
nsubj(bought-15, I-14)
advcl('s-11, bought-15)
dobj(bought-15, it-16)

=========

nsubjpass(disappointed-5, I-1)
auxpass(disappointed-5, am-2)
det(little-4, a-3)
dep(disappointed-5, little-4)
root(ROOT-0, disappointed-5)
det(zoom-8, the-7)
prep_with(disappointed-5, zoom-8)

=========

nsubj(appear-4, It-1)
xsubj(get-6, It-1)
aux(appear-4, does-2)
neg(appear-4, not-3)
root(ROOT-0, appear-4)
aux(get-6, to-5)
xcomp(appear-4, get-6)
dobj(get-6, me-7)
dep(closer-9, any-8)
advmod(get-6, closer-9)
poss(zoom-13, my-11)
amod(zoom-13, 15x-12)
prep_than(get-6, zoom-13)
poss(Kodak-16, my-15)
prep_on(zoom-13, Kodak-16)

=========

advmod(tried-3, When-1)
nsubj(tried-3, I-2)
advcl(get-13, tried-3)
xcomp(tried-3, testing-4)
dobj(testing-4, it-5)
det(Kodak-8, the-7)
prep_against(testing-4, Kodak-8)
nsubj(get-13, I-10)
aux(get-13, could-11)
neg(get-13, not-12)
root(ROOT-0, get-13)
advmod(get-13, clarity-14)
det(focus-17, the-16)
prep_on(get-13, focus-17)
det(distance-21, the-19)
amod(distance-21, same-20)
prep_at(focus-17, distance-21)

=========

nsubj(try-3, I-1)
nsubj(understand-16, I-1)
aux(try-3, will-2)
root(ROOT-0, try-3)
advmod(now-5, again-4)
advmod(try-3, now-5)
dep(used-9, that-6)
nsubj(used-9, I-7)
aux(used-9, have-8)
ccomp(now-5, used-9)
