=========

nsubj(put-2, She-1)
root(ROOT-0, put-2)
dobj(put-2, this-3)
poss(list-7, her-5)
amod(list-7, christmas-6)
prep_on(put-2, list-7)

=========

nsubj(meant-2, that-1)
root(ROOT-0, meant-2)
nsubj(had-4, I-3)
ccomp(meant-2, had-4)
det(input-6, no-5)
dobj(had-4, input-6)
det(decision-9, the-8)
prep_into(had-4, decision-9)

=========

advmod(compare-3, Usually-1)
nsubj(compare-3, I-2)
nsubj(contrast-5, I-2)
root(ROOT-0, compare-3)
conj_and(compare-3, contrast-5)
amod(models-7, various-6)
dobj(compare-3, models-7)
amod(devices-11, high-9)
nn(devices-11, tech-10)
prep_of(models-7, devices-11)
prepc_before(compare-3, purchasing-13)
dobj(purchasing-13, them-14)

=========

dep(look-6, So-1)
nsubj(look-6, I-2)
aux(look-6, did-3)
neg(look-6, not-4)
advmod(look-6, even-5)
ccomp(bought-14, look-6)
det(camera-9, the-8)
prep_at(look-6, camera-9)
prep(look-6, online-10)
nsubj(bought-14, I-12)
advmod(bought-14, just-13)
root(ROOT-0, bought-14)
dobj(bought-14, it-15)

=========

advmod(got-4, Anyway-1)
nsubj(got-4, it-3)
root(ROOT-0, got-4)
advmod(got-4, here-5)
nsubj(loves-8, she-7)
conj_and(got-4, loves-8)
dobj(loves-8, it-9)

=========

nsubj(easy-4, It-1)
xsubj(take-6, It-1)
cop(easy-4, is-2)
advmod(easy-4, really-3)
root(ROOT-0, easy-4)
aux(take-6, to-5)
xcomp(easy-4, take-6)
det(picture-8, a-7)
dobj(take-6, picture-8)

=========

nsubj(easy-4, It-1)
cop(easy-4, is-2)
neg(easy-4, not-3)
root(ROOT-0, easy-4)
aux(get-6, to-5)
xcomp(easy-4, get-6)
det(camera-8, the-7)
dobj(get-6, camera-8)
xsubj(take-11, camera-8)
partmod(camera-8, prepared-9)
aux(take-11, to-10)
xcomp(prepared-9, take-11)
det(picture-13, a-12)
dobj(take-11, picture-13)

=========

expl(is-2, There-1)
ccomp(have-14, is-2)
det(cap-6, a-3)
amod(cap-6, big-4)
nn(cap-6, lens-5)
nsubj(is-2, cap-6)
dobj(have-8, cap-6)
nsubj(have-8, you-7)
xsubj(take-10, you-7)
rcmod(cap-6, have-8)
aux(take-10, to-9)
xcomp(have-8, take-10)
prt(take-10, off-11)
nsubj(have-14, you-13)
xsubj(press-16, you-13)
root(ROOT-0, have-14)
aux(press-16, to-15)
xcomp(have-14, press-16)
det(button-18, a-17)
dobj(press-16, button-18)
aux(pop-20, to-19)
infmod(button-18, pop-20)
prt(pop-20, up-21)
det(flash-23, the-22)
dobj(pop-20, flash-23)

=========

cc(says-18, And-1)
mark(turn-4, if-2)
nsubj(turn-4, you-3)
nsubj(leave-9, you-3)
advcl(says-18, turn-4)
det(camera-7, the-6)
prep_on(turn-4, camera-7)
conj_and(turn-4, leave-9)
advcl(says-18, leave-9)
det(cap-12, the-10)
nn(cap-12, lens-11)
dobj(leave-9, cap-12)
prt(leave-9, on-13)
det(screen-17, the-15)
nn(screen-17, lcd-16)
nsubj(says-18, screen-17)
root(ROOT-0, says-18)
nsubj(have-20, you-19)
xsubj(turn-22, you-19)
nsubj(take-27, you-19)
nsubj(turn-33, you-19)
ccomp(says-18, have-20)
aux(turn-22, to-21)
xcomp(have-20, turn-22)
det(camera-24, the-23)
dobj(turn-22, camera-24)
prt(turn-22, off-25)
ccomp(says-18, take-27)
conj_and(have-20, take-27)
det(cap-30, the-28)
nn(cap-30, lens-29)
dobj(take-27, cap-30)
prt(take-27, off-31)
ccomp(says-18, turn-33)
conj_and(have-20, turn-33)
det(camera-35, the-34)
dobj(turn-33, camera-35)
advmod(on-37, back-36)
advmod(turn-33, on-37)

=========

root(ROOT-0, kind-1)
prep_of(kind-1, annoying-3)

=========

predet(that-3, all-2)
prep_besides(take-8, that-3)
nsubj(take-8, it-5)
advmod(take-8, really-6)
aux(take-8, does-7)
root(ROOT-0, take-8)
amod(pictures-10, great-9)
dobj(take-8, pictures-10)

=========

poss(wife-2, My-1)
nsubj(jumping-4, wife-2)
aux(jumping-4, was-3)
root(ROOT-0, jumping-4)
advmod(jumping-4, up-5)
advmod(jumping-4, down-7)
conj_and(up-5, down-7)
advmod(fast-10, how-9)
dep(shoots-12, fast-10)
nsubj(shoots-12, it-11)
prepc_with(jumping-4, shoots-12)

=========

nsubj(got-2, We-1)
ccomp(stoked-22, got-2)
det(picture-4, a-3)
dobj(got-2, picture-4)
poss(year-8, our-6)
num(year-8, 8-7)
prep_of(picture-4, year-8)
amod(year-8, old-9)
amod(ollie-12, mid-11)
prep_in(old-9, ollie-12)
amod(jump-15, skateboard-14)
appos(year-8, jump-15)
nsubj(stoked-22, they-18)
cop(stoked-22, were-19)
dep(stoked-22, both-20)
advmod(stoked-22, totally-21)
root(ROOT-0, stoked-22)

=========

nsubj(have-2, We-1)
root(ROOT-0, have-2)
num(kids-5, 3-3)
amod(kids-5, little-4)
dobj(have-2, kids-5)
nsubj(have-8, you-7)
xsubj(take-10, you-7)
conj_and(have-2, have-8)
aux(take-10, to-9)
xcomp(have-8, take-10)
det(picture-12, a-11)
nsubj(want-18, picture-12)
advmod(quick-14, really-13)
dep(want-18, quick-14)
advmod(want-18, sometimes-15)
dep(want-18, if-16)
nsubj(want-18, you-17)
xcomp(take-10, want-18)
det(picture-21, a-19)
amod(picture-21, cool-20)
dobj(want-18, picture-21)

=========

det(P90-2, The-1)
nsubj(quick-5, P90-2)
cop(quick-5, is-3)
advmod(quick-5, really-4)
root(ROOT-0, quick-5)

=========

cc(takes-3, and-1)
nsubj(takes-3, it-2)
root(ROOT-0, takes-3)
det(motion-5, a-4)
dobj(takes-3, motion-5)
partmod(motion-5, jpeg-6)
dobj(jpeg-6, movies-7)
dep(takes-3, so-9)
nsubj(plus-13, that-10)
cop(plus-13, 's-11)
det(plus-13, a-12)
ccomp(takes-3, plus-13)

=========

prep_in(like-5, short-2)
nsubj(like-5, I-4)
nsubj(glad-10, I-4)
root(ROOT-0, like-5)
det(camera-7, the-6)
dobj(like-5, camera-7)
cop(glad-10, am-9)
conj_and(like-5, glad-10)
nsubj(bought-12, i-11)
ccomp(glad-10, bought-12)
dobj(bought-12, it-13)

=========

nsubj(think-2, I-1)
root(ROOT-0, think-2)
nsubj(worth-5, it-3)
cop(worth-5, was-4)
ccomp(think-2, worth-5)
dep(worth-5, it-6)

