=========

nsubj(work-4, it-1)
cop(work-4, is-2)
neg(work-4, not-3)
root(ROOT-0, work-4)
prep_as(work-4, iphone-6)
poss(software-9, its-8)
nsubj(old-11, software-9)
cop(old-11, is-10)
conj_and(work-4, old-11)
aux(update-15, can-13)
neg(update-15, not-14)
ccomp(look-18, update-15)
nsubj(look-18, it-17)
conj_and(work-4, look-18)
mark(phone-21, like-19)
csubj(phone-21, locked-20)
advcl(look-18, phone-21)
det(respone-23, no-22)
dobj(phone-21, respone-23)
nn(load-28, update-25)
conj_or(update-25, down-27)
nn(load-28, down-27)
prep_for(respone-23, load-28)

