=========

nsubj(got-2, I-1)
root(ROOT-0, got-2)
det(iPhone-4, the-3)
dobj(got-2, iPhone-4)
mwe(than-7, less-6)
quantmod(24-8, than-7)
num(hours-9, 24-8)
prep_in(got-2, hours-9)
det(box-14, no-11)
amod(box-14, original-12)
nn(box-14, iPhone-13)
nsubj(was-15, box-14)
parataxis(got-2, was-15)
prep_in(was-15, it-17)
det(scratches-20, some-19)
dobj(got-2, scratches-20)
nn(iPhone-26, back-22)
nn(iPhone-26, screen-24)
amod(iPhone-26, perfect-25)
prep_on(scratches-20, iPhone-26)
xsubj(t.-31, iPhone-26)
partmod(iPhone-26, locked-27)
aux(t.-31, to-28)
advmod(t.-31, at-29)
cc(t.-31, &-30)
xcomp(locked-27, t.-31)

