=========

nsubj(service-2, Great-1)
nsubj(respoense-4, Great-1)
root(ROOT-0, service-2)
conj_and(service-2, respoense-4)
advmod(deliver-7, fast-6)
parataxis(service-2, deliver-7)
dep(issues-11, just-9)
det(issues-11, some-10)
dep(deliver-7, issues-11)
det(program-16, the-13)
nn(program-16, HTC-14)
nn(program-16, Sense-15)
prep_with(issues-11, program-16)
cc(fixed-20, but-17)
nsubjpass(fixed-20, it-18)
auxpass(fixed-20, was-19)
ccomp(deliver-7, fixed-20)
det(phone-23, a-22)
prep_with(fixed-20, phone-23)
dobj(restore-26, phone-23)
nn(settings-25, factory-24)
nsubj(restore-26, settings-25)
rcmod(phone-23, restore-26)

