=========

advmod(bought-7, So-1)
advmod(good-4, far-2)
advmod(good-4, so-3)
pobj(So-1, good-4)
nsubj(bought-7, I-6)
root(ROOT-0, bought-7)
nsubj(use-10, this-8)
aux(use-10, to-9)
xcomp(bought-7, use-10)
amod(service-14, Straight-12)
nn(service-14, Talk-13)
prep_with(use-10, service-14)
num(unlimited-19, $-16)
number($-16, 45-17)
number($-16, mo-18)
appos(service-14, unlimited-19)
nsubj(does-23, it-22)
conj_and(bought-7, does-23)
dobj(does-23, that-24)
advmod(does-23, well-25)

=========

nsubj(responsive-4, Phone-1)
cop(responsive-4, is-2)
advmod(responsive-4, very-3)
root(ROOT-0, responsive-4)
advmod(lag-9, almost-7)
num(lag-9, zero-8)
prep_with(responsive-4, lag-9)
partmod(lag-9, switching-10)
prep_between(switching-10, screens-12)
nn(apps-15, loading-14)
prep_between(switching-10, apps-15)
conj_and(screens-12, apps-15)

=========

advmod(liking-5, So-1)
advmod(So-1, far-2)
nsubj(liking-5, I-3)
aux(liking-5, am-4)
root(ROOT-0, liking-5)
dobj(liking-5, everything-6)
det(phone-9, this-8)
prep_about(liking-5, phone-9)
dep(phone-9, coming-11)
nn(E71-14, Nokia-13)
prep_from(coming-11, E71-14)

=========

poss(speeds-3, My-1)
nn(speeds-3, download-2)
nsubj(DSL-17, speeds-3)
mark(are-9, as-5)
csubj(are-9, checked-6)
prep_on(checked-6, speedtest-8)
dep(speeds-3, are-9)
prep_over(are-9, 5mbps-11)
advmod(DSL-17, faster-13)
poss(home-16, my-15)
prep_than(faster-13, home-16)
root(ROOT-0, DSL-17)

=========

nn(size-2, Screen-1)
nsubj(makes-16, size-2)
cop(nice-4, is-3)
rcmod(size-2, nice-4)
cop(wider-8, being-6)
advmod(wider-8, slightly-7)
partmod(size-2, wider-8)
amod(phones-11, other-10)
prep_than(wider-8, phones-11)
dobj(owned-14, phones-11)
nsubj(owned-14, I-12)
aux(owned-14, have-13)
rcmod(phones-11, owned-14)
root(ROOT-0, makes-16)
ccomp(makes-16, watching-17)
dobj(watching-17, movies-18)
ccomp(makes-16, reading-20)
conj_and(watching-17, reading-20)
nn(pages-22, web-21)
nsubj(nice-23, pages-22)
xcomp(reading-20, nice-23)

=========

nsubj(ordered-2, I-1)
nsubj(like-8, I-1)
root(ROOT-0, ordered-2)
det(case-5, the-3)
amod(case-5, Case-Mate-4)
dobj(ordered-2, case-5)
advmod(like-8, really-7)
conj_and(ordered-2, like-8)
dobj(like-8, it-9)
advmod(like-8, also-11)
det(protector-15, the-12)
nn(protector-15, Zagg-13)
nn(protector-15, screen-14)
dep(like-8, protector-15)
nsubj(good-19, protector-15)
nsubj(easy-21, protector-15)
cop(good-19, is-17)
advmod(good-19, very-18)
rcmod(protector-15, good-19)
rcmod(protector-15, easy-21)
conj_and(good-19, easy-21)
aux(install-23, to-22)
xcomp(good-19, install-23)
nn(bubbles-26, air-25)
prep_without(install-23, bubbles-26)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

nsubj(use-2, I-1)
root(ROOT-0, use-2)
det(app-6, a-3)
nn(app-6, battery-4)
amod(app-6, saving-5)
nsubj(called-7, app-6)
ccomp(use-2, called-7)
nn(Defender-10, Juice-9)
dobj(called-7, Defender-10)
nsubj(shut-14, it-12)
nsubj(adjust-19, it-12)
aux(shut-14, will-13)
rcmod(Defender-10, shut-14)
prt(shut-14, down-15)
dobj(shut-14, apps-16)
advmod(adjust-19, automatically-18)
rcmod(Defender-10, adjust-19)
conj_and(shut-14, adjust-19)
dobj(adjust-19, settings-20)
det(life-25, the-22)
amod(life-25, best-23)
nn(life-25, battery-24)
prep_for(settings-20, life-25)

=========

nsubj(have-2, I-1)
root(ROOT-0, have-2)
det(problem-4, no-3)
dobj(have-2, problem-4)
det(phone-7, the-6)
prep_with(problem-4, phone-7)
partmod(phone-7, running-8)
det(day-10, all-9)
tmod(running-8, day-10)
amod(use-13, normal-12)
prep_during(running-8, use-13)
mark(used-17, if-16)
advcl(idea-30, used-17)
advmod(playing-19, heavily-18)
ccomp(used-17, playing-19)
dobj(playing-19, games-20)
ccomp(used-17, watching-22)
conj_or(playing-19, watching-22)
dobj(watching-22, movies-23)
det(charger-26, a-24)
nn(charger-26, car-25)
nsubj(idea-30, charger-26)
cop(idea-30, is-27)
det(idea-30, a-28)
amod(idea-30, good-29)
conj_but(have-2, idea-30)

