=========

nsubj(phone-5, This-1)
cop(phone-5, is-2)
det(phone-5, a-3)
amod(phone-5, wonderful-4)
root(ROOT-0, phone-5)
nsubj(doing-8, phone-5)
aux(doing-8, is-7)
rcmod(phone-5, doing-8)
dobj(doing-8, everything-9)
nsubjpass(supposed-12, it-10)
auxpass(supposed-12, is-11)
rcmod(everything-9, supposed-12)
prep(supposed-12, to-13)
pobj(to-13, now-14)
complm(have-17, that-15)
nsubj(have-17, I-16)
ccomp(supposed-12, have-17)
predet(parts-20, all-18)
det(parts-20, the-19)
dobj(have-17, parts-20)
prep_with(come-25, parts-20)
nsubjpass(supposed-23, it-21)
xsubj(come-25, it-21)
auxpass(supposed-23, was-22)
rcmod(parts-20, supposed-23)
aux(come-25, to-24)
xcomp(supposed-23, come-25)

=========

advmod(received-3, When-1)
nsubj(received-3, I-2)
advcl(was-7, received-3)
det(phone-5, the-4)
dobj(received-3, phone-5)
expl(was-7, there-6)
root(ROOT-0, was-7)
det(note-9, a-8)
nsubj(was-7, note-9)
partmod(note-9, saying-10)
complm(had-15, that-11)
nsubj(had-15, they-12)
aux(had-15, had-13)
neg(had-15, not-14)
ccomp(saying-10, had-15)
dobj(had-15, time-16)
aux(unlock-18, to-17)
xcomp(had-15, unlock-18)
dobj(unlock-18, it-19)
mark(e-mail-23, so-20)
nsubj(e-mail-23, I-21)
nsubj(get-27, I-21)
aux(e-mail-23, should-22)
advcl(unlock-18, e-mail-23)
det(seller-25, the-24)
dobj(e-mail-23, seller-25)
advcl(unlock-18, get-27)
conj_and(e-mail-23, get-27)
det(code-29, the-28)
dobj(get-27, code-29)

=========

nsubj(did-2, I-1)
root(ROOT-0, did-2)
det(hour-6, an-5)
prep_within(received-8, hour-6)
nsubj(received-8, I-7)
conj_and(did-2, received-8)
det(code-10, the-9)
nsubj(unlocked-14, code-10)
det(phone-13, the-12)
conj_and(code-10, phone-13)
nsubj(unlocked-14, phone-13)
ccomp(received-8, unlocked-14)
advmod(unlocked-14, easily-15)

=========

nsubj(received-5, I-1)
advmod(received-5, also-2)
aux(received-5, had-3)
neg(received-5, not-4)
root(ROOT-0, received-5)
det(card-11, the-6)
amod(card-11, 8g-7)
nn(card-11, mini-8)
nn(card-11, SD-9)
nn(card-11, memory-10)
dobj(received-5, card-11)
prep_with(come-16, card-11)
nsubjpass(supposed-14, it-12)
xsubj(come-16, it-12)
auxpass(supposed-14, was-13)
rcmod(card-11, supposed-14)
aux(come-16, to-15)
xcomp(supposed-14, come-16)

=========

nsubj(more-5, This-1)
cop(more-5, was-2)
det(bit-4, a-3)
npadvmod(more-5, bit-4)
root(ROOT-0, more-5)
det(problem-8, a-7)
prep_of(more-5, problem-8)
mark(take-13, since-9)
nsubj(take-13, you-10)
nsubj(save-16, you-10)
aux(take-13, can-11)
neg(take-13, not-12)
advcl(more-5, take-13)
dobj(take-13, pictures-14)
advcl(more-5, save-16)
conj_or(take-13, save-16)
dobj(save-16, anything-17)
prep_without(save-16, it-19)

=========

nsubj(asked-2, I-1)
root(ROOT-0, asked-2)
det(seller-4, the-3)
dobj(asked-2, seller-4)
det(card-8, the-6)
nn(card-8, memory-7)
prep_for(asked-2, card-8)
nsubj(sent-11, he-10)
conj_and(asked-2, sent-11)
dobj(sent-11, it-12)
advmod(sent-11, immediately-13)
nsubj(showed-15, which-14)
dep(sent-11, showed-15)
prt(showed-15, up-16)
det(days-20, a-18)
amod(days-20, few-19)
prep_in(showed-15, days-20)

=========

advmod(working-12, Now-1)
dep(have-4, that-2)
nsubj(have-4, I-3)
ccomp(Now-1, have-4)
dep(bits-7, all-5)
det(bits-7, the-6)
dobj(have-4, bits-7)
dobj(have-4, pieces-9)
conj_and(bits-7, pieces-9)
nsubj(working-12, it-10)
aux(working-12, is-11)
root(ROOT-0, working-12)
dobj(working-12, wonderfully-13)

=========

det(battery-2, The-1)
nsubj(goes-3, battery-2)
root(ROOT-0, goes-3)
advmod(so-5, quickly-4)
advmod(goes-3, so-5)
cop(sure-7, be-6)
dep(goes-3, sure-7)
aux(recharge-9, to-8)
xcomp(sure-7, recharge-9)
dobj(recharge-9, it-10)
advmod(recharge-9, often-11)
xcomp(sure-7, get-13)
conj_and(recharge-9, get-13)
det(battery-16, a-14)
nn(battery-16, car-15)
dobj(get-13, battery-16)
mark(recharge-26, so-17)
advmod(are-20, when-18)
nsubj(are-20, you-19)
advcl(recharge-26, are-20)
det(move-23, the-22)
prep_on(are-20, move-23)
nsubj(recharge-26, you-24)
aux(recharge-26, can-25)
advcl(get-13, recharge-26)
dobj(recharge-26, it-27)

