=========

det(delivered-2, the-1)
nsubj(quick-4, delivered-2)
cop(quick-4, was-3)
root(ROOT-0, quick-4)
nsubj(love-7, I-6)
conj_and(quick-4, love-7)
poss(phone-9, my-8)
nsubj(easy-12, phone-9)
xsubj(use-14, phone-9)
cop(easy-12, is-10)
advmod(easy-12, so-11)
ccomp(love-7, easy-12)
aux(use-14, to-13)
xcomp(easy-12, use-14)
nsubj(has-17, it-16)
conj_and(quick-4, has-17)
det(camera-20, a-18)
amod(camera-20, great-19)
dobj(has-17, camera-20)
dobj(has-17, lots-22)
conj_and(camera-20, lots-22)
prep_of(lots-22, aplications-24)
advmod(easy-27, really-26)
amod(camera-20, easy-27)
aux(use-29, to-28)
infmod(camera-20, use-29)

