=========

nsubj(using-4, I-1)
aux(using-4, have-2)
aux(using-4, been-3)
root(ROOT-0, using-4)
det(camera-6, this-5)
dobj(using-4, camera-6)
quantmod(three-9, nearly-8)
num(weeks-10, three-9)
prep_for(camera-6, weeks-10)
advmod(using-4, now-11)
nsubj(great-15, it-13)
cop(great-15, is-14)
conj_and(using-4, great-15)

=========

det(camera-2, The-1)
nsubj(feels-3, camera-2)
root(ROOT-0, feels-3)
advmod(steady-5, very-4)
acomp(feels-3, steady-5)
nsubjpass(placed-15, all-7)
det(buttons-10, the-9)
prep_of(all-7, buttons-10)
prep_of(all-7, knobs-12)
conj_and(buttons-10, knobs-12)
auxpass(placed-15, are-13)
advmod(placed-15, well-14)
conj_and(feels-3, placed-15)

=========

det(pictures-2, the-1)
nsubj(good-6, pictures-2)
cop(good-6, are-3)
advmod(good-6, also-4)
advmod(good-6, very-5)
root(ROOT-0, good-6)

=========

det(issue-3, The-1)
amod(issue-3, only-2)
prep_into(run-7, issue-3)
nsubj(is-9, issue-3)
complm(run-7, that-4)
nsubj(run-7, I-5)
aux(run-7, have-6)
dep(issue-3, run-7)
root(ROOT-0, is-9)
complm(high-17, that-10)
det(speed-13, the-11)
amod(speed-13, x-sync-12)
nsubj(high-17, speed-13)
cop(high-17, is-14)
neg(high-17, not-15)
advmod(high-17, as-16)
ccomp(is-9, high-17)
mark(like-21, as-18)
nsubj(like-21, I-19)
aux(like-21, would-20)
advcl(high-17, like-21)

=========

num(speed-4, 1\/180-1)
nn(speed-4, max-2)
nn(speed-4, sync-3)
nsubj(enough-7, speed-4)
cop(enough-7, is-5)
neg(enough-7, not-6)
root(ROOT-0, enough-7)
aux(freeze-10, to-8)
advmod(freeze-10, really-9)
xcomp(enough-7, freeze-10)
det(motion-14, any-11)
amod(motion-14, high-12)
nn(motion-14, speed-13)
dobj(freeze-10, motion-14)

=========

advmod(excellent-6, Overall-1)
dep(excellent-6, though-2)
det(camera-4, the-3)
nsubj(excellent-6, camera-4)
nsubj(works-8, camera-4)
cop(excellent-6, is-5)
advcl(using-21, excellent-6)
conj_and(excellent-6, works-8)
advcl(using-21, works-8)
advmod(works-8, well-9)
dep(lenses-18, even-11)
det(year-16, the-13)
amod(year-16, manual-14)
num(year-16, 20-15)
prep_with(even-11, year-16)
amod(lenses-18, old-17)
dep(using-21, lenses-18)
nsubj(using-21, I-19)
aux(using-21, am-20)
root(ROOT-0, using-21)

=========

advmod(good-6, Also-1)
det(life-4, the-2)
nn(life-4, battery-3)
nsubj(good-6, life-4)
cop(good-6, is-5)
root(ROOT-0, good-6)
nsubj(take-9, I-7)
aux(take-9, can-8)
ccomp(good-6, take-9)
mwe(than-11, more-10)
quantmod(800-12, than-11)
num(shots-13, 800-12)
dobj(take-9, shots-13)
num(charge-16, one-15)
prep_on(take-9, charge-16)
prep_without(take-9, flash-19)

