Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

dep(comment-5, So-1)
nsubj(comment-5, I-2)
aux(comment-5, can-3)
neg(comment-5, not-4)
root(ROOT-0, comment-5)
advmod(is-11, how-7)
amod(K20D-10, wonderful-8)
nn(K20D-10, MY-9)
nsubj(is-11, K20D-10)
prepc_on(comment-5, is-11)
nsubj(borrowed-16, I-14)
aux(borrowed-16, have-15)
conj_but(comment-5, borrowed-16)
poss(father-18, my-17)
nsubj('s-19, father-18)
ccomp(borrowed-16, 's-19)
nsubj(camera-26, it-22)
cop(camera-26, is-23)
det(camera-26, a-24)
amod(camera-26, great-25)
conj_and(comment-5, camera-26)
amod(autofocusing-31, wonderful-28)
amod(autofocusing-31, low-29)
nn(autofocusing-31, light-30)
dep(camera-26, autofocusing-31)
prepc_compared_to(autofocusing-31, to-33)
det(etc-43, the-34)
amod(etc-43, K10D-35)
amod(etc-43, excellent-37)
nn(etc-43, images-38)
dep(etc-43, resolution-40)
dep(etc-43, saturation-42)
pobj(autofocusing-31, etc-43)
dep(autofocusing-31, even-45)
advmod(high-48, fairly-47)
amod(ISOs-49, high-48)
prep_at(camera-26, ISOs-49)
prep_like(comment-5, 800-51)

=========

nsubj(taken-3, I-1)
aux(taken-3, have-2)
root(ROOT-0, taken-3)
dobj(taken-3, pictures-4)
prep_at(taken-3, ISO-6)
num(ISO-6, 1600-7)
prep_with(taken-3, it-9)
advmod(well-11, as-10)
mwe(well-11, as-10)
advmod(taken-3, well-11)
mark(noisy-18, although-14)
nsubj(noisy-18, they-15)
cop(noisy-18, were-16)
advmod(noisy-18, significantly-17)
advcl(de-noised-24, noisy-18)
nsubj(de-noised-24, it-20)
cop(de-noised-24, was-21)
advmod(de-noised-24, fairly-22)
advmod(de-noised-24, easily-23)
conj_and(taken-3, de-noised-24)
xcomp(de-noised-24, using-25)
det(reduction-29, a-26)
amod(reduction-29, plug-in-27)
nn(reduction-29, noiseware-28)
dobj(using-25, reduction-29)
prep_for(using-25, Photoshop-31)

=========

advmod(wait-8, All-1)
prep_in(All-1, all-3)
nsubj(wait-8, I-5)
xsubj(get-10, I-5)
aux(wait-8, can-6)
neg(wait-8, not-7)
root(ROOT-0, wait-8)
aux(get-10, to-9)
xcomp(wait-8, get-10)
poss(K20D-13, my-11)
amod(K20D-13, own-12)
dobj(get-10, K20D-13)
advmod(day-20, hopefully-15)
nsubj(day-20, that-16)
aux(day-20, will-17)
cop(day-20, be-18)
det(day-20, any-19)
parataxis(wait-8, day-20)

