=========

nsubj(ordered-2, I-1)
root(ROOT-0, ordered-2)
dobj(ordered-2, this-3)
poss(son-6, my-5)
prep_for(ordered-2, son-6)
prep_at(ordered-2, college-8)
nsubj(impressed-13, I-10)
cop(impressed-13, was-11)
advmod(impressed-13, quite-12)
conj_and(ordered-2, impressed-13)

=========

nsubj(thought-2, I-1)
root(ROOT-0, thought-2)
xcomp(thought-2, getting-3)
det(720-5, a-4)
nsubj(hinder-7, 720-5)
aux(hinder-7, would-6)
ccomp(getting-3, hinder-7)
det(quality-10, the-8)
nn(quality-10, HD-9)
dobj(hinder-7, quality-10)
det(TV-13, the-12)
prep_of(quality-10, TV-13)
nsubj(have-16, I-15)
xsubj(say-18, I-15)
conj_and(thought-2, have-16)
aux(say-18, to-17)
xcomp(have-16, say-18)
nsubj(did-20, it-19)
ccomp(say-18, did-20)
neg(did-20, not-21)

=========

nsubjpass(shipped-3, It-1)
nsubjpass(arrived-6, It-1)
auxpass(shipped-3, was-2)
root(ROOT-0, shipped-3)
advmod(shipped-3, quickly-4)
conj_and(shipped-3, arrived-6)
det(days-10, a-8)
amod(days-10, few-9)
prep_in(arrived-6, days-10)

=========

nsubj(hooked-2, We-1)
root(ROOT-0, hooked-2)
dobj(hooked-2, it-3)
prt(hooked-2, up-4)
det(visual-7, the-6)
nsubj(amazing-9, visual-7)
cop(amazing-9, is-8)
conj_and(hooked-2, amazing-9)

=========

advmod(bad-9, Even-1)
dep(bad-9, though-2)
det(quality-5, the-3)
amod(quality-5, sound-4)
nsubj(bad-9, quality-5)
cop(bad-9, is-6)
neg(bad-9, not-7)
advmod(bad-9, as-8)
advcl(sounds-24, bad-9)
mark(mentioned-13, as-10)
nsubj(mentioned-13, some-11)
aux(mentioned-13, have-12)
advcl(bad-9, mentioned-13)
det(reviews-16, these-15)
prep_in(mentioned-13, reviews-16)
advmod(mentioned-13, because-18)
poss(room-22, his-20)
nn(room-22, dorm-21)
prep_in(mentioned-13, room-22)
nsubj(sounds-24, it-23)
root(ROOT-0, sounds-24)
advmod(fine-26, just-25)
acomp(sounds-24, fine-26)

=========

det(downfall-3, The-1)
amod(downfall-3, only-2)
nsubj(stand-10, downfall-3)
det(system-6, this-5)
prep_of(downfall-3, system-6)
cop(stand-10, is-7)
det(stand-10, the-8)
nn(stand-10, TV-9)
root(ROOT-0, stand-10)
cop(hard-14, was-11)
det(little-13, a-12)
npadvmod(hard-14, little-13)
rcmod(stand-10, hard-14)
aux(figure-16, to-15)
xcomp(hard-14, figure-16)
prt(figure-16, out-17)
advmod(figure-16, even-19)
prepc_after(figure-16, reading-21)
det(instructions-23, the-22)
dobj(reading-21, instructions-23)

=========

nsubj(took-2, It-1)
root(ROOT-0, took-2)
iobj(took-2, us-3)
det(tries-6, a-4)
amod(tries-6, few-5)
dobj(took-2, tries-6)
aux(get-9, to-7)
advmod(get-9, finally-8)
xcomp(took-2, get-9)
nsubj(right-11, it-10)
xcomp(get-9, right-11)
advmod(rate-16, overall-14)
nsubj(rate-16, I-15)
conj_but(took-2, rate-16)
det(TV-18, this-17)
nsubj(high-20, TV-18)
advmod(high-20, quite-19)
xcomp(rate-16, high-20)
det(price-23, the-22)
prep_for(high-20, price-23)

=========

amod(quality-9, Great-1)
nn(service-5, product-2)
amod(service-5, great-4)
nn(quality-9, service-5)
advmod(good-8, very-7)
conj_and(service-5, good-8)
nn(quality-9, good-8)
nsubj(lose-14, quality-9)
conj_and(quality-9, you-11)
nsubj(lose-14, you-11)
aux(lose-14, can-12)
neg(lose-14, not-13)
root(ROOT-0, lose-14)
det(TV-17, this-16)
prep_with(lose-14, TV-17)

