=========

poss(experience-2, My-1)
nsubj(limited-7, experience-2)
amod(TV-5, digital-4)
prep_with(experience-2, TV-5)
cop(limited-7, is-6)
root(ROOT-0, limited-7)
mark(2nd-13, since-8)
nsubj(2nd-13, this-9)
cop(2nd-13, is-10)
advmod(2nd-13, only-11)
det(2nd-13, the-12)
advcl(limited-7, 2nd-13)
dobj(used-16, 2nd-13)
nsubj(used-16, I-14)
aux(used-16, have-15)
rcmod(2nd-13, used-16)

=========

det(1st-2, The-1)
nsubjpass(returned-4, 1st-2)
auxpass(returned-4, was-3)
root(ROOT-0, returned-4)
amod(weeks-7, several-6)
prep_after(returned-4, weeks-7)
prepc_of(weeks-7, trying-9)
aux(adjust-11, to-10)
xcomp(trying-9, adjust-11)
poss(limitations-14, its-13)
prep_to(adjust-11, limitations-14)

=========

det(TCL-2, The-1)
nsubj(received-3, TCL-2)
root(ROOT-0, received-3)
amod(reviews-5, good-4)
dobj(received-3, reviews-5)
cc(received-3, but-6)
det(notation-9, the-8)
prep_with(received-3, notation-9)
complm(blue-15, that-10)
det(color-12, the-11)
nsubj(blue-15, color-12)
cop(blue-15, was-13)
advmod(blue-15, too-14)
ccomp(received-3, blue-15)

=========

nsubj(true-3, This-1)
cop(true-3, was-2)
root(ROOT-0, true-3)
det(set-6, the-5)
nsubj(allows-7, set-6)
conj_but(true-3, allows-7)
amod(adjustments-11, many-9)
nn(adjustments-11, color-10)
prep_for(allows-7, adjustments-11)
det(picture-14, the-13)
nsubj(vivid-19, picture-14)
nsubj(clear-21, picture-14)
conj_and(picture-14, color-16)
nsubj(vivid-19, color-16)
cop(vivid-19, are-17)
advmod(vivid-19, now-18)
conj_and(true-3, vivid-19)
conj_and(true-3, clear-21)
conj_and(vivid-19, clear-21)

=========

amod(programs-3, many-2)
prep_on(impressive-8, programs-3)
det(picture-5, the-4)
nsubj(impressive-8, picture-5)
advmod(impressive-8, clarity-6)
cop(impressive-8, is-7)
root(ROOT-0, impressive-8)
prepc_depending_on(impressive-8, on-10)
det(source-12, the-11)
pobj(impressive-8, source-12)

=========

csubj(required-5, Getting-1)
det(color-3, the-2)
nsubj(adjusted-4, color-3)
xcomp(Getting-1, adjusted-4)
root(ROOT-0, required-5)
amod(trial-7, considerable-6)
dobj(required-5, trial-7)
dobj(required-5, error-9)
conj_and(trial-7, error-9)

=========

nsubj(manual-7, One-1)
det(pluses-4, the-3)
prep_of(One-1, pluses-4)
cop(manual-7, is-5)
det(manual-7, the-6)
root(ROOT-0, manual-7)
prep_of(manual-7, instructions-9)
nsubj(clear-13, instructions-9)
nsubj(helpful-15, instructions-9)
cop(clear-13, is-12)
rcmod(instructions-9, clear-13)
rcmod(instructions-9, helpful-15)
conj_and(clear-13, helpful-15)
advmod(clear-13, especially-17)
rcmod(instructions-9, in-18)
conj_and(clear-13, in-18)
prep_in(clear-13, comparison-19)
det(set-23, the-21)
amod(set-23, previous-22)
prep_to(clear-13, set-23)
complm(returned-26, that-24)
nsubj(returned-26, I-25)
ccomp(clear-13, returned-26)

=========

csubj(easy-7, Set-1)
prt(Set-1, up-2)
conj_and(Set-1, making-4)
csubj(easy-7, making-4)
dobj(making-4, adjustments-5)
cop(easy-7, are-6)
root(ROOT-0, easy-7)

=========

det(sound-2, The-1)
nsubj(better-6, sound-2)
advmod(better-6, also-3)
cop(better-6, is-4)
advmod(better-6, considerably-5)
root(ROOT-0, better-6)
mark(true-24, than-7)
det(set-9, the-8)
nsubj(true-24, set-9)
nsubj(returned-11, I-10)
nsubj(great-16, I-10)
rcmod(set-9, returned-11)
advmod(great-16, still-13)
cop(great-16, is-14)
neg(great-16, not-15)
rcmod(set-9, great-16)
conj_but(returned-11, great-16)
dobj(understand-20, great-16)
rel(understand-20, which-18)
nsubj(understand-20, I-19)
rcmod(great-16, understand-20)
prep_from(understand-20, reviews-22)
cop(true-24, is-23)
advcl(better-6, true-24)
advmod(thin-27, most-26)
amod('s-29, thin-27)
nn('s-29, TV-28)
prep_of(true-24, 's-29)

=========

mark(possible-5, While-1)
amod(adjustments-3, sound-2)
nsubj(possible-5, adjustments-3)
cop(possible-5, are-4)
advcl(small-11, possible-5)
det(speakers-8, the-7)
nsubj(small-11, speakers-8)
aux(small-11, must-9)
cop(small-11, be-10)
root(ROOT-0, small-11)
xcomp(small-11, resulting-12)
det(sound-16, a-14)
amod(sound-16, tinny-15)
prep_in(resulting-12, sound-16)
prep_at(sound-16, times-18)

=========

det(dissatisfaction-3, The-1)
amod(dissatisfaction-3, major-2)
dobj(with-6, dissatisfaction-3)
nsubj(delay-11, dissatisfaction-3)
nsubj(with-6, I-4)
aux(with-6, have-5)
rcmod(dissatisfaction-3, with-6)
det(set-8, the-7)
pobj(with-6, set-8)
cop(delay-11, is-9)
det(delay-11, the-10)
root(ROOT-0, delay-11)
nsubj(occurs-13, delay-11)
rcmod(delay-11, occurs-13)
advmod(turning-15, when-14)
dep(occurs-13, turning-15)
dobj(turning-15, it-16)
