=========

num(months-3, 9-2)
prep_within(had-5, months-3)
nsubj(had-5, I-4)
root(ROOT-0, had-5)
det(issue-8, a-6)
amod(issue-8, major-7)
dobj(had-5, issue-8)
amod(lines-11, pixel-10)
prep_with(issue-8, lines-11)
partmod(lines-11, appearing-12)
det(intermittently-16, the-14)
nn(intermittently-16, screen-15)
prep_throughout(appearing-12, intermittently-16)

=========

nsubj(person-8, I-1)
cop(person-8, am-2)
det(person-8, a-3)
advmod(reasonable-5, fairly-4)
amod(person-8, reasonable-5)
conj_and(reasonable-5, patient-7)
amod(person-8, patient-7)
root(ROOT-0, person-8)
advmod(takes-14, when-11)
nsubj(takes-14, it-12)
advmod(takes-14, literally-13)
advcl(feel-42, takes-14)
dobj(takes-14, me-15)
num(attempts-18, 5-17)
prep_over(takes-14, attempts-18)
partmod(attempts-18, working-19)
nn(Service-23, Toshiba-21)
nn(Service-23, Customer-22)
prep_with(working-19, Service-23)
det(period-26, a-25)
prep_over(Service-23, period-26)
num(weeks-29, 2-28)
prep_of(period-26, weeks-29)
amod(hours-32, several-31)
prep_over(Service-23, hours-32)
conj_and(period-26, hours-32)
poss(time-35, my-34)
prep_of(hours-32, time-35)
advmod(resolution-39, still-37)
det(resolution-39, no-38)
prep_with(working-19, resolution-39)
nsubj(feel-42, I-41)
conj_but(person-8, feel-42)
acomp(feel-42, justified-43)
prepc_in(justified-43, saying-45)
complm(poor-51, that-46)
cop(poor-51, is-47)
neg(poor-51, not-48)
advmod(poor-51, just-49)
advmod(poor-51, very-50)
ccomp(saying-45, poor-51)
ccomp(saying-45, unacceptable-54)
conj_but(poor-51, unacceptable-54)
dep(poor-51, Service-56)

=========

det(example-2, An-1)
nsubj(sent-21, example-2)
advmod(work-8, how-5)
nsubj(work-8, it-6)
aux(work-8, should-7)
prepc_as_to(example-2, work-8)
dobj(work-8, SONY-10)
advmod(had-13, where-11)
nsubj(had-13, I-12)
nsubj(had-17, I-12)
rcmod(SONY-10, had-13)
det(issue-15, an-14)
dobj(had-13, issue-15)
rcmod(SONY-10, had-17)
conj_and(had-13, had-17)
det(TV-20, a-18)
nn(TV-20, replacement-19)
dobj(had-17, TV-20)
root(ROOT-0, sent-21)
poss(home-24, my-23)
prep_to(sent-21, home-24)
num(days-27, 2-26)
prep_within(sent-21, days-27)

=========

nsubj(buy-4, I-1)
aux(buy-4, will-2)
neg(buy-4, never-3)
root(ROOT-0, buy-4)
dobj(buy-4, Toshiba-5)
advmod(buy-4, again-6)

