=========

det(U-3, The-1)
nn(U-3, Xperia-2)
nsubj(phone-7, U-3)
cop(phone-7, is-4)
det(phone-7, a-5)
amod(phone-7, great-6)
root(ROOT-0, phone-7)
complm(reccomend-12, that-8)
nsubj(reccomend-12, i-9)
aux(reccomend-12, would-10)
advmod(reccomend-12, personally-11)
ccomp(phone-7, reccomend-12)
det(user-18, any-14)
amod(user-18, new-15)
amod(user-18, smart-16)
nn(user-18, phone-17)
prep_to(reccomend-12, user-18)
det(user-22, an-20)
amod(user-22, android-21)
prep_to(reccomend-12, user-22)
conj_or(user-18, user-22)
nsubj(wants-24, user-22)
rcmod(user-22, wants-24)
det(multimedia-26, a-25)
dobj(wants-24, multimedia-26)
prep(wants-24, based-27)
amod(environment-29, android-28)
dep(based-27, environment-29)
amod(practive-33, social-31)
nn(practive-33, media-32)
dep(based-27, practive-33)
conj_or(environment-29, practive-33)

=========

det(device-2, The-1)
nsubj(came-3, device-2)
root(ROOT-0, came-3)
dep(came-3, preloaded-4)
amod(Gingerbread-8, android-6)
dep(android-6, 2.3-7)
prep_with(preloaded-4, Gingerbread-8)
det(update-12, a-10)
amod(update-12, manual-11)
nsubj(upgrade-18, update-12)
nn(software-16, Sonys-14)
nn(software-16, PC-15)
prep_on(update-12, software-16)
aux(upgrade-18, can-17)
conj_but(came-3, upgrade-18)
dobj(upgrade-18, you-19)
prep_to(upgrade-18, Android-21)
num(Android-21, 4.0.4-22)
nsubj(believe-24, I-23)
dep(upgrade-18, believe-24)

=========

mark(have-3, If-1)
nsubj(have-3, you-2)
root(ROOT-0, have-3)
det(connection-7, an-4)
amod(connection-7, active-5)
nn(connection-7, internet-6)
dobj(have-3, connection-7)
prep_at(have-3, home-9)

=========

nsubj(set-2, I-1)
nsubj(recieved-10, I-1)
root(ROOT-0, set-2)
det(phone-4, the-3)
dobj(set-2, phone-4)
prt(set-2, up-5)
nn(Talk-8, Straight-7)
prep_on(set-2, Talk-8)
conj_and(set-2, recieved-10)
dep(3g-12, max-11)
dobj(recieved-10, 3g-12)
amod(speeds-15, 1x-14)
dobj(recieved-10, speeds-15)
conj_and(3g-12, speeds-15)
det(phone-18, the-17)
prep_on(recieved-10, phone-18)

=========

nsubj(predict-2, I-1)
root(ROOT-0, predict-2)
det(phone-4, the-3)
nsubj(do-6, phone-4)
aux(do-6, would-5)
ccomp(predict-2, do-6)
det(same-8, the-7)
dobj(do-6, same-8)
prep_on(do-6, T-mobile-10)
prep_on(do-6, ATT-12)
conj_and(T-mobile-10, ATT-12)

=========

det(phone-3, The-2)
nsubj(has-4, phone-3)
ccomp(recognize-38, has-4)
amod(tool-11, available-5)
prep_to(available-5, it-7)
dobj(flash-10, it-7)
det(developer\/user-9, a-8)
nsubj(flash-10, developer\/user-9)
rcmod(it-7, flash-10)
dobj(has-4, tool-11)
aux(flash-13, to-12)
infmod(tool-11, flash-13)
nn(firmwares-16, carrier-14)
amod(firmwares-16, recommended-15)
dobj(flash-13, firmwares-16)
prep_to(firmwares-16, it-18)
aux(optimize-20, to-19)
infmod(firmwares-16, optimize-20)
dobj(optimize-20, it-21)
det(usa-24, the-23)
nsubj(Developer-34, usa-24)
dep(countries-27, overseas-26)
dep(usa-24, countries-27)
appos(countries-27, ect-29)
cop(Developer-34, Being-31)
det(Developer-34, an-32)
nn(Developer-34, Android-33)
prepc_for(optimize-20, Developer-34)
nsubj(recognize-38, I-36)
aux(recognize-38, did-37)
root(ROOT-0, recognize-38)
num(flaw-40, one-39)
dobj(recognize-38, flaw-40)
det(device-43, the-42)
prep_on(recognize-38, device-43)

=========

mark(flashing-2, Once-1)
csubj(4.0-10, flashing-2)
det(U-5, the-3)
nn(U-5, Xperia-4)
dobj(flashing-2, U-5)
prep_to(flashing-2, ICS-7)
prep_to(flashing-2, Android-9)
conj_or(ICS-7, Android-9)
root(ROOT-0, 4.0-10)

=========

nsubj(notice-3, You-1)
aux(notice-3, will-2)
ccomp(liable-30, notice-3)
det(difference-6, a-4)
amod(difference-6, huge-5)
dobj(notice-3, difference-6)
nn(changes-11, performance-8)
conj_and(performance-8, UI-10)
nn(changes-11, UI-10)
prep_in(difference-6, changes-11)
advmod(notice-3, however-12)
mark(exceed-16, if-14)
nsubj(exceed-16, you-15)
advcl(notice-3, exceed-16)
det(usage-19, the-17)
nn(usage-19, memory-18)
dobj(exceed-16, usage-19)
nn(usage-22, cpu-21)
dobj(exceed-16, usage-22)
conj_or(usage-19, usage-22)
nn(usage-25, app-24)
prep_with(exceed-16, usage-25)
poss(phone-28, your-27)
nsubj(liable-30, phone-28)
cop(liable-30, is-29)
root(ROOT-0, liable-30)
aux(heat-32, to-31)
xcomp(liable-30, heat-32)
prt(heat-32, up-33)
xcomp(liable-30, reboot-35)
conj_or(heat-32, reboot-35)
xcomp(liable-30, shut-38)
conj_or(heat-32, shut-38)
prt(shut-38, off-39)

=========

nn(4.0-2, Android-1)
nsubj(requires-3, 4.0-2)
ccomp(has-12, requires-3)
acomp(requires-3, 512mb-4)
aux(run-6, to-5)
xcomp(512mb-4, run-6)
advmod(run-6, correctly-7)
det(U-11, the-9)
nn(U-11, Xperia-10)
nsubj(has-12, U-11)
root(ROOT-0, has-12)
dobj(has-12, 512mb-13)
nn(avaiable-16, ram-15)
prep_of(512mb-13, avaiable-16)
prep_to(has-12, it-18)

=========

det(Phone-2, The-1)
nsubj(root-able-4, Phone-2)
cop(root-able-4, is-3)
root(ROOT-0, root-able-4)
nn(users-7, Root-6)
prep_to(root-able-4, users-7)

=========

nsubj(has-2, It-1)
root(ROOT-0, has-2)
dobj(has-2, plenty-3)
prep_of(plenty-3, development-5)
aux(support-7, to-6)
infmod(plenty-3, support-7)
amod(roms-10, many-8)
nn(roms-10, custom-9)
dobj(support-7, roms-10)
nn(modifications-13, custom-12)
dobj(support-7, modifications-13)
conj_and(roms-10, modifications-13)
aux(support-15, to-14)
xcomp(support-7, support-15)
amod(performance-17, better-16)
dobj(support-15, performance-17)

=========

det(Phone-2, This-1)
nsubj(has-3, Phone-2)
root(ROOT-0, has-3)
dobj(has-3, MIUI-4)
dobj(has-3, cm9-6)
conj_and(MIUI-4, cm9-6)
dobj(has-3, AOKP-8)
conj_and(MIUI-4, AOKP-8)
nn(avaialbe-14, custom-11)
nn(avaialbe-14, stock-12)
nn(avaialbe-14, roms-13)
dobj(has-3, avaialbe-14)
conj_and(MIUI-4, avaialbe-14)
prep_to(avaialbe-14, it-16)

=========

nsubj(has-3, It-1)
advmod(has-3, also-2)
root(ROOT-0, has-3)
det(bootloader-6, an-4)
amod(bootloader-6, unlcockable-5)
dobj(has-3, bootloader-6)
nn(kernel-9, custom-8)
prep_for(bootloader-6, kernel-9)
partmod(kernel-9, flashing-10)

=========

nsubj(avaialbe-3, Guides-1)
cop(avaialbe-3, are-2)
root(ROOT-0, avaialbe-3)
nn(Developers-6, XDA-5)
prep_via(avaialbe-3, Developers-6)

=========

nsubj(make-3, Features-1)
nsubj(interface-15, Features-1)
rcmod(Features-1, make-3)
det(phone-5, this-4)
nsubj(unique-6, phone-5)
xcomp(make-3, unique-6)
amod(phones-10, other-8)
amod(phones-10, smart-9)
prep_from(unique-6, phones-10)
cop(interface-15, are-11)
det(interface-15, the-12)
amod(interface-15, following.-Sony-13)
nn(interface-15, user-14)
root(ROOT-0, interface-15)
amod(Player-19, lockscreen-Sony-17)
nn(Player-19, Walkman-18)
conj_and(interface-15, Player-19)
nn(Timescape-24, download-21)
nn(Timescape-24, info-22)
nn(Timescape-24, features-Sony-23)
prep_with(Player-19, Timescape-24)
dep(Timescape-24, Facebook-26)
nn(integration-29, twitter-28)
dep(Timescape-24, integration-29)
conj_and(Facebook-26, integration-29)
nn(Wallpapers\/Live-34, Google-32)
nn(Wallpapers\/Live-34, Exclusive-Sony-33)
dep(Player-19, Wallpapers\/Live-34)
nn(Application-38, Wallpapers-Sony-35)
nn(Application-38, Messaging-Sony-36)
nn(Application-38, Movies-37)
dep(Wallpapers\/Live-34, Application-38)

