=========

det(camera-2, This-1)
nsubj(one-5, camera-2)
cop(one-5, is-3)
det(one-5, the-4)
root(ROOT-0, one-5)
dobj(date-8, one-5)
nsubj(date-8, you-6)
advmod(date-8, photographically-7)
rcmod(one-5, date-8)
rcmod(one-5, not-10)
conj_and(date-8, not-10)
neg(date-8, not-10)
dep(date-8, marry-11)

=========

mark(been-5, If-1)
nsubj(been-5, you-2)
aux(been-5, have-3)
neg(been-5, not-4)
advcl(start-17, been-5)
advmod(yet-7, bit-6)
advmod(been-5, yet-7)
det(bug-11, the-9)
nn(bug-11, photo-10)
prep_by(been-5, bug-11)
advmod(start-17, then-12)
nsubj(start-17, this-13)
cop(start-17, is-14)
det(start-17, a-15)
amod(start-17, great-16)
ccomp(has-20, start-17)
nsubj(has-20, it-19)
root(ROOT-0, has-20)
dobj(has-20, features-21)
nsubj(cost-24, features-21)
aux(cost-24, will-23)
rcmod(features-21, cost-24)
dobj(cost-24, thousands-25)
prep_of(thousands-25, dollars-27)
det(system-31, a-29)
amod(system-31, modular-30)
prep_in(dollars-27, system-31)
nn(body-34, camera-33)
dep(dollars-27, body-34)
nn(module-37, GPS-36)
appos(body-34, module-37)
appos(module-37, lenses-39)
aux(cover-41, to-40)
infmod(lenses-39, cover-41)
det(range-44, the-42)
nn(range-44, focal\/zoom-43)
dobj(cover-41, range-44)
det(lens-48, a-46)
amod(lens-48, macro-47)
dobj(cover-41, lens-48)
conj_and(range-44, lens-48)
amod(filter-52, neutral-50)
nn(filter-52, density-51)
dobj(cover-41, filter-52)
conj_and(range-44, filter-52)
dobj(cover-41, more-55)
conj_and(range-44, more-55)

=========

det(catch-2, The-1)
nsubj(is-3, catch-2)
root(ROOT-0, is-3)
complm(do-8, that-4)
nsubj(do-8, it-5)
aux(do-8, does-6)
neg(do-8, not-7)
ccomp(is-3, do-8)
dobj(do-8, anything-9)
advmod(good-12, nearly-10)
advmod(good-12, as-11)
amod(anything-9, good-12)
det(DSLR-15, a-14)
prep_as(good-12, DSLR-15)
nn(Camera-19, Compact-17)
nn(Camera-19, System-18)
prep_as(good-12, Camera-19)
conj_or(DSLR-15, Camera-19)
dep(good-12, Like-21)
det(series-24, the-22)
nn(series-24, NEX-23)
pobj(Like-21, series-24)
mark(complete-31, except-27)
dep(complete-31, that-28)
nsubj(complete-31, it-29)
cop(complete-31, is-30)
advcl(do-8, complete-31)
det(box-38, a-33)
amod(box-38, smallish-34)
advmod(inexpensive-37, relatively-36)
conj_and(smallish-34, inexpensive-37)
amod(box-38, inexpensive-37)
prep_in(complete-31, box-38)

=========

advmod(better-6, Overall-1)
det(camera-4, this-3)
nsubj(better-6, camera-4)
cop(better-6, is-5)
root(ROOT-0, better-6)
prep_than(better-6, lumix-8)
prep_than(better-6, Canon-10)
conj_or(lumix-8, Canon-10)
prep_than(better-6, kodak-12)
conj_or(lumix-8, kodak-12)
prep_than(better-6, pentak-14)
conj_or(lumix-8, pentak-14)
prep_than(better-6, fujifilm-16)
conj_or(lumix-8, fujifilm-16)
prep_than(better-6, GE-18)
conj_or(lumix-8, GE-18)
prep_than(better-6, coolpix-20)
conj_or(lumix-8, coolpix-20)

=========

det(fact-2, The-1)
dobj(lets-5, fact-2)
nsubj(lets-22, fact-2)
complm(lets-5, that-3)
nsubj(lets-5, it-4)
dep(fact-2, lets-5)
nsubj(play-7, you-6)
ccomp(lets-5, play-7)
prep_with(play-7, all-9)
det(options-13, the-11)
amod(options-13, creative-12)
prep_of(all-9, options-13)
prep_like(play-7, Aperture-15)
prep_like(play-7, Shutter-17)
conj_and(Aperture-15, Shutter-17)
nn(Modes-21, Manual-20)
prep_like(play-7, Modes-21)
conj_and(Aperture-15, Modes-21)
root(ROOT-0, lets-22)
nsubj(learn-24, you-23)
nsubj(grow-26, you-23)
ccomp(lets-22, learn-24)
ccomp(lets-22, grow-26)
conj_and(learn-24, grow-26)
det(camera-29, this-28)
prep_with(learn-24, camera-29)
advmod(have-44, so-30)
dep(have-44, that-31)
advmod(ready-35, when-32)
nsubj(ready-35, you-33)
cop(ready-35, are-34)
advcl(have-44, ready-35)
aux(invest-37, to-36)
xcomp(ready-35, invest-37)
det(kit-41, a-39)
amod(kit-41, larger-40)
prep_in(invest-37, kit-41)
nsubj(have-44, you-42)
aux(have-44, 'll-43)
advcl(learn-24, have-44)
ccomp(learn-24, have-44)
det(idea-47, a-45)
amod(idea-47, better-46)
dobj(have-44, idea-47)
nsubj(important-51, what-49)
cop(important-51, 's-50)
prepc_of(idea-47, important-51)
prep_to(important-51, you-53)

=========

amod(features-2, Best-1)
root(ROOT-0, features-2)
det(camera-5, this-4)
prep_of(features-2, camera-5)
nn(screen-9, +-7)
nn(screen-9, Swivel-8)
dep(features-2, screen-9)
dep(helps-22, screen-9)
mark(let-16, although-12)
nsubj(let-16, it-13)
aux(let-16, will-14)
neg(let-16, not-15)
advcl(helps-22, let-16)
nsubj(take-18, you-17)
ccomp(let-16, take-18)
nn(portraits-20, self-19)
dobj(take-18, portraits-20)
rcmod(screen-9, helps-22)
dep(helps-22, teach-23)
nsubj(explore-26, you-24)
aux(explore-26, to-25)
xcomp(teach-23, explore-26)
xcomp(explore-26, taking-27)
dobj(taking-27, photos-28)
amod(angles-31, other-30)
prep_from(taking-27, angles-31)

=========

nn(GPS-2, +-1)
nsubj(let-16, GPS-2)
dep(mixed-5, when-4)
dep(GPS-2, mixed-5)
nn(apps-8, photo-7)
prep_with(mixed-5, apps-8)
prep_like(apps-8, iPhoto-10)
prep_like(apps-8, Picasa-12)
conj_or(iPhoto-10, Picasa-12)
prep_like(apps-8, Lightroom-15)
conj_or(iPhoto-10, Lightroom-15)
root(ROOT-0, let-16)
nsubj(remember-18, you-17)
ccomp(let-16, remember-18)
advmod(taken-23, where-19)
det(photo-21, the-20)
nsubjpass(taken-23, photo-21)
auxpass(taken-23, was-22)
advcl(remember-18, taken-23)

=========

nn(filter-4, +-1)
nn(filter-4, Neutral-2)
nn(filter-4, Density-3)
nsubj(makes-7, filter-4)
partmod(filter-4, built-5)
prep(built-5, in-6)
root(ROOT-0, makes-7)
nsubj(take-10, it-8)
dep(take-10, possible-9)
xcomp(makes-7, take-10)
amod(exposures-12, longer-11)
