=========

nsubj(played-5, I-1)
nsubj(pleased-17, I-1)
aux(played-5, have-2)
neg(played-5, not-3)
advmod(played-5, really-4)
root(ROOT-0, played-5)
prt(played-5, around-6)
prep_with(played-5, any-8)
det(settings-11, the-10)
prep_of(any-8, settings-11)
advmod(played-5, yet-12)
cop(pleased-17, am-15)
advmod(pleased-17, very-16)
conj_but(played-5, pleased-17)
det(appearance-21, the-19)
amod(appearance-21, outward-20)
prep_with(pleased-17, appearance-21)
prep_with(pleased-17, heft-23)
conj_and(appearance-21, heft-23)
det(camera-26, the-25)
prep_of(appearance-21, camera-26)

=========

nsubj(purchased-2, I-1)
root(ROOT-0, purchased-2)
det(one-5, a-3)
amod(one-5, black-4)
dobj(purchased-2, one-5)
det(gift-10, a-9)
dobj(purchased-2, gift-10)
conj_and(one-5, gift-10)
nsubj(getting-14, it-12)
aux(getting-14, is-13)
conj_and(purchased-2, getting-14)
amod(use-16, much-15)
dobj(getting-14, use-16)
advmod(well-18, as-17)
mwe(well-18, as-17)
advmod(getting-14, well-18)

