=========

advmod(read-3, When-1)
nsubj(read-3, I-2)
advcl(thought-10, read-3)
det(reviews-5, the-4)
dobj(read-3, reviews-5)
det(camera-8, this-7)
prep_on(read-3, camera-8)
nsubj(thought-10, I-9)
root(ROOT-0, thought-10)
nsubj(done-13, I-11)
aux(done-13, had-12)
ccomp(thought-10, done-13)
amod(research-15, enough-14)
dobj(done-13, research-15)
nsubj(did-19, I-18)
conj_but(thought-10, did-19)
neg(did-19, not-20)

=========

det(camera-2, The-1)
nsubj(fine-4, camera-2)
cop(fine-4, is-3)
root(ROOT-0, fine-4)
mark(take-7, if-5)
nsubj(take-7, you-6)
advcl(fine-4, take-7)
dobj(take-7, shots-8)
det(lot-11, a-10)
prep_in(shots-8, lot-11)
prep_of(lot-11, light-13)
det(objects-16, the-15)
nsubj(moving-19, objects-16)
aux(moving-19, are-17)
neg(moving-19, not-18)
conj_and(fine-4, moving-19)
advmod(moving-19, at-20)
pobj(at-20, all-21)

=========

nsubj(place-22, Other-1)
dep(grainy-14, that-3)
mark(try-6, if-4)
nsubj(try-6, you-5)
nsubj(use-8, you-5)
advcl(grainy-14, try-6)
conj_and(try-6, use-8)
advcl(grainy-14, use-8)
det(zoom-10, the-9)
dobj(try-6, zoom-10)
det(shots-12, the-11)
nsubj(grainy-14, shots-12)
cop(grainy-14, are-13)
prepc_than(Other-1, grainy-14)
mark(are-18, if-16)
nsubj(are-18, you-17)
prepc_than(Other-1, are-18)
conj_and(grainy-14, are-18)
det(dim-21, a-20)
prep_in(are-18, dim-21)
root(ROOT-0, place-22)
advmod(grainy-26, again-23)
nsubj(grainy-26, they-24)
cop(grainy-26, are-25)
ccomp(place-22, grainy-26)

=========

nsubj(gotten-4, It-1)
aux(gotten-4, could-2)
aux(gotten-4, have-3)
root(ROOT-0, gotten-4)
det(point-8, a-5)
advmod(cheaper-7, much-6)
amod(point-8, cheaper-7)
dobj(gotten-4, point-8)
dobj(gotten-4, shot-10)
conj_and(point-8, shot-10)
dobj(gotten-4, this-13)
conj_negcc(point-8, this-13)

=========

nsubj(have-2, I-1)
xsubj(purchase-4, I-1)
root(ROOT-0, have-2)
aux(purchase-4, to-3)
xcomp(have-2, purchase-4)
det(camera-6, another-5)
dobj(purchase-4, camera-6)
poss(needs-9, my-8)
prep_for(camera-6, needs-9)
det(one-12, this-11)
nsubj(do-15, one-12)
aux(do-15, does-13)
neg(do-15, not-14)
conj_and(have-2, do-15)
dobj(do-15, it-16)
advmod(do-15, at-17)
pobj(at-17, all-18)

