=========

dep(let-4, First-1)
advmod(let-4, off-2)
root(ROOT-0, let-4)
nsubj(tell-6, me-5)
ccomp(let-4, tell-6)
dobj(tell-6, you-7)
complm('s-10, that-8)
expl('s-10, there-9)
ccomp(tell-6, 's-10)
det(one-12, no-11)
nsubj('s-10, one-12)
nsubj(challenged-19, one-12)
prep_on(one-12, earth-14)
cop(challenged-19, 's-16)
advmod(challenged-19, as-17)
advmod(challenged-19, technically-18)
rcmod(one-12, challenged-19)
mark(am-22, as-20)
nsubj(am-22, I-21)
advcl(challenged-19, am-22)

=========

nsubj(had-2, I-1)
xsubj(call-4, I-1)
root(ROOT-0, had-2)
aux(call-4, to-3)
xcomp(had-2, call-4)
nn(service-6, customer-5)
dobj(call-4, service-6)
mark(close-11, because-7)
nsubj(close-11, I-8)
aux(close-11, could-9)
neg(close-11, not-10)
advcl(call-4, close-11)
det(compartment-14, the-12)
nn(compartment-14, battery-13)
dobj(close-11, compartment-14)

=========

nsubj(figured-2, I-1)
root(ROOT-0, figured-2)
dobj(figured-2, it-3)
prt(figured-2, out-4)
det(end-7, the-6)
prep_by(figured-2, end-7)
det(call-10, the-9)
prep_of(end-7, call-10)
nsubj(have-13, you-12)
xsubj(keep-15, you-12)
parataxis(figured-2, have-13)
aux(keep-15, to-14)
xcomp(have-13, keep-15)
xcomp(keep-15, pressing-16)
advmod(very-18, down-17)
advmod(pressing-16, very-18)
advmod(pressing-16, firmly-19)
mark(wiggle-22, as-20)
nsubj(wiggle-22, you-21)
advcl(keep-15, wiggle-22)
det(compartment-24, the-23)
dobj(wiggle-22, compartment-24)
advmod(wiggle-22, back-25)
advmod(wiggle-22, forth-27)
conj_and(back-25, forth-27)

=========

dep(said-6, What-1)
nsubj(move-8, What-1)
det(gentleman-5, the-2)
nn(gentleman-5, customer-3)
nn(gentleman-5, service-4)
nsubj(said-6, gentleman-5)
root(ROOT-0, said-6)
aux(move-8, was-7)
ccomp(said-6, move-8)
dobj(move-8, it-9)
prt(move-8, over-10)
det(right-13, the-12)
prep_to(move-8, right-13)
advmod(move-8, then-15)
prepc_while(move-8, pressing-17)
prt(pressing-17, down-18)
dep(said-6, move-20)
dobj(move-20, it-21)
advmod(move-20, back-22)
det(left-25, the-24)
prep_to(move-20, left-25)

=========

advmod(have-7, However-1)
poss(husband-4, my-3)
nsubj(have-7, husband-4)
aux(have-7, does-5)
neg(have-7, not-6)
root(ROOT-0, have-7)
quantmod(much-10, nearly-8)
quantmod(much-10, as-9)
num(trouble-11, much-10)
dobj(have-7, trouble-11)
prep_with(trouble-11, it-13)
mark(do-16, as-14)
nsubj(do-16, I-15)
advcl(have-7, do-16)
mark(designated-20, so-17)
nsubj(designated-20, we-18)
aux(designated-20, have-19)
advcl(do-16, designated-20)
nsubj(changer-24, him-21)
det(changer-24, the-22)
nn(changer-24, battery-23)
xcomp(designated-20, changer-24)

=========

nsubj(kirkland-3, Used-1)
num(Used-1, 4-2)
root(ROOT-0, kirkland-3)
nn(batteries-5, brand-4)
dobj(kirkland-3, batteries-5)
prepc_while(kirkland-3, charging-7)
det(camera-11, the-8)
amod(camera-11, original-9)
nn(camera-11, Kodak-10)
dobj(charging-7, camera-11)

=========

nsubj(took-2, I-1)
root(ROOT-0, took-2)
quantmod(50-4, about-3)
num(pics-5, 50-4)
dobj(took-2, pics-5)
num(videos-10, three-7)
advmod(short-9, very-8)
amod(videos-10, short-9)
dobj(took-2, videos-10)
conj_and(pics-5, videos-10)
det(batteries-13, those-12)
nsubj(dead-15, batteries-13)
cop(dead-15, were-14)
conj_and(took-2, dead-15)

=========

dep(batteries-7, Despite-1)
det(compartment-4, the-2)
nn(compartment-4, battery-3)
pobj(Despite-1, compartment-4)
conj_and(Despite-1, maybe-6)
dep(batteries-7, maybe-6)
nsubj(dying-8, batteries-7)
root(ROOT-0, dying-8)
det(little-10, a-9)
dobj(dying-8, little-10)
advmod(dying-8, prematurely-11)
nsubj(love-15, I-13)
advmod(love-15, still-14)
parataxis(dying-8, love-15)
det(camera-17, this-16)
dobj(love-15, camera-17)

=========

det(pictures-2, The-1)
dobj(took-4, pictures-2)
nsubj(clear-13, pictures-2)
nsubj(crisp-15, pictures-2)
nsubj(took-4, I-3)
rcmod(pictures-2, took-4)
prep_with(took-4, it-6)
det(Park-11, the-8)
nn(Park-11, Wild-9)
nn(Park-11, Animal-10)
prep_at(took-4, Park-11)
cop(clear-13, were-12)
root(ROOT-0, clear-13)
conj_and(clear-13, crisp-15)
det(mode-20, the-17)
amod(mode-20, smart-18)
nn(mode-20, capture-19)
prep_on(clear-13, mode-20)
appos(mode-20, everything-22)
num(everything-22, automatic-23)

=========

nsubj(beginner-5, I-1)
cop(beginner-5, am-2)
advmod(beginner-5, just-3)
det(beginner-5, a-4)
root(ROOT-0, beginner-5)
det(camera-8, a-7)
prep_with(beginner-5, camera-8)
dep(beginner-5, so-10)
nsubj(pleased-14, I-11)
cop(pleased-14, was-12)
advmod(pleased-14, very-13)
ccomp(beginner-5, pleased-14)
det(results-17, the-16)
prep_with(pleased-14, results-17)

=========

nsubj(printed-2, I-1)
root(ROOT-0, printed-2)
num(pages-5, 30-4)
prep_about(printed-2, pages-5)
det(manual-8, the-7)
prep_of(pages-5, manual-8)
dep(need-16, that-10)
dep(that-10, is-11)
predet(beginner-14, all-12)
det(beginner-14, a-13)
nsubj(need-16, beginner-14)
aux(need-16, will-15)
parataxis(printed-2, need-16)
nsubj(love-19, I-18)
parataxis(printed-2, love-19)
conj_and(need-16, love-19)
det(borders-21, the-20)
dobj(love-19, borders-21)
dobj(put-24, borders-21)
nsubj(put-24, you-22)
