=========

mark(bought-3, Before-1)
nsubj(bought-3, I-2)
advcl(used-9, bought-3)
det(camera-5, this-4)
dobj(bought-3, camera-5)
nsubj(used-9, I-6)
nsubj(had-23, I-6)
aux(used-9, had-7)
advmod(used-9, only-8)
root(ROOT-0, used-9)
det(point-12, the-10)
amod(point-12, little-11)
dobj(used-9, point-12)
nn(cameras-15, shoot-14)
dobj(used-9, cameras-15)
conj_and(point-12, cameras-15)
det(screen-19, the-17)
nn(screen-19, display-18)
prep_with(used-9, screen-19)
prep(used-9, on-20)
pcomp(on-20, back-21)
conj_and(used-9, had-23)
det(time-26, a-24)
amod(time-26, terrible-25)
dobj(had-23, time-26)
xcomp(had-23, getting-27)
poss(right-30, my-28)
nn(right-30, shot-29)
dobj(getting-27, right-30)

=========

det(Z990-2, The-1)
nsubj(allows-8, Z990-2)
poss(finder-7, its-4)
amod(finder-7, electronic-5)
nn(finder-7, view-6)
prep_with(Z990-2, finder-7)
root(ROOT-0, allows-8)
nsubj(steady-11, me-9)
aux(steady-11, to-10)
xcomp(allows-8, steady-11)
det(camera-13, the-12)
dobj(steady-11, camera-13)
poss(arms-16, my-15)
prep_with(camera-13, arms-16)
poss(body-19, my-18)
prep_against(steady-11, body-19)
advmod(shot-23, when-21)
nsubj(shot-23, I-22)
prepc_like(body-19, shot-23)
det(SLRs-30, the-25)
amod(SLRs-30, old-26)
nn(SLRs-30, fashion-27)
num(SLRs-30, 35-28)
nn(SLRs-30, mm-29)
prep_with(shot-23, SLRs-30)
prep_in(shot-23, days-32)
prep_of(days-32, yore-34)

=========

expl(are-2, There-1)
root(ROOT-0, are-2)
det(lot-4, a-3)
nsubj(are-2, lot-4)
prep_of(lot-4, features-6)
dobj(tried-10, features-6)
nsubj(tried-10, I-7)
aux(tried-10, have-8)
neg(tried-10, not-9)
rcmod(features-6, tried-10)
advmod(tried-10, yet-11)
advmod(far-15, so-14)
advmod(given-18, far-15)
nsubj(given-18, it-16)
aux(given-18, has-17)
conj_but(are-2, given-18)
iobj(given-18, me-19)
det(pics-21, the-20)
dobj(given-18, pics-21)
dobj(wanted-23, pics-21)
nsubj(wanted-23, I-22)
rcmod(pics-21, wanted-23)

=========

expl(shots-6, There-1)
aux(shots-6, have-2)
cop(shots-6, been-3)
det(shots-6, some-4)
amod(shots-6, missed-5)
root(ROOT-0, shots-6)
amod(error-10, human-9)
prep_due_to(shots-6, error-10)
nsubj(hope-14, I-13)
xsubj(get-16, I-13)
conj_but(shots-6, hope-14)
aux(get-16, to-15)
xcomp(hope-14, get-16)
dobj(get-16, past-17)
nsubj(learning-19, past-17)
rcmod(past-17, learning-19)
dobj(learning-19, curve-20)
advmod(learning-19, soon-21)

