=========

mark(like-3, If-1)
nsubj(like-3, your-2)
nsubj(want-6, your-2)
xsubj(take-8, your-2)
nsubj(want-15, your-2)
xsubj(spend-17, your-2)
advcl(option-29, like-3)
dobj(like-3, me-4)
conj_and(like-3, want-6)
advcl(option-29, want-6)
aux(take-8, to-7)
xcomp(want-6, take-8)
amod(pictures-11, high-9)
nn(pictures-11, quality-10)
dobj(take-8, pictures-11)
aux(want-15, do-13)
neg(want-15, not-14)
conj_but(like-3, want-15)
advcl(option-29, want-15)
aux(spend-17, to-16)
xcomp(want-15, spend-17)
dobj(spend-17, $-18)
num($-18, 500-19)
cc(spend-17, plus-20)
det(camera-23, a-22)
prep_on(spend-17, camera-23)
nsubj(option-29, this-25)
cop(option-29, is-26)
det(option-29, a-27)
amod(option-29, great-28)
root(ROOT-0, option-29)

=========

det(zoom-3, The-1)
num(zoom-3, 30X-2)
nsubj(great-5, zoom-3)
cop(great-5, is-4)
root(ROOT-0, great-5)
nn(shots-8, macro-7)
prep_for(great-5, shots-8)
det(12MP-12, the-11)
nsubj(adequate-16, 12MP-12)
cop(adequate-16, is-13)
advmod(than-15, more-14)
advmod(adequate-16, than-15)
conj_and(great-5, adequate-16)
aux(blow-18, to-17)
xcomp(adequate-16, blow-18)
prt(blow-18, up-19)
poss(pictures-21, your-20)
dobj(blow-18, pictures-21)
prep_for(blow-18, printing-23)

=========

expl(are-2, There-1)
root(ROOT-0, are-2)
det(bunch-4, a-3)
nsubj(are-2, bunch-4)
amod(presets-7, good-6)
prep_of(bunch-4, presets-7)
nsubj(has-11, it-9)
advmod(has-11, also-10)
conj_but(are-2, has-11)
det(mode-14, a-12)
amod(mode-14, manual-13)
dobj(has-11, mode-14)
advmod(well-16, as-15)
mwe(well-16, as-15)
advmod(has-11, well-16)

=========

nsubj(had-3, I-1)
aux(had-3, have-2)
root(ROOT-0, had-3)
det(camera-5, this-4)
dobj(had-3, camera-5)
prep(had-3, for-6)
pcomp(for-6, over-7)
det(year-9, a-8)
prep_over(for-6, year-9)
advmod(for-6, now-10)
advmod(had-3, really-12)
conj_and(had-3, really-12)
det(negatives-15, the-13)
amod(negatives-15, only-14)
dobj(encountered-18, negatives-15)
nsubj(:1-20, negatives-15)
nsubj(encountered-18, I-16)
aux(encountered-18, have-17)
rcmod(negatives-15, encountered-18)
cop(:1-20, are-19)
ccomp(had-3, :1-20)
conj_and(had-3, :1-20)

=========

det(meter-3, The-1)
nn(meter-3, battery-2)
nsubj(seem-7, meter-3)
xsubj(accurate2-10, meter-3)
aux(seem-7, does-4)
neg(seem-7, not-5)
advmod(seem-7, always-6)
root(ROOT-0, seem-7)
aux(accurate2-10, to-8)
cop(accurate2-10, be-9)
xcomp(seem-7, accurate2-10)

=========

det(speeds-3, The-1)
nn(speeds-3, write\/transfer-2)
nsubj(slow-6, speeds-3)
aux(slow-6, can-4)
cop(slow-6, be-5)
root(ROOT-0, slow-6)
nsubj(getting-10, I-8)
aux(getting-10, am-9)
parataxis(slow-6, getting-10)
det(card-15, a-11)
nn(card-15, class-12)
num(card-15, 10-13)
nn(card-15, SD-14)
dobj(getting-10, card-15)
aux(help-17, to-16)
xcomp(getting-10, help-17)
xcomp(help-17, alleviate-18)
dobj(alleviate-18, that-19)

=========

nsubj(recommend-4, I-1)
aux(recommend-4, would-2)
advmod(recommend-4, definitely-3)
root(ROOT-0, recommend-4)
det(camera-6, this-5)
dobj(recommend-4, camera-6)
det(photographer-10, the-8)
amod(photographer-10, amateur\/aspiring-9)
prep_for(camera-6, photographer-10)

