=========

prepc_before(take-12, reviewing-2)
det(camera-4, this-3)
dobj(reviewing-2, camera-4)
det(bit-7, a-6)
appos(camera-4, bit-7)
prep_of(bit-7, perspective-9)
nsubj(take-12, I-11)
root(ROOT-0, take-12)
amod(care-14, good-13)
dobj(take-12, care-14)
poss(cameras-17, my-16)
prep_of(care-14, cameras-17)
nsubj(careful-22, I-20)
cop(careful-22, am-21)
conj_and(take-12, careful-22)
prep_with(careful-22, them-24)
prep_for(careful-22, example-27)
nsubj(have-29, I-28)
rcmod(example-27, have-29)
det(DMC-TZ1-32, a-30)
nn(DMC-TZ1-32, Panasonic-31)
dobj(have-29, DMC-TZ1-32)
nsubj(is-43, DMC-TZ1-32)
num(years-36, four-35)
prep_after(is-43, years-36)
quantmod(thousand-40, several-39)
num(pictures-41, thousand-40)
conj_and(years-36, pictures-41)
prep_after(is-43, pictures-41)
rcmod(DMC-TZ1-32, is-43)
advmod(is-43, still-44)
amod(use-47, daily-46)
prep_in(is-43, use-47)

=========

cc(decided-41, So-1)
advmod(began-6, when-2)
nn(quality-4, picture-3)
nsubj(began-6, quality-4)
xsubj(degrade-8, quality-4)
advmod(began-6, finally-5)
advcl(decided-41, began-6)
aux(degrade-8, to-7)
xcomp(began-6, degrade-8)
prep_because_of(degrade-8, dust-11)
det(path-15, the-13)
amod(path-15, optical-14)
prep_in(dust-11, path-15)
xcomp(began-6, on-17)
conj_and(degrade-8, on-17)
det(sensor-19, the-18)
pobj(on-17, sensor-19)
dep(think-23, which-21)
nsubj(reasonable-26, which-21)
nsubj(think-23, I-22)
parataxis(decided-41, think-23)
cop(reasonable-26, is-24)
advmod(reasonable-26, entirely-25)
ccomp(think-23, reasonable-26)
det(camera-29, a-28)
prep_for(reasonable-26, camera-29)
nsubjpass(received-32, camera-29)
auxpass(received-32, 's-31)
rcmod(camera-29, received-32)
amod(use-35, much-34)
prep_as(received-32, use-35)
poss(TZ1-38, my-37)
prep_as(received-32, TZ1-38)
nsubj(decided-41, I-40)
xsubj(replace-43, I-40)
root(ROOT-0, decided-41)
aux(replace-43, to-42)
xcomp(decided-41, replace-43)
dobj(replace-43, it-44)
det(DMC-48, another-46)
nn(DMC-48, Panasonic-47)
prep_with(replace-43, DMC-48)

=========

amod(mistake-2, Big-1)
root(ROOT-0, mistake-2)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

root(ROOT-0, So-1)

=========

det(time-3, the-1)
amod(time-3, first-2)
nsubj(placed-15, time-3)
nsubj(used-5, I-4)
rcmod(time-3, used-5)
det(camera-7, this-6)
dobj(used-5, camera-7)
prepc_after(used-5, taking-10)
amod(pictures-12, half-dozen-11)
dobj(taking-10, pictures-12)
nsubj(placed-15, I-14)
root(ROOT-0, placed-15)
dobj(placed-15, it-16)
advmod(placed-15, briefly-17)
det(pocket-23, a-19)
amod(pocket-23, loose-20)
amod(pocket-23, fitting-21)
nn(pocket-23, shirt-22)
prep_in(placed-15, pocket-23)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

advmod(purchased-5, Fortunately-1)
nsubj(purchased-5, I-3)
aux(purchased-5, had-4)
root(ROOT-0, purchased-5)
det(warranty-8, an-6)
amod(warranty-8, extended-7)
dobj(purchased-5, warranty-8)
nsubj(covers-10, warranty-8)
rcmod(warranty-8, covers-10)
det(kind-12, this-11)
dobj(covers-10, kind-12)
prep_of(kind-12, damage-14)
mark(certain-20, because-16)
nsubj(certain-20, I-17)
cop(certain-20, am-18)
advmod(certain-20, quite-19)
advcl(covers-10, certain-20)
complm(told-32, that-21)
mark(return-24, if-22)
nsubj(return-24, I-23)
advcl(told-32, return-24)
dobj(return-24, this-25)
prep_to(return-24, Panasonic-27)
nsubjpass(told-32, I-29)
aux(told-32, will-30)
auxpass(told-32, be-31)
ccomp(certain-20, told-32)
nsubjpass(damaged-36, it-33)
aux(damaged-36, had-34)
auxpass(damaged-36, been-35)
ccomp(told-32, damaged-36)
agent(damaged-36, amishandling-38)
advmod(have-43, however-41)
nsubj(have-43, I-42)
parataxis(purchased-5, have-43)
neg(have-43, not-44)
det(confidence-47, the-45)
amod(confidence-47, least-46)
dobj(have-43, confidence-47)
complm(last-54, that-48)
det(wall-53, the-49)
nn(wall-53, replacement-50)
conj_or(replacement-50, repair-52)
nn(wall-53, repair-52)
nsubj(last-54, wall-53)
dep(confidence-47, last-54)
mwe(than-56, more-55)
quantmod(10-57, than-56)
num(minutes-58, 10-57)
dobj(last-54, minutes-58)
advmod(last-54, either-59)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

advmod(interested-7, Perhaps-1)
poss(market-5, Panasonic-2)
nn(market-5, target-4)
nsubj(interested-7, market-5)
cop(interested-7, is-6)
root(ROOT-0, interested-7)
det(camera-15, a-9)
num(camera-15, $-10)
number($-10, 300-11)
number($-10, disposable-12)
amod(camera-15, single-13)
nn(camera-15, use-14)
prep_in(interested-7, camera-15)
nsubj(am-19, I-18)
conj_but(interested-7, am-19)
neg(am-19, not-20)
mark(wanted-25, if-22)
nsubj(wanted-25, I-23)
aux(wanted-25, had-24)
advcl(did-33, wanted-25)
det(camera-30, a-26)
amod(camera-30, single-27)
nn(camera-30, use-28)
amod(camera-30, disposable-29)
dobj(wanted-25, camera-30)
nsubj(did-33, I-32)
parataxis(interested-7, did-33)
aux(bought-35, have-34)
ccomp(did-33, bought-35)
dobj(bought-35, one-36)
prep_at(bought-35, Walgreens-38)
prep_for(Walgreens-38, $-40)
num($-40, 13-41)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

nsubj(need-4, I-1)
nsubj(want-6, I-1)
aux(need-4, do-2)
neg(need-4, not-3)
root(ROOT-0, need-4)
conj_or(need-4, want-6)
det(camera-11, a-7)
