=========

nsubj(give-4, I-1)
aux(give-4, will-2)
neg(give-4, not-3)
root(ROOT-0, give-4)
prt(give-4, up-5)
poss(D7000-7, my-6)
dobj(give-4, D7000-7)
advmod(give-4, now-9)
conj_but(give-4, now-9)
nsubj(have-11, I-10)
ccomp(give-4, have-11)
conj_but(give-4, have-11)
num(FX-13, two-12)
dobj(have-11, FX-13)
num(bodies-17, two-15)
nn(bodies-17, DX-16)
dobj(have-11, bodies-17)
conj_and(FX-13, bodies-17)

=========

dep(comfortable-3, It-1)
advmod(comfortable-3, most-2)
root(ROOT-0, comfortable-3)
det(profile-7, a-5)
amod(profile-7, smaller-6)
prep_with(comfortable-3, profile-7)
det(curve-12, a-9)
amod(curve-12, small-10)
nn(curve-12, learning-11)
prep_with(comfortable-3, curve-12)
conj_and(profile-7, curve-12)

=========

cc(shelf-7, And-1)
det(files-4, the-2)
nn(files-4, photos\/photo-3)
nsubj(shelf-7, files-4)
cop(shelf-7, are-5)
amod(shelf-7, top-6)
root(ROOT-0, shelf-7)

=========

nsubj(spit-2, Mine-1)
root(ROOT-0, spit-2)
dobj(spit-2, oil-3)
det(sensor-6, the-5)
prep_on(spit-2, sensor-6)
advmod(spit-2, already-7)
nsubj(come-11, ZI-9)
xsubj(accept-13, ZI-9)
aux(come-11, have-10)
conj_but(spit-2, come-11)
aux(accept-13, to-12)
xcomp(come-11, accept-13)
complm(needs-27, that-14)
csubj(needs-27, happening-15)
mark(limited-19, as-16)
nsubj(limited-19, it-17)
neg(limited-19, not-18)
advcl(happening-15, limited-19)
nn(cameras-22, Nikon-21)
prep_to(limited-19, cameras-22)
det(industry-26, the-24)
amod(industry-26, entire-25)
prep_to(limited-19, industry-26)
conj_and(cameras-22, industry-26)
ccomp(accept-13, needs-27)
aux(address-29, to-28)
xcomp(needs-27, address-29)
det(problem-31, this-30)
dobj(address-29, problem-31)
xcomp(needs-27, do-33)
conj_and(address-29, do-33)
det(bit-35, a-34)
dobj(do-33, bit-35)
amod(engineering-38, preventative-37)
prep_of(bit-35, engineering-38)

