=========

nsubj(beautiful-7, Pictures-1)
nn(D7100-4, Nikon-3)
prep_from(Pictures-1, D7100-4)
aux(beautiful-7, are-5)
root(ROOT-0, beautiful-7)

=========

nsubj(sharp-4, They-1)
cop(sharp-4, are-2)
advmod(sharp-4, very-3)
root(ROOT-0, sharp-4)
prep_in(sharp-4, details-6)
advmod(sharp-4, even-7)
amod(light-10, low-9)
prep_in(sharp-4, light-10)

=========

advmod(posts-7, Anyway-1)
expl(posts-7, there-3)
aux(posts-7, may-4)
cop(posts-7, be-5)
amod(posts-7, enough-6)
root(ROOT-0, posts-7)
amod(things-10, positive-9)
prep_of(posts-7, things-10)
nn(D7100-13, Nikon-12)
prep_about(things-10, D7100-13)

=========

det(post-2, This-1)
nsubj(something-6, post-2)
cop(something-6, is-3)
advmod(something-6, about-4)
amod(something-6, unusual-5)
root(ROOT-0, something-6)
partmod(something-6, seen-7)
nn(D7100-10, Nikon-9)
poss(images-13, D7100-10)
nn(images-13, RAW-12)
prep_in(seen-7, images-13)
attr(something-6, 1-15)

=========

nn(images-2, RAW-1)
nsubjpass(captured-5, images-2)
auxpass(captured-5, were-3)
advmod(captured-5, always-4)
root(ROOT-0, captured-5)
prep_at(captured-5, 12-bit-7)
nsubj(compressed-10, lossless-9)
parataxis(captured-5, compressed-10)
nsubj(12-bit-12, RAW-11)
xcomp(compressed-10, 12-bit-12)
advmod(set-19, even-14)
dep(set-19, though-15)
det(camera-17, the-16)
nsubjpass(set-19, camera-17)
auxpass(set-19, was-18)
ccomp(captured-5, set-19)
prep_at(set-19, lossless-21)
partmod(lossless-21, compressed-22)
acomp(compressed-22, 14-bit2-23)

=========

nn(image-2, RAW-1)
poss(size-4, image-2)
nsubj(matter-12, size-4)
cop(matter-12, was-5)
advmod(matter-12, always-6)
amod(12-bit-10, 1620x1080-8)
amod(12-bit-10, @-9)
prep_at(always-6, 12-bit-10)
det(matter-12, no-11)
root(ROOT-0, matter-12)
dobj(chosen-18, matter-12)
rel(chosen-18, which-13)
nn(option-16, Image-14)
nn(option-16, Quality-15)
nsubjpass(chosen-18, option-16)
auxpass(chosen-18, was-17)
rcmod(matter-12, chosen-18)
dep(matter-12, NEF+JPEG-20)
acomp(NEF+JPEG-20, fine-21)
dep(NEF+JPEG-20, NEF+JPEG-23)
acomp(NEF+JPEG-23, normal-24)
dep(NEF+JPEG-20, NEF+JPEG-26)
dobj(NEF+JPEG-26, basic-27)
appos(basic-27, NEF-29)
dep(matter-12, 3-31)

=========

nn(images-2, JPEG-1)
nsubjpass(recorded-4, images-2)
auxpass(recorded-4, were-3)
root(ROOT-0, recorded-4)
prep_at(recorded-4, 6000x4000-6)
dep(6000x4000-6, @-7)
rel(used-13, 8-bit-8)
dobj(reported-32, 8-bit-8)
dep(8-bit-8, Large-10)
nsubj(used-13, I-12)
rcmod(6000x4000-6, used-13)
nsubjpass(reported-32, latest-14)
nn(NX2-17, Nikon-15)
nn(NX2-17, Capture-16)
dep(latest-14, NX2-17)
num(images-27, version-18)
num(version-18, 2.4.1-19)
nn(RAW-26, Nikon-21)
nn(RAW-26, View-22)
nn(RAW-26, NX2-23)
nn(RAW-26, version-24)
nn(RAW-26, 2.0.2-25)
conj_and(version-18, RAW-26)
num(images-27, RAW-26)
dep(latest-14, images-27)
nn(D7000-30, Nikon-29)
prep_from(images-27, D7000-30)
auxpass(reported-32, were-31)
ccomp(used-13, reported-32)
advmod(reported-32, correctly-33)
xcomp(reported-32, using-34)
det(software-40, these-35)
amod(software-40, same-36)
nn(software-40, Nikon-37)
nn(software-40, Capture\/View-38)
nn(software-40, NX2-39)
dobj(using-34, software-40)

=========

amod(words-3, other-2)
prep_in(recorded-11, words-3)
poss(images-8, D7000-5)
amod(images-8, raw-7)
nsubjpass(recorded-11, images-8)
auxpass(recorded-11, were-9)
advmod(recorded-11, properly-10)
root(ROOT-0, recorded-11)
prep_at(recorded-11, 4928x3264-13)
appos(4928x3264-13, L-15)
appos(4928x3264-13, lossless-18)
partmod(lossless-18, compressed-19)
nn(anyone-22, RAW-20)
amod(anyone-22, 14-bitHave-21)
nsubj(seen\/had-23, anyone-22)
ccomp(compressed-19, seen\/had-23)
det(problem-25, this-24)
dobj(seen\/had-23, problem-25)
nn(D7100-28, Nikon-27)
prep_with(seen\/had-23, D7100-28)

=========

nsubj(wonder-2, I-1)
root(ROOT-0, wonder-2)
mark(one-9, if-3)
poss(D7100-5, my-4)
nsubj(one-9, D7100-5)
cop(one-9, were-6)
det(one-9, a-7)
amod(one-9, defected-8)
advcl(wonder-2, one-9)

=========

nsubj(bought-2, I-1)
root(ROOT-0, bought-2)
poss(store-10, mine-3)
dep(new-5, brand-4)
amod(store-10, new-5)
amod(Best-8, local-7)
prep_from(new-5, Best-8)
amod(store-10, Buy-9)
dobj(bought-2, store-10)

=========

det(issues-4, these-2)
amod(issues-4, weird-3)
prep_besides(love-17, issues-4)
dep(hope-8, and-6)
nsubj(hope-8, I-7)
dep(issues-4, hope-8)
nsubj(get-11, I-9)
aux(get-11, can-10)
ccomp(hope-8, get-11)
dobj(get-11, answers\/solution-12)
advmod(get-11, soon-13)
nsubj(love-17, I-16)
root(ROOT-0, love-17)
det(camera-20, this-18)
amod(camera-20, new-19)
dobj(love-17, camera-20)
nsubj(recommend-25, I-23)
advmod(recommend-25, strongly-24)
conj_and(love-17, recommend-25)
dobj(recommend-25, it-26)
prep_to(recommend-25, everyone-28)

