=========

nsubj(get-7, First-1)
det(I-4, all-3)
prep_of(First-1, I-4)
aux(get-7, did-5)
neg(get-7, not-6)
root(ROOT-0, get-7)
poss(Unit-9, my-8)
dobj(get-7, Unit-9)
prep_from(get-7, Amazon-11)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

nsubj(similar-5, Handling-1)
cop(similar-5, is-2)
advmod(similar-5, pretty-3)
advmod(similar-5, much-4)
root(ROOT-0, similar-5)
poss(pet-9, my-7)
amod(pet-9, former-8)
prep_to(similar-5, pet-9)
poss(controls-15, my-11)
nn(controls-15, D7000-12)
amod(controls-15, few-14)
nsubjpass(added-17, controls-15)
auxpass(added-17, were-16)
parataxis(similar-5, added-17)
cc(used-21, but-18)
nsubjpass(used-21, I-19)
auxpass(used-21, get-20)
ccomp(added-17, used-21)
prep_to(used-21, it-23)
det(time-26, no-25)
prep_in(used-21, time-26)

=========

num(things-2, Two-1)
dobj(appreciate-5, things-2)
nsubj(test-11, things-2)
complm(appreciate-5, that-3)
nsubj(appreciate-5, I-4)
dep(things-2, appreciate-5)
num(weeks-8, 2-7)
prep_after(appreciate-5, weeks-8)
prep_of(weeks-8, intermittent-10)
root(ROOT-0, test-11)
dobj(test-11, :1-12)

=========

csubj(prevents-8, Adding-1)
dobj(Adding-1, lock-2)
det(dial-6, the-4)
nn(dial-6, Mode-5)
prep_on(lock-2, dial-6)
root(ROOT-0, prevents-8)
amod(change-11, accidental-10)
prep_from(prevents-8, change-11)
det(setting-14, the-13)
prep_in(change-11, setting-14)
num(setting-14, .2-15)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

nsubj(plesed-4, I-1)
cop(plesed-4, am-2)
advmod(plesed-4, very-3)
root(ROOT-0, plesed-4)
nn(quality-7, image-6)
prep_with(plesed-4, quality-7)
nn(rendition-10, color-9)
prep_with(plesed-4, rendition-10)
conj_and(quality-7, rendition-10)
det(sharpness-13, the-12)
prep_with(plesed-4, sharpness-13)
conj_and(quality-7, sharpness-13)
mark(attributed-18, although-14)
det(factors-16, some-15)
nsubjpass(attributed-18, factors-16)
nsubjpass(attributed-18', factors-16)
auxpass(attributed-18, are-17)
advcl(plesed-4, attributed-18)
advcl(plesed-4, attributed-18')
conj_and(attributed-18, attributed-18')
det(lens-21, the-20)
prep_to(attributed-18, lens-21)
prep_of(attributed-18', course-25)
prep_to(attributed-18, shooter-27)

=========

expl(is-2, There-1)
root(ROOT-0, is-2)
advmod(is-2, also-3)
amod(improvement-5, significant-4)
nsubj(is-2, improvement-5)
nn(Light-8, Low-7)
prep_in(improvement-5, Light-8)
partmod(Light-8, shooting-9)
nsubj(produce-12, I-10)
aux(produce-12, can-11)
ccomp(shooting-9, produce-12)
amod(acceptable-14, good-13)
amod(image-15, acceptable-14)
iobj(produce-12, image-15)
dep(image-15, @-16)
dobj(produce-12, ISO-17)
num(ISO-17, 3200-18)
amod(ISO-17, cleaner-19)
dobj(producing-25, what-21)
det(D7K-23, the-22)
nsubj(producing-25, D7K-23)
aux(producing-25, is-24)
prepc_than(cleaner-19, producing-25)

=========

nsubj(regret-4, I-1)
aux(regret-4, did-2)
neg(regret-4, not-3)
root(ROOT-0, regret-4)
poss(decision-6, my-5)
dobj(regret-4, decision-6)
aux(sell-8, to-7)
infmod(decision-6, sell-8)
poss(D7K-10, my-9)
dobj(sell-8, D7K-10)
nn(lens-13, kit-12)
prep_with(sell-8, lens-13)
infmod(decision-6, add-15)
conj_and(sell-8, add-15)
amod(amount-17, small-16)
dobj(add-15, amount-17)
aux(have-19, to-18)
xcomp(add-15, have-19)
det(body-21, this-20)
dobj(have-19, body-21)

=========

num(star-2, Five-1)
nsubj(mean-7, star-2)
prep_for(star-2, me-4)
aux(mean-7, does-5)
neg(mean-7, not-6)
ccomp(satisfied-16, mean-7)
nsubj(camera-12, it-8)
cop(camera-12, is-9)
det(camera-12, a-10)
amod(camera-12, perfect-11)
ccomp(mean-7, camera-12)
nsubjpass(satisfied-16, I-14)
auxpass(satisfied-16, am-15)
root(ROOT-0, satisfied-16)
prep_with(satisfied-16, it-18)
poss(requirements-23, my-21)
amod(requirements-23, shoting-22)
prep_as_per(it-18, requirements-23)
prep_as_per(it-18, style-25)
conj_and(requirements-23, style-25)
amod(enthusiast-28, advanced-27)
prep_as(satisfied-16, enthusiast-28)

=========

nsubj(mind-4, I-1)
aux(mind-4, do-2)
neg(mind-4, not-3)
root(ROOT-0, mind-4)
det(shortcomings-7, the-5)
amod(shortcomings-7, other-6)
dobj(mind-4, shortcomings-7)
det(machine-10, this-9)
prep_of(shortcomings-7, machine-10)
advmod(long-12, as-11)
advmod(mind-4, long-12)
mark(affecting-17, as-13)
nsubj(affecting-17, it-14)
aux(affecting-17, is-15)
neg(affecting-17, not-16)
ccomp(long-12, affecting-17)
dobj(affecting-17, me-18)
advmod(affecting-17, directly-19)

