=========

amod(phone-2, good-1)
nsubj(cool-21, phone-2)
nsubj(enough-24, phone-2)
xsubj(reach-26, phone-2)
det(price-5, this-4)
prep_for(phone-2, price-5)
nsubj(has-8, it-7)
dep(phone-2, has-8)
dobj(has-8, everything-9)
dobj(need-12, everything-9)
nsubj(need-12, you-10)
aux(need-12, will-11)
rcmod(everything-9, need-12)
det(smartphone-15, a-14)
prep_in(need-12, smartphone-15)
dep(phone-2, windows-17)
num(windows-17, 7-18)
cop(cool-21, is-19)
advmod(cool-21, very-20)
root(ROOT-0, cool-21)
neg(enough-24, not-23)
conj_but(cool-21, enough-24)
aux(reach-26, to-25)
xcomp(cool-21, reach-26)
acomp(reach-26, android-27)
acomp(reach-26, IOs-29)
conj_or(android-27, IOs-29)

=========

nsubj(has-2, It-1)
root(ROOT-0, has-2)
amod(problems-4, seriously-3)
dobj(has-2, problems-4)
prep_in(problems-4, synchronization-6)
amod(devices-11, other-8)
amod(devices-11, blue-9)
nn(devices-11, tooth-10)
prep_with(has-2, devices-11)
nn(networks-14, wifi-13)
prep_with(has-2, networks-14)
conj_or(devices-11, networks-14)
advmod(need-19, so-16)
dep(need-19, if-17)
nsubj(need-19, you-18)
dep(has-2, need-19)
nn(transfer-21, data-20)
nsubj(going-23, transfer-21)
xsubj(problem-27, transfer-21)
aux(going-23, is-22)
ccomp(need-19, going-23)
aux(problem-27, to-24)
cop(problem-27, be-25)
det(problem-27, a-26)
xcomp(going-23, problem-27)
det(cases-30, some-29)
prep_in(problem-27, cases-30)

