=========

nsubj(phone-2, Nice-1)
root(ROOT-0, phone-2)
cc(have-7, but-3)
nsubj(have-7, it-4)
aux(have-7, does-5)
neg(have-7, not-6)
ccomp(phone-2, have-7)
amod(guide-9, manual-8)
dobj(have-7, guide-9)
advmod(use-13, how-11)
aux(use-13, to-12)
prepc_on(guide-9, use-13)
nsubj(inorder-15, it-14)
xsubj(operate-17, it-14)
nsubj(use-19, it-14)
ccomp(use-13, inorder-15)
aux(operate-17, to-16)
xcomp(inorder-15, operate-17)
ccomp(use-13, use-19)
conj_or(inorder-15, use-19)
nsubj(easy-22, it-20)
advmod(easy-22, more-21)
xcomp(use-19, easy-22)

