=========

prep_at(liked-6, first-2)
nsubj(liked-6, I-4)
advmod(liked-6, really-5)
root(ROOT-0, liked-6)
det(phone-8, this-7)
dobj(liked-6, phone-8)
det(looks-11, the-10)
prep_for(liked-6, looks-11)

=========

advmod(starting-2, When-1)
advcl(found-8, starting-2)
aux(use-4, to-3)
xcomp(starting-2, use-4)
dobj(use-4, it-5)
nsubj(found-8, I-7)
root(ROOT-0, found-8)
prt(found-8, out-9)
complm(easy-18, that-10)
predet(basics-13, the-11)
det(basics-13, the-12)
nsubj(easy-18, basics-13)
det(phone-16, the-15)
prep_of(basics-13, phone-16)
cop(easy-18, were-17)
ccomp(found-8, easy-18)
aux(use-20, to-19)
dep(easy-18, use-20)
dep(easy-18, easy-22)
advmod(use-20, easy-22)
conj_and(use-20, easy-22)
aux(learn-24, to-23)
dep(easy-18, learn-24)
conj_and(use-20, learn-24)

=========

nsubj(works-2, Everything-1)
root(ROOT-0, works-2)
advmod(works-2, well-3)
nsubj(recommend-8, I-5)
aux(recommend-8, would-6)
advmod(recommend-8, definitely-7)
conj_and(works-2, recommend-8)
dobj(recommend-8, it-9)
prep_for(recommend-8, those-11)
nsubj(considering-15, those-11)
aux(considering-15, are-13)
neg(considering-15, not-14)
rcmod(those-11, considering-15)
aux(use-17, to-16)
xcomp(considering-15, use-17)
det(applications-19, the-18)
dobj(use-17, applications-19)
advmod(use-17, much-20)

=========

prep_in(needs-14, comparison-2)
amod(phones-6, other-4)
amod(phones-6, smart-5)
prep_to(comparison-2, phones-6)
det(market-9, the-8)
prep_on(phones-6, market-9)
det(phone-12, this-11)
nsubj(needs-14, phone-12)
advmod(needs-14, definitely-13)
root(ROOT-0, needs-14)
amod(work-16, more-15)
dobj(needs-14, work-16)

=========

det(applications-2, The-1)
root(ROOT-0, applications-2)
nsubj(phones-5, applications-2)
advmod(phones-5, other-4)
rcmod(applications-2, phones-5)
dobj(phones-5, ex-7)

=========

nsubj(better-10, iPhone-1)
dep(etc-5, Samsung-3)
dep(iPhone-1, etc-5)
aux(better-10, have-7)
cop(better-10, are-8)
advmod(better-10, substantially-9)
root(ROOT-0, better-10)
prep_in(better-10, quality-12)
prep_in(better-10, usage-14)
conj_and(quality-12, usage-14)

=========

nn(applications-2, Popular-1)
nsubj(work-15, applications-2)
amod(instagram-9, gmail-4)
nn(instagram-9, chat-5)
dep(instagram-9, kakaotalk-7)
prep_like(applications-2, instagram-9)
dep(instagram-9, etc.-11)
aux(work-15, have-12)
aux(work-15, do-13)
neg(work-15, not-14)
root(ROOT-0, work-15)
advmod(work-15, well-16)
amod(times-19, most-18)
conj_and(work-15, times-19)
neg(times-19, not-20)
prep_at(times-19, all-22)

=========

nsubj(limited-5, Games-1)
advmod(limited-5, also-2)
cop(limited-5, are-3)
advmod(limited-5, very-4)
ccomp(find-10, limited-5)
nsubj(find-10, you-7)
aux(find-10, will-8)
neg(find-10, not-9)
root(ROOT-0, find-10)
det(version-13, a-11)
amod(version-13, good-12)
dobj(find-10, version-13)
amod(birds-16, angry-15)
prep_of(version-13, birds-16)
amod(jump-19, doodle-18)
appos(birds-16, jump-19)
appos(birds-16, bejeweled-21)
appos(birds-16, plants-23)
prep_vs.(plants-23, zombies-25)
dep(birds-16, etc.-27)

=========

mark(new-6, Since-1)
det(phone-3, this-2)
nsubj(new-6, phone-3)
cop(new-6, is-4)
advmod(new-6, fairly-5)
advcl(hoping-13, new-6)
det(market-9, the-8)
prep_on(new-6, market-9)
nsubj(hoping-13, I-11)
aux(hoping-13, am-12)
root(ROOT-0, hoping-13)
complm(improve-19, that-14)
det(applications-16, the-15)
nsubj(improve-19, applications-16)
aux(improve-19, will-17)
advmod(improve-19, considerably-18)
ccomp(hoping-13, improve-19)

=========

mark(hoping-4, If-1)
nsubj(hoping-4, you-2)
aux(hoping-4, are-3)
advcl(warn-15, hoping-4)
det(phone-7, a-6)
prep_for(hoping-4, phone-7)
prep_with(phone-7, tons-9)
prep_of(tons-9, applications-11)
nsubj(warn-15, I-13)
advmod(warn-15, extremely-14)
ccomp(phone-22, warn-15)
dobj(warn-15, you-16)
nsubj(phone-22, this-18)
cop(phone-22, is-19)
neg(phone-22, not-20)
poss(phone-22, your-21)
root(ROOT-0, phone-22)

=========

ccomp(like-6, Other-1)
prep_than(Other-1, that-3)
nsubj(like-6, I-5)
root(ROOT-0, like-6)
det(phone-8, this-7)
dobj(like-6, phone-8)
poss(usage-12, its-10)
amod(usage-12, easy-11)
dobj(like-6, usage-12)
conj_and(phone-8, usage-12)

