=========

nsubj(read-2, I-1)
nsubjpass(filled-14, I-1)
root(ROOT-0, read-2)
advmod(lot-5, quite-3)
det(lot-5, a-4)
dobj(read-2, lot-5)
det(reviews-8, the-7)
prep_of(lot-5, reviews-8)
det(product-11, this-10)
prep_on(read-2, product-11)
auxpass(filled-14, was-13)
conj_and(read-2, filled-14)
amod(confidence-17, much-16)
prep_with(filled-14, confidence-17)
advmod(ordering-19, when-18)
advcl(filled-14, ordering-19)
complm(camera-24, that-20)
nsubj(camera-24, this-21)
cop(camera-24, was-22)
det(camera-24, the-23)
ccomp(ordering-19, camera-24)
prep_for(camera-24, me-26)

=========

advmod(focus-9, Unfortunately-1)
det(focus-4, the-2)
nn(focus-4, auto-3)
nsubj(focus-9, focus-4)
aux(focus-9, could-5)
advmod(focus-9, never-6)
advmod(never-6, ever-8)
root(ROOT-0, focus-9)
prep_on(focus-9, anything-11)

=========

nsubj(want-3, I-1)
xsubj(use-5, I-1)
advmod(want-3, mainly-2)
root(ROOT-0, want-3)
aux(use-5, to-4)
xcomp(want-3, use-5)
det(camera-7, the-6)
dobj(use-5, camera-7)
prep_for(use-5, pictures-9)
poss(cakes-13, my-11)
amod(cakes-13, professional-12)
prep_of(pictures-9, cakes-13)
poss(pets-16, my-15)
prep_of(pictures-9, pets-16)
conj_and(cakes-13, pets-16)

=========

det(images-2, The-1)
dobj(manage-5, images-2)
nsubj(quality-11, images-2)
nsubj(manage-5, I-3)
xsubj(get-7, I-3)
aux(manage-5, did-4)
rcmod(images-2, manage-5)
aux(get-7, to-6)
xcomp(manage-5, get-7)
cop(quality-11, were-8)
advmod(lower-10, much-9)
advmod(quality-11, lower-10)
root(ROOT-0, quality-11)
mark(expecting-15, than-12)
nsubj(expecting-15, I-13)
aux(expecting-15, was-14)
advcl(quality-11, expecting-15)

=========

advmod(trying-2, When-1)
advcl(kept-10, trying-2)
aux(photograph-4, to-3)
xcomp(trying-2, photograph-4)
poss(hamsters-6, my-5)
dobj(photograph-4, hamsters-6)
det(focus-8, the-7)
nsubj(kept-10, focus-8)
advmod(kept-10, just-9)
root(ROOT-0, kept-10)
ccomp(kept-10, trying-11)
ccomp(kept-10, trying-14)
conj_and(trying-11, trying-14)
ccomp(kept-10, trying-17)
conj_and(trying-11, trying-17)
conj_and(trying-11, trying-20)
conj_and(trying-17, trying-20)
nsubj(focus-25, it-22)
nsubj(miss-30, it-22)
aux(focus-25, could-23)
neg(focus-25, never-24)
parataxis(kept-10, focus-25)
prep_on(focus-25, anything-27)
aux(miss-30, would-29)
parataxis(kept-10, miss-30)
conj_and(focus-25, miss-30)
dobj(miss-30, lots-31)
amod(shots-34, great-33)
prep_of(lots-31, shots-34)

=========

advmod(decided-4, When-1)
nsubj(decided-4, it-2)
xsubj(focus-6, it-2)
advmod(decided-4, finally-3)
advcl(blurry-9, decided-4)
csubj(blurry-9, decided-4)
aux(focus-6, to-5)
xcomp(decided-4, focus-6)
dobj(focus-6, everything-7)
cop(blurry-9, was-8)
root(ROOT-0, blurry-9)

=========

root(ROOT-0, Rubbish-1)

=========

nsubj(tried-2, I-1)
xsubj(test-4, I-1)
root(ROOT-0, tried-2)
aux(test-4, to-3)
xcomp(tried-2, test-4)
det(focus-6, the-5)
dobj(test-4, focus-6)
partmod(focus-6, using-7)
det(mode-10, the-8)
amod(mode-10, macro-9)
dobj(using-7, mode-10)
advmod(tells-16, where-12)
det(booklet-15, the-13)
nn(booklet-15, instruction-14)
nsubj(tells-16, booklet-15)
rcmod(mode-10, tells-16)
nsubj(get-19, you-17)
aux(get-19, to-18)
xcomp(tells-16, get-19)
advmod(possible-23, close-21)
advmod(possible-23, as-22)
prep_as(get-19, possible-23)
det(subject-26, the-25)
prep_to(possible-23, subject-26)
nsubj(chose-29, I-28)
xsubj(photograph-31, I-28)
parataxis(tried-2, chose-29)
aux(photograph-31, to-30)
xcomp(chose-29, photograph-31)
det(flower-33, a-32)
dobj(photograph-31, flower-33)
det(vase-36, a-35)
prep_in(flower-33, vase-36)

=========

det(thing-3, The-1)
amod(thing-3, stupid-2)
nsubj(focus-6, thing-3)
aux(focus-6, could-4)
neg(focus-6, not-5)
root(ROOT-0, focus-6)
det(flower-9, the-8)
prep_on(focus-6, flower-9)

=========

nsubj(able-5, I-1)
cop(able-5, was-2)
neg(able-5, not-3)
advmod(able-5, even-4)
root(ROOT-0, able-5)
aux(take-7, to-6)
xcomp(able-5, take-7)
num(photo-9, one-8)
dobj(take-7, photo-9)

=========

root(ROOT-0, Not-1)
dep(Not-1, one-2)

=========

nsubj(expecting-4, I-1)
aux(expecting-4, am-2)
neg(expecting-4, not-3)
root(ROOT-0, expecting-4)
det(world-6, the-5)
poss(DSLR-9, world-6)
amod(DSLR-9, best-8)
dobj(expecting-4, DSLR-9)
det(price-12, this-11)
prep_for(DSLR-9, price-12)
nsubj(do-16, I-15)
conj_but(expecting-4, do-16)
ccomp(do-16, expect-17)
aux(able-21, to-18)
advmod(able-21, actually-19)
cop(able-21, be-20)
xcomp(expect-17, able-21)
aux(take-23, to-22)
xcomp(able-21, take-23)
dobj(take-23, photos-24)

