=========

nsubj(installing-5, I-1)
aux(installing-5, will-2)
neg(installing-5, not-3)
aux(installing-5, be-4)
root(ROOT-0, installing-5)
det(TV-7, this-6)
dobj(installing-5, TV-7)
prep_until(installing-5, tomorrow-9)
dep(installing-5, so-11)
nsubj(update-14, I-12)
aux(update-14, 'll-13)
ccomp(installing-5, update-14)
det(review-16, this-15)
dobj(update-14, review-16)
det(time-19, that-18)
prep_at(update-14, time-19)
advmod(update-14, however-21)
nsubj(anticipate-23, I-22)
dep(update-14, anticipate-23)
nsubj(be-26, it-24)
aux(be-26, will-25)
ccomp(anticipate-23, be-26)
prep_like(be-26, all-28)
dobj(purchased-35, all-28)
det(products-32, the-30)
nn(products-32, Sony-31)
prep_of(all-28, products-32)
nsubj(purchased-35, I-33)
aux(purchased-35, have-34)
rcmod(all-28, purchased-35)
det(past-38, the-37)
prep_in(purchased-35, past-38)
nsubj(superb-44, past-38)
aux(superb-44, will-41)
advmod(superb-44, likely-42)
cop(superb-44, be-43)
rcmod(past-38, superb-44)

=========

advmod(on-2, More-1)
root(ROOT-0, on-2)
advmod(on-2, that-3)
advmod(on-2, later-4)

=========

advmod(ordered-10, Now-1)
det(process-5, the-3)
nn(process-5, order-4)
prep_for(ordered-10, process-5)
conj_and(process-5, fulfillment-7)
prep_for(ordered-10, fulfillment-7)
nsubj(ordered-10, I-9)
root(ROOT-0, ordered-10)
det(TV-12, this-11)
nsubjpass(promised-19, TV-12)
nn(afternoon-15, Tuesday-14)
prep_on(TV-12, afternoon-15)
prep_on(TV-12, delivery-17)
conj_and(afternoon-15, delivery-17)
auxpass(promised-19, was-18)
ccomp(ordered-10, promised-19)
tmod(promised-19, today-20)
num(PM-23, 8:00-22)
agent(promised-19, PM-23)

=========

prepc_as_of(was-8, of-2)
amod(night-4, last-3)
pobj(was-8, night-4)
det(package-7, the-6)
nsubj(was-8, package-7)
root(ROOT-0, was-8)
advmod(was-8, still-9)
prep(was-8, in-10)
dep(in-10, either-11)
prep(was-8, Texas-12)
conj_or(in-10, Texas-12)
pobj(in-10, Texas-12)
prep(was-8, somewhere-14)
advmod(in-10, somewhere-14)
conj_or(in-10, somewhere-14)
dep(in-10, in-15)
det(southwest-17, the-16)
pobj(in-15, southwest-17)
det(center-21, the-19)
amod(center-21, fulfillment-20)
prep_at(southwest-17, center-21)

=========

nsubj(figured-2, I-1)
root(ROOT-0, figured-2)
expl(was-4, there-3)
ccomp(figured-2, was-4)
det(way-6, no-5)
nsubj(was-4, way-6)
nsubj(get-9, it-7)
aux(get-9, would-8)
rcmod(way-6, get-9)
advmod(get-9, here-10)
tmod(get-9, today-11)

=========

nsubj(checked-2, I-1)
root(ROOT-0, checked-2)
det(morning-4, this-3)
tmod(checked-2, morning-4)
nsubj(was-8, it-7)
conj_and(checked-2, was-8)
advmod(was-8, already-9)
det(truck-12, a-11)
prep_on(was-8, truck-12)
amod(delivery-15, local-14)
prep_for(truck-12, delivery-15)

=========

num(minutes-2, Five-1)
nsubj(rang-7, minutes-2)
advmod(minutes-2, later-3)
det(doorbell-6, the-5)
nsubj(rang-7, doorbell-6)
root(ROOT-0, rang-7)
det(package-10, the-9)
nsubj(was-11, package-10)
conj_and(rang-7, was-11)
poss(porch-15, my-13)
amod(porch-15, front-14)
prep_on(was-11, porch-15)
det(driver-19, the-17)
nn(driver-19, FedEx-18)
nsubj(walking-21, driver-19)
aux(walking-21, was-20)
conj_and(rang-7, walking-21)
advmod(walking-21, back-22)
poss(truck-25, his-24)
prep_to(walking-21, truck-25)

=========

det(signature-2, No-1)
nsubjpass(required-4, signature-2)
auxpass(required-4, was-3)
root(ROOT-0, required-4)

=========

nsubj(surprised-3, That-1)
advmod(surprised-3, really-2)
root(ROOT-0, surprised-3)
dobj(surprised-3, me-4)

=========

det(case-3, any-2)
prep_in(arrived-6, case-3)
det(package-5, the-4)
nsubj(arrived-6, package-5)
root(ROOT-0, arrived-6)
advmod(arrived-6, earlier-7)
mark(anticipated-13, than-8)
nsubj(anticipated-13, I-9)
aux(anticipated-13, could-10)
aux(anticipated-13, have-11)
advmod(anticipated-13, reasonably-12)
advcl(arrived-6, anticipated-13)
expl(was-17, there-16)
conj_and(arrived-6, was-17)
det(charge-20, no-18)
nn(charge-20, shipping-19)
nsubj(was-17, charge-20)
advmod(was-17, either-21)

=========

nsubj(order-2, I-1)
root(ROOT-0, order-2)
amod(things-4, many-3)
dobj(order-2, things-4)
prep_from(order-2, Amazon-6)
dep(order-2, so-8)
nn(Prime-10, Amazon-9)
nsubj(pays-12, Prime-10)
advmod(pays-12, really-11)
ccomp(order-2, pays-12)
prt(pays-12, off-13)

=========

nsubj(able-4, I-1)
cop(able-4, was-2)
advmod(able-4, also-3)
root(ROOT-0, able-4)
aux(change-6, to-5)
xcomp(able-4, change-6)
det(appointment-9, the-7)
nn(appointment-9, Comcast-8)
dobj(change-6, appointment-9)
prep_from(change-6, Monday-11)
prep_to(change-6, tomorrow-13)

=========

nsubj(scheduled-4, I-1)
aux(scheduled-4, had-2)
advmod(scheduled-4, originally-3)
root(ROOT-0, scheduled-4)
prep_for(scheduled-4, Monday-6)
mark(believe-11, because-7)
nsubj(believe-11, I-8)
aux(believe-11, did-9)
neg(believe-11, not-10)
advcl(scheduled-4, believe-11)
det(promise-14, the-12)
