=========

nsubj(did-2, I-1)
root(ROOT-0, did-2)
det(lot-4, a-3)
dobj(did-2, lot-4)
prep_of(lot-4, research-6)
partmod(research-6, leading-7)
prt(leading-7, up-8)
det(decision-11, this-10)
prep_to(leading-7, decision-11)

=========

nsubj(leaning-4, I-1)
aux(leaning-4, was-2)
advmod(leaning-4, originally-3)
root(ROOT-0, leaning-4)
det(brands-10, the-6)
amod(brands-10, top-8)
prep_towards(leaning-4, brands-10)
complm(recommending-17, that-11)
nn(reports-13, consumer-12)
nsubj(recommending-17, reports-13)
conj_and(reports-13, cnet-15)
nsubj(recommending-17, cnet-15)
aux(recommending-17, were-16)
ccomp(leaning-4, recommending-17)

=========

det(brands-2, Those-1)
nsubj(Samsung-4, brands-2)
cop(Samsung-4, are-3)
root(ROOT-0, Samsung-4)
conj_and(Samsung-4, Panasonic-6)
conj_and(Samsung-4, LG-9)

=========

aux(fair-3, To-1)
cop(fair-3, be-2)
purpcl(rated-7, fair-3)
det(Sony-6, this-5)
nsubj(rated-7, Sony-6)
root(ROOT-0, rated-7)
advmod(rated-7, well-8)
nn(reports-11, consumer-10)
prep_with(rated-7, reports-11)
nsubj(go-18, you-14)
aux(go-18, can-15)
neg(go-18, not-16)
advmod(go-18, just-17)
conj_but(rated-7, go-18)
prep_by(go-18, reviews-20)
nsubj(has-23, one-22)
xsubj(go-25, one-22)
dep(rated-7, has-23)
aux(go-25, to-24)
xcomp(has-23, go-25)
xcomp(go-25, see-26)
det(t.v.-28, the-27)
dobj(see-26, t.v.-28)
prep_on(t.v.-28, display-30)
det(store-33, a-32)
prep_at(see-26, store-33)
nsubj('s-37, that-36)
conj_and(rated-7, 's-37)
dobj(did-40, what-38)
nsubj(did-40, I-39)
ccomp('s-37, did-40)

=========

num(visits-3, 3-2)
prep_after(leaning-23, visits-3)
det(store-8, a-5)
amod(store-8, big-6)
nn(store-8, electronics-7)
prep_to(visits-3, store-8)
prep_to(visits-3, observing-10)
conj_and(store-8, observing-10)
det(models-13, the-11)
amod(models-13, various-12)
dobj(observing-10, models-13)
det(period-17, a-15)
amod(period-17, long-16)
prep_for(observing-10, period-17)
prep_of(period-17, time-19)
nsubj(leaning-23, I-21)
aux(leaning-23, was-22)
root(ROOT-0, leaning-23)
det(Samsung-28, the-25)
num(Samsung-28, 40-26)
nn(Samsung-28, inch-27)
prep_towards(leaning-23, Samsung-28)

=========

advmod(noticed-7, Right-1)
det(Samsung-5, the-4)
prep_next_to(noticed-7, Samsung-5)
nsubj(noticed-7, I-6)
root(ROOT-0, noticed-7)
det(t.v.-9, a-8)
dobj(noticed-7, t.v.-9)
nsubj(had-11, t.v.-9)
rcmod(t.v.-9, had-11)
det(picture-14, a-12)
amod(picture-14, great-13)
dobj(had-11, picture-14)
advmod(natural-18, much-16)
advmod(natural-18, more-17)
amod(color-21, natural-18)
conj_and(natural-18, richer-20)
amod(color-21, richer-20)
dobj(had-11, color-21)
conj_and(picture-14, color-21)

=========

prep_in(better-8, fact-2)
det(colors-5, the-4)
nsubj(better-8, colors-5)
cop(better-8, were-6)
advmod(better-8, much-7)
root(ROOT-0, better-8)

=========

nsubj(Sony-4, It-1)
cop(Sony-4, was-2)
det(Sony-4, this-3)
root(ROOT-0, Sony-4)

=========

advmod(showing-6, When-1)
det(demo-4, the-2)
nn(demo-4, Samsung-3)
nsubj(showing-6, demo-4)
aux(showing-6, was-5)
advcl(right-15, showing-6)
amod(tones-9, human-7)
nn(tones-9, skin-8)
dobj(showing-6, tones-9)
nsubj(right-15, they-11)
cop(right-15, were-12)
advmod(right-15, just-13)
neg(right-15, not-14)
root(ROOT-0, right-15)

=========

num(woman-4, One-1)
nn(woman-4, darker-2)
nn(woman-4, toned-3)
nsubj(looked-5, woman-4)
root(ROOT-0, looked-5)
acomp(looked-5, orange-6)
det(Sony-10, the-9)
prep_on(right-16, Sony-10)
poss(tones-13, her-12)
nsubj(right-16, tones-13)
cop(right-16, were-14)
advmod(right-16, just-15)
conj_but(looked-5, right-16)

=========

prepc_after(noticed-7, watching-2)
det(while-5, a-4)
prep_for(watching-2, while-5)
nsubj(noticed-7, I-6)
root(ROOT-0, noticed-7)
complm(richer-18, that-8)
predet(colors-11, all-9)
det(colors-11, the-10)
nsubj(richer-18, colors-11)
nsubj(natural-21, colors-11)
partmod(colors-11, represented-12)
det(Sony-15, the-14)
agent(represented-12, Sony-15)
cop(richer-18, were-16)
advmod(richer-18, much-17)
ccomp(noticed-7, richer-18)
advmod(natural-21, more-20)
ccomp(noticed-7, natural-21)
conj_and(richer-18, natural-21)

=========

nsubj(surprised-4, I-1)
cop(surprised-4, was-2)
advmod(surprised-4, pleasantly-3)
root(ROOT-0, surprised-4)

=========

nsubj(noticed-3, I-1)
advmod(noticed-3, also-2)
root(ROOT-0, noticed-3)
complm(observed-7, that-4)
nsubj(observed-7, I-5)
neg(observed-7, never-6)
ccomp(noticed-3, observed-7)
det(blur-10, any-8)
nn(blur-10, motion-9)
dobj(observed-7, blur-10)
amod(scenes-14, fast-12)
nn(scenes-14, motion-13)
prep_on(observed-7, scenes-14)
det(game-18, a-16)
nn(game-18, football-17)
prep_like(observed-7, game-18)

=========

nsubj(noticed-3, I-1)
advmod(noticed-3, also-2)
root(ROOT-0, noticed-3)
complm(better-12, that-4)
poss(use-7, Sony-5)
nsubj(better-12, use-7)
nn(lighting-10, LED-9)
prep_of(use-7, lighting-10)
cop(better-12, was-11)
ccomp(noticed-3, better-12)
prep_than(better-12, Samsung-14)

=========

det(model-3, The-1)
nn(model-3, Samsung-2)
nsubj(made-4, model-3)
root(ROOT-0, made-4)
nsubj(look-6, people-5)
ccomp(made-4, look-6)
advmod(pasty-8, too-7)
acomp(look-6, pasty-8)

=========

nsubj(went-2, I-1)
nsubj(looked-5, I-1)
root(ROOT-0, went-2)
dobj(went-2, home-3)
conj_and(went-2, looked-5)
poss(take-9, CR-7)
prep_at(looked-5, take-9)
det(model-12, this-11)
prep_on(looked-5, model-12)
nsubjpass(rated-16, it-14)
auxpass(rated-16, was-15)
conj_and(went-2, rated-16)
advmod(well-18, very-17)
advmod(rated-16, well-18)

=========

nsubj(said-2, They-1)
root(ROOT-0, said-2)
nsubj(had-4, it-3)
ccomp(said-2, had-4)
det(picture-8, an-5)
amod(picture-8, excellent-6)
nn(picture-8, hd-7)
dobj(had-4, picture-8)

=========

prepc_out_of(said-10, of-2)
det(brands-5, the-3)
num(brands-5, two-4)
pobj(said-10, brands-5)
det(associates-9, the-7)
nn(associates-9, sales-8)
nsubj(said-10, associates-9)
root(ROOT-0, said-10)
nsubj(choose-13, they-11)
aux(choose-13, would-12)
ccomp(said-10, choose-13)
det(Sony-15, the-14)
dobj(choose-13, Sony-15)

=========

nsubj(made-2, I-1)
nsubj(bought-6, I-1)
root(ROOT-0, made-2)
poss(choice-4, my-3)
dobj(made-2, choice-4)
conj_and(made-2, bought-6)
det(model-8, this-7)
dobj(bought-6, model-8)

=========

nsubj(love-3, We-1)
advmod(love-3, absolutely-2)
root(ROOT-0, love-3)
dobj(love-3, it-4)

=========

advmod(took-4, So-1)
pobj(So-1, glad-2)
nsubj(took-4, I-3)
nsubj(went-8, I-3)
root(ROOT-0, took-4)
poss(time-6, my-5)
dobj(took-4, time-6)
conj_and(took-4, went-8)
conj_and(took-4, watched-10)
conj_and(went-8, watched-10)
dobj(went-8, them-11)
det(store-14, the-13)
prep_in(went-8, store-14)

=========

advmod(got-2, Just-1)
root(ROOT-0, got-2)
nn(service-4, hd-3)
dobj(got-2, service-4)
nsubj(happy-9, we-6)
cop(happy-9, are-7)
advmod(happy-9, so-8)
conj_and(got-2, happy-9)
poss(decision-12, our-11)
prep_with(happy-9, decision-12)

=========

root(ROOT-0, Let-1)
nsubj(remind-3, me-2)
ccomp(Let-1, remind-3)
dobj(remind-3, you-4)
complm(making-9, that-5)
nsubj(making-9, Sony-6)
aux(making-9, has-7)
aux(making-9, been-8)
ccomp(remind-3, making-9)
dobj(making-9, t.v.-10)
possessive(t.v.-10, 's-11)
det(time-15, a-13)
amod(time-15, long-14)
prep_for(t.v.-10, time-15)
nsubj(glad-19, I-17)
cop(glad-19, am-18)
ccomp(remind-3, glad-19)
conj_and(making-9, glad-19)
nsubj(chose-21, I-20)
ccomp(glad-19, chose-21)
dobj(chose-21, them-22)

=========

advmod(great-5, Also-1)
nsubj(great-5, it-3)
cop(great-5, is-4)
root(ROOT-0, great-5)
aux(have-7, to-6)
xcomp(great-5, have-7)
nn(stream-9, Netflix-8)
nsubj(helps-16, stream-9)
dep(helps-16, right-10)
det(Hope-14, the-12)
nn(Hope-14, t.v.-13)
prep_to(right-10, Hope-14)
nsubj(helps-16, this-15)
xcomp(have-7, helps-16)

