=========

advmod(happier-12, First-1)
dobj(!!!!!-7, What-3)
det(TV-6, a-4)
amod(TV-6, great-5)
nsubj(!!!!!-7, TV-6)
dep(happier-12, !!!!!-7)
nsubj(happier-12, I-8)
aux(happier-12, could-9)
neg(happier-12, not-10)
cop(happier-12, be-11)
root(ROOT-0, happier-12)

=========

nsubj(perfect-7, Plenty-1)
nn(ups-4, hook-3)
prep_of(Plenty-1, ups-4)
prep_of(Plenty-1, works-6)
conj_and(ups-4, works-6)
root(ROOT-0, perfect-7)

=========

nsubj(had-2, It-1)
root(ROOT-0, had-2)
det(scratch-5, a-3)
nn(scratch-5, surface-4)
dobj(had-2, scratch-5)
det(screen-8, the-7)
prep_on(scratch-5, screen-8)
nsubj(reason-12, screen-8)
cop(reason-12, is-10)
det(reason-12, the-11)
rcmod(screen-8, reason-12)
nsubjpass(sold-15, it-13)
auxpass(sold-15, was-14)
rcmod(reason-12, sold-15)
det(discount-18, a-17)
prep_at(sold-15, discount-18)
det(program-22, the-20)
nn(program-22, warehouse-21)
prep_through(sold-15, program-22)

=========

nsubj(see-4, I-1)
aux(see-4, can-2)
neg(see-4, not-3)
root(ROOT-0, see-4)
det(scratch-6, the-5)
dobj(see-4, scratch-6)
mark(turned-11, unless-7)
det(TV-9, the-8)
nsubjpass(turned-11, TV-9)
auxpass(turned-11, is-10)
advcl(see-4, turned-11)
dobj(turned-11, OFF-12)
nsubj(look-15, you-14)
conj_and(see-4, look-15)
prep_at(look-15, it-17)
det(angle-21, an-19)
amod(angle-21, exact-20)
prep_at(look-15, angle-21)

=========

nn(guy-2, Delivery-1)
nsubj(great-4, guy-2)
nsubj(makes-41, guy-2)
cop(great-4, was-3)
root(ROOT-0, great-4)
nsubj(brought-7, he-6)
nsubj(turned-19, he-6)
ccomp(great-4, brought-7)
conj_and(great-4, brought-7)
dobj(brought-7, it-8)
det(house-11, the-10)
prep_in(brought-7, house-11)
partmod(house-11, removed-13)
det(box-16, the-15)
prep_from(removed-13, box-16)
ccomp(great-4, turned-19)
conj_and(great-4, turned-19)
conj_and(brought-7, turned-19)
dobj(turned-19, it-20)
aux(make-23, to-22)
prep_on(turned-19, make-23)
acomp(make-23, sure-24)
nsubj(worked-26, it-25)
dep(sure-24, worked-26)
nsubj(hook-31, he-28)
aux(hook-31, does-29)
neg(hook-31, not-30)
parataxis(worked-26, hook-31)
dobj(hook-31, it-32)
prt(hook-31, up-33)
prep_to(hook-31, cable-35)
prep_on(turned-19, anything-37)
conj_or(make-23, anything-37)
advmod(anything-37, else-38)
advmod(makes-41, just-40)
conj_and(great-4, makes-41)
acomp(makes-41, sure-42)
det(screen-45, the-43)
amod(screen-45, blue-44)
dep(makes-41, screen-45)
rcmod(screen-45, comes-46)
prt(comes-46, on-47)
det(menus-51, the-49)
nn(menus-51, setup-50)
nsubj(show-52, menus-51)
conj_and(great-4, show-52)
prt(show-52, up-53)

=========

poss(complaint-3, My-1)
amod(complaint-3, only-2)
nsubj(program-7, complaint-3)
cop(program-7, is-4)
det(program-7, the-5)
nn(program-7, warehouse-6)
root(ROOT-0, program-7)
auxpass(described-10, is-8)
neg(described-10, not-9)
rcmod(program-7, described-10)
advmod(well-12, very-11)
advmod(described-10, well-12)

=========

prepc_after(understood-7, contacting-2)
dobj(contacting-2, them-3)
prep_by(contacting-2, phone-5)
nsubj(understood-7, I-6)
root(ROOT-0, understood-7)
advmod(better-9, much-8)
acomp(understood-7, better-9)

=========

nsubj(recommend-3, I-1)
aux(recommend-3, would-2)
root(ROOT-0, recommend-3)
complm(call-6, that-4)
nsubj(call-6, you-5)
ccomp(recommend-3, call-6)
nsubj(understand-10, Amazon-7)
advmod(understand-10, first-8)
aux(understand-10, to-9)
xcomp(call-6, understand-10)
advmod(works-13, how-11)
nsubj(works-13, it-12)
ccomp(understand-10, works-13)

=========

poss(surprise-3, My-1)
amod(surprise-3, biggest-2)
nsubj(was-4, surprise-3)
root(ROOT-0, was-4)
expl(is-6, there-5)
ccomp(was-4, is-6)
det(warranty-8, no-7)
nsubj(is-6, warranty-8)
advmod(is-6, at-9)
pobj(at-9, all-10)
prepc_except_for(is-6, for-13)
poss(satisfaction-18, Amazon-14)
num(satisfaction-18, 30-16)
nn(satisfaction-18, day-17)
pobj(is-6, satisfaction-18)

=========

poss(experience-2, My-1)
nsubj(is-3, experience-2)
root(ROOT-0, is-3)
complm(reconditioned-6, that-4)
nsubj(reconditioned-6, &#34;-5)
ccomp(is-3, reconditioned-6)
num(items-8, &#34;-7)
nsubj(have-9, items-8)
ccomp(reconditioned-6, have-9)
det(warranty-13, a-10)
amod(warranty-13, reduced-11)
nn(warranty-13, manufacturer-12)
dobj(have-9, warranty-13)

=========

root(ROOT-0, Not-1)
dep(Not-1, true-2)
det(program-5, this-4)
prep_through(true-2, program-5)

