=========

det(summer-2, This-1)
tmod(decided-4, summer-2)
xsubj(upgrade-6, summer-2)
nsubj(decided-4, I-3)
xsubj(upgrade-6, I-3)
nsubj(bought-11, I-3)
root(ROOT-0, decided-4)
aux(upgrade-6, to-5)
xcomp(decided-4, upgrade-6)
quantmod(3DTV-9, a-8)
prep_to(upgrade-6, 3DTV-9)
conj_and(decided-4, bought-11)
det(LG-13, an-12)
dobj(bought-11, LG-13)
num(LG-13, 47LM7600-14)
nsubj(Cinema-20, it-17)
cop(Cinema-20, is-18)
conj_but(decided-4, Cinema-20)
num(Cinema-20, 3D-21)
aux(live-25, did-23)
neg(live-25, not-24)
rcmod(Cinema-20, live-25)
prt(live-25, up-26)
det(hype-29, the-28)
prep_to(live-25, hype-29)
dep(Cinema-20, so-31)
nsubj(returned-33, I-32)
dep(Cinema-20, returned-33)
dobj(returned-33, it-34)

=========

aux(replace-2, To-1)
dep(ended-5, replace-2)
dobj(replace-2, it-3)
nsubj(ended-5, I-4)
root(ROOT-0, ended-5)
prt(ended-5, up-6)
xcomp(ended-5, buying-7)
det(TC-P55VT50-10, a-8)
nn(TC-P55VT50-10, Panasonic-9)
dobj(buying-7, TC-P55VT50-10)
nsubj(double-18, TC-P55VT50-10)
det(time-15, the-14)
prep_at(double-18, time-15)
aux(double-18, was-16)
advmod(double-18, exactly-17)
rcmod(TC-P55VT50-10, double-18)
det(price-20, the-19)
dobj(double-18, price-20)
det(LG-23, the-22)
prep_of(price-20, LG-23)

=========

nsubj(owned-4, I-1)
aux(owned-4, had-2)
neg(owned-4, never-3)
root(ROOT-0, owned-4)
det(plasma-6, a-5)
dobj(owned-4, plasma-6)
advmod(owned-4, before-7)
nsubj(considered-14, I-9)
aux(considered-14, would-10)
neg(considered-14, not-11)
advmod(considered-14, normally-12)
aux(considered-14, have-13)
conj_and(owned-4, considered-14)
dobj(considered-14, one-15)
mark(researched-20, as-18)
nsubj(researched-20, I-19)
advcl(saw-27, researched-20)
det(TV-22, which-21)
nsubj(buy-24, TV-22)
aux(buy-24, to-23)
ccomp(researched-20, buy-24)
xcomp(researched-20, buy-24)
nsubj(saw-27, I-25)
advmod(saw-27, consistently-26)
conj_but(owned-4, saw-27)
dobj(saw-27, reviewers-28)
xcomp(saw-27, saying-29)
complm(had-33, that-30)
det(TV-32, this-31)
nsubj(had-33, TV-32)
ccomp(saying-29, had-33)
det(quality-37, the-34)
amod(quality-37, best-35)
nn(quality-37, picture-36)
dobj(had-33, quality-37)
det(TV-40, any-39)
prep_of(quality-37, TV-40)
det(market-43, the-42)
prep_on(TV-40, market-43)

=========

cc(right-4, And-1)
nsubj(right-4, they-2)
cop(right-4, were-3)
root(ROOT-0, right-4)

=========

det(TV-2, This-1)
nsubj(produces-3, TV-2)
root(ROOT-0, produces-3)
det(picture-6, the-4)
amod(picture-6, best-looking-5)
dobj(produces-3, picture-6)
complm(seen-11, that-7)
nsubj(seen-11, I-8)
aux(seen-11, have-9)
advmod(seen-11, ever-10)
ccomp(produces-3, seen-11)
det(TV-14, any-13)
prep_on(seen-11, TV-14)
advmod(TV-14, anywhere-15)
appos(TV-14, period-17)

=========

nsubj(talking-4, I-1)
aux(talking-4, am-2)
neg(talking-4, not-3)
root(ROOT-0, talking-4)
amod(differences-7, subtle-6)
prep_about(talking-4, differences-7)
complm(notice-13, that-8)
advmod(pro-11, only-9)
det(pro-11, a-10)
nsubj(notice-13, pro-11)
aux(notice-13, would-12)
ccomp(talking-4, notice-13)
nsubj(experience-21, it-15)
cop(experience-21, is-16)
det(experience-21, a-17)
advmod(different-19, completely-18)
amod(experience-21, different-19)
amod(experience-21, viewing-20)
parataxis(talking-4, experience-21)

=========

predet(research-4, all-2)
det(research-4, the-3)
dobj(did-7, research-4)
prep_despite(appreciate-13, research-4)
complm(did-7, that-5)
nsubj(did-7, I-6)
dep(research-4, did-7)
nsubj(appreciate-13, I-9)
aux(appreciate-13, did-10)
neg(appreciate-13, not-11)
advmod(appreciate-13, really-12)
root(ROOT-0, appreciate-13)
det(difference-15, the-14)
dobj(appreciate-13, difference-15)
mark(had-18, until-16)
nsubj(had-18, I-17)
advcl(appreciate-13, had-18)
det(TV-20, the-19)
dobj(had-18, TV-20)
poss(room-24, my-22)
nn(room-24, living-23)
prep_in(TV-20, room-24)

=========

advmod(seeing-14, Basically-1)
advmod(watch-5, when-3)
nsubj(watch-5, you-4)
advcl(seeing-14, watch-5)
det(movie-7, a-6)
dobj(watch-5, movie-7)
det(TV-10, this-9)
prep_on(movie-7, TV-10)
nsubj(seeing-14, you-12)
aux(seeing-14, are-13)
root(ROOT-0, seeing-14)
iobj(seeing-14, it-15)
det(way-17, the-16)
dobj(seeing-14, way-17)
nsubjpass(intended-20, it-18)
xsubj(look-22, it-18)
auxpass(intended-20, was-19)
rcmod(way-17, intended-20)
aux(look-22, to-21)
xcomp(intended-20, look-22)

=========

det(colors-2, The-1)
nsubj(vibrant-4, colors-2)
nsubj(gray-16, colors-2)
cop(vibrant-4, are-3)
root(ROOT-0, vibrant-4)
prepc_without(vibrant-4, looking-6)
dobj(looking-6, fake-7)
det(looks-11, the-9)
amod(looks-11, black-10)
dep(gray-16, looks-11)
amod(looks-11, black-12)
amod(looks-11, dark-15)
conj_negcc(black-12, dark-15)
ccomp(vibrant-4, gray-16)
conj_and(vibrant-4, gray-16)
expl(is-20, there-19)
conj_and(vibrant-4, is-20)
det(motion-22, no-21)
nsubj(is-20, motion-22)
dep(motion-22, blur-23)
advmod(blur-23, at-24)
pobj(at-24, all-25)

=========

amod(ways-3, many-2)
prep_in(recreates-5, ways-3)
nsubj(recreates-5, it-4)
root(ROOT-0, recreates-5)
det(picture-7, the-6)
dobj(recreates-5, picture-7)
det(theater-11, a-9)
nn(theater-11, movie-10)
prep_of(picture-7, theater-11)

=========

nn(XBR4-3, My-1)
nn(XBR4-3, Sony-2)
dobj(used-6, XBR4-3)
nsubj(looks-12, XBR4-3)
complm(used-6, that-4)
nsubj(used-6, I-5)
xsubj(think-8, I-5)
dep(XBR4-3, used-6)
aux(think-8, to-7)
xcomp(used-6, think-8)
acomp(think-8, highly-9)
prep(highly-9, of-10)
pcomp(of-10, now-11)
root(ROOT-0, looks-12)
acomp(looks-12, washed-out-13)
acomp(looks-12, dull-15)
conj_and(washed-out-13, dull-15)
prep_to(looks-12, me-17)

=========

det(Panasonic-2, The-1)
poss(3D-4, Panasonic-2)
nsubj(amazing-18, 3D-4)
nsubj(best-31, 3D-4)
det(feature-7, the-6)
dep(3D-4, feature-7)
complm(bought-11, that-8)
nsubj(bought-11, I-9)
advmod(bought-11, actually-10)
dep(feature-7, bought-11)
det(TV-13, the-12)
dobj(bought-11, TV-13)
prep(bought-11, for-14)
cop(amazing-18, is-16)
advmod(amazing-18, also-17)
root(ROOT-0, amazing-18)
nsubj(see-23, I-20)
advmod(see-23, only-21)
advmod(see-23, rarely-22)
parataxis(amazing-18, see-23)
parataxis(best-31, see-23)
dobj(see-23, crosstalk-24)
dobj(see-23, flicker-26)
conj_or(crosstalk-24, flicker-26)
advmod(best-31, also-29)
det(best-31, the-30)
conj_and(amazing-18, best-31)
det(market-34, the-33)
prep_on(best-31, market-34)
prepc_according_to(best-31, to-36)
det(experts-38, some-37)
pobj(best-31, experts-38)
poss(quality-43, its-41)
amod(quality-43, high-42)
nsubjpass(overshadowed-45, quality-43)
auxpass(overshadowed-45, is-44)
conj_but(amazing-18, overshadowed-45)
advmod(impressive-48, how-47)
dep(is-53, impressive-48)
det(quality-52, the-49)
amod(quality-52, overall-50)
nn(quality-52, picture-51)
nsubj(is-53, quality-52)
agent(overshadowed-45, is-53)
prepc_compared_to(is-53, to-55)
amod(TVs-57, competing-56)
pobj(is-53, TVs-57)

=========

det(reviewer-2, Another-1)
nsubj(mentioned-3, reviewer-2)
root(ROOT-0, mentioned-3)
complm(disliked-6, that-4)
nsubj(disliked-6, he-5)
ccomp(mentioned-3, disliked-6)
det(TV-8, this-7)
dobj(disliked-6, TV-8)
mark(bright-14, because-9)
det(whites-11, the-10)
nsubj(bright-14, whites-11)
cop(bright-14, were-12)
neg(bright-14, not-13)
advcl(disliked-6, bright-14)
advmod(bright-14, enough-15)

=========

nsubj(true-3, It-1)
cop(true-3, is-2)
root(ROOT-0, true-3)
complm(bright-10, that-4)
det(whites-6, the-5)
nsubj(bright-10, whites-6)
cop(bright-10, are-7)
neg(bright-10, not-8)
advmod(bright-10, as-9)
ccomp(true-3, bright-10)
prep(bright-10, as-11)
pcomp(as-11, on-12)
det(LCD-14, an-13)
prep_on(as-11, LCD-14)
nsubj(LIKE-18, I-17)
conj_but(true-3, LIKE-18)
det(way-20, the-19)
dobj(LIKE-18, way-20)
dobj(look-22, way-20)
nsubj(look-22, they-21)
rcmod(way-20, look-22)

=========

det(world-4, the-2)
amod(world-4, real-3)
prep_in(have-10, world-4)
amod(objects-7, white-6)
nsubj(have-10, objects-7)
aux(have-10, do-8)
neg(have-10, not-9)
root(ROOT-0, have-10)
det(otherworldly-12, an-11)
nsubj(glow-13, otherworldly-12)
xcomp(have-10, glow-13)
det(white-17, the-15)
amod(white-17, bright-16)
prep_like(have-10, white-17)
det(screen-21, an-19)
nn(screen-21, LCD-20)
prep_of(white-17, screen-21)
dep(have-10, so-23)
advmod(see-26, when-24)
nsubj(see-26, you-25)
advcl(look-35, see-26)
det(objects-28, those-27)
dobj(see-26, objects-28)
det(movie-31, a-30)
prep_in(objects-28, movie-31)
nsubj(look-35, they-32)
aux(look-35, should-33)
neg(look-35, not-34)
ccomp(have-10, look-35)
prep_like(look-35, that-37)
advmod(look-35, either-38)

=========

root(ROOT-0, Drawbacks-1)

=========

expl(is-2, There-1)
root(ROOT-0, is-2)
advmod(is-2, really-3)
advmod(one-7, only-4)
num(one-7, one-5)
amod(one-7, major-6)
nsubj(is-2, one-7)
nsubj(is-10, one-7)
rcmod(one-7, is-10)
complm(work-16, that-11)
det(TV-13, this-12)
nsubj(work-16, TV-13)
aux(work-16, does-14)
neg(work-16, not-15)
ccomp(is-10, work-16)
advmod(well-18, very-17)
advmod(work-16, well-18)
det(monitor-22, a-20)
nn(monitor-22, computer-21)
prep_as(work-16, monitor-22)

=========

det(reason-2, The-1)
nsubj(is-3, reason-2)
root(ROOT-0, is-3)
complm(prevent-6, that-4)
aux(prevent-6, to-5)
ccomp(is-3, prevent-6)
xcomp(is-3, prevent-6)
nn(retention-8, image-7)
dobj(prevent-6, retention-8)
nn(burn-in-11, a.k.a.-10)
appos(retention-8, burn-in-11)
nsubj(chops-14, it-13)
rcmod(retention-8, chops-14)
prt(chops-14, off-15)
num(%-17, 5-16)
dobj(chops-14, %-17)
det(edges-20, the-19)
prep_from(chops-14, edges-20)
det(screen-23, the-22)
prep_of(edges-20, screen-23)
nsubj(is-26, screen-23)
rcmod(screen-23, is-26)
advmod(are-35, where-27)
nsubj(are-35, all-28)
det(buttons-32, the-30)
amod(buttons-32, important-31)
prep_of(all-28, buttons-32)
prep_of(all-28, icons-34)
conj_and(buttons-32, icons-34)
advcl(is-26, are-35)
det(desktop-39, a-37)
nn(desktop-39, computer-38)
prep_on(are-35, desktop-39)

=========

nsubj(disable-3, You-1)
aux(disable-3, can-2)
root(ROOT-0, disable-3)
det(feature-5, this-4)
dobj(disable-3, feature-5)
nsubj(makes-9, that-8)
conj_but(disable-3, makes-9)
det(TV-11, the-10)
nsubj(susceptible-13, TV-11)
advmod(susceptible-13, very-12)
xcomp(makes-9, susceptible-13)
nn(retention-16, image-15)
prep_to(susceptible-13, retention-16)
mark(idea-24, so-18)
nsubj(idea-24, it-19)
cop(idea-24, is-20)
neg(idea-24, not-21)
det(idea-24, a-22)
amod(idea-24, good-23)
advcl(makes-9, idea-24)

=========

cc(choice-22, So-1)
mark(planning-5, if-2)
nsubj(planning-5, you-3)
xsubj(use-7, you-3)
aux(planning-5, are-4)
dep(choice-22, planning-5)
aux(use-7, to-6)
xcomp(planning-5, use-7)
poss(TV-9, your-8)
dobj(use-7, TV-9)
mark(monitor-13, as-10)
det(computer-12, a-11)
nsubj(monitor-13, computer-12)
advcl(use-7, monitor-13)
advmod(monitor-13, then-14)
det(TV-16, this-15)
nsubj(choice-22, TV-16)
cop(choice-22, is-17)
advmod(choice-22, probably-18)
neg(choice-22, not-19)
det(choice-22, a-20)
amod(choice-22, good-21)
root(ROOT-0, choice-22)
prep_for(choice-22, you-24)

=========

prep_for(best-8, everyone-2)
advmod(everyone-2, else-3)
nsubj(best-8, it-5)
cop(best-8, is-6)
det(best-8, the-7)
root(ROOT-0, best-8)
