=========

nsubj(scanned-2, I-1)
root(ROOT-0, scanned-2)
amod(websites-4, various-3)
dobj(scanned-2, websites-4)
nsubj(reviewed-6, websites-4)
rcmod(websites-4, reviewed-6)
amod(screens-8, flat-7)
nsubj(going-12, screens-8)
nsubj(looking-16, screens-8)
ccomp(reviewed-6, going-12)
prep_to(going-12, stores-14)
ccomp(reviewed-6, looking-16)
conj_and(going-12, looking-16)
det(units-20, the-18)
amod(units-20, different-19)
prep_at(looking-16, units-20)

=========

dobj(wanted-3, What-1)
nsubj(wanted-3, I-2)
csubj(screen-7, wanted-3)
cop(screen-7, was-4)
det(screen-7, a-5)
amod(screen-7, flat-6)
root(ROOT-0, screen-7)
nsubj(gave-9, screen-7)
nsubj(looked-14, screen-7)
rcmod(screen-7, gave-9)
det(color-12, a-10)
amod(color-12, good-11)
dobj(gave-9, color-12)
rcmod(screen-7, looked-14)
conj_and(gave-9, looked-14)
dep(looked-14, smooth-15)
poss(TV-20, my-17)
amod(TV-20, previous-18)
nn(TV-20, tube-19)
prep_like(smooth-15, TV-20)
neg(stark-23, not-22)
dep(looked-14, stark-23)
conj_and(smooth-15, stark-23)
dep(looked-14, flat-25)
conj_and(smooth-15, flat-25)

=========

det(TV-3, The-1)
nn(TV-3, plasma-2)
nsubjpass(seemed-5, TV-3)
xsubj(give-7, TV-3)
auxpass(seemed-5, 's-4)
root(ROOT-0, seemed-5)
aux(give-7, to-6)
xcomp(seemed-5, give-7)
nn(blacks-9, blacker-8)
dobj(give-7, blacks-9)
amod(colors-12, smoother-11)
xcomp(seemed-5, colors-12)
conj_and(give-7, colors-12)
dobj(give-7, colors-12)
dep(seemed-5, so-14)
nsubj(chose-16, I-15)
ccomp(seemed-5, chose-16)
dobj(chose-16, PLASMA-17)

=========

advmod(wanted-3, Next-1)
nsubj(wanted-3, I-2)
root(ROOT-0, wanted-3)
det(best-5, the-4)
dobj(wanted-3, best-5)
partmod(best-5, rated-6)
dobj(rated-6, plasma-7)
prepc_while(rated-6, maintaining-9)
det(price-12, a-10)
amod(price-12, reasonable-11)
dobj(maintaining-9, price-12)

=========

predet(that-2, All-1)
nsubj(said-3, that-2)
ccomp(settled-6, said-3)
nsubj(settled-6, I-5)
root(ROOT-0, settled-6)
det(VIERA-10, the-8)
nn(VIERA-10, Panasonic-9)
prep_on(settled-6, VIERA-10)
advmod(skeptical-18, even-12)
dep(skeptical-18, though-13)
nsubj(skeptical-18, I-14)
cop(skeptical-18, was-15)
det(little-17, a-16)
npadvmod(skeptical-18, little-17)
ccomp(settled-6, skeptical-18)
prep_of(skeptical-18, Panasonic-20)
mark(see-25, since-21)
nsubj(see-25, you-22)
aux(see-25, do-23)
neg(see-25, not-24)
advcl(skeptical-18, see-25)
dobj(see-25, them-26)
amod(stores-29, most-28)
prep_in(see-25, stores-29)

=========

nsubj(happy-4, I-1)
cop(happy-4, am-2)
advmod(happy-4, extremely-3)
root(ROOT-0, happy-4)
det(unit-7, the-6)
prep_with(happy-4, unit-7)

=========

nsubj(beats-4, It-1)
advmod(than-3, more-2)
advmod(beats-4, than-3)
root(ROOT-0, beats-4)
poss(expectations-6, my-5)
dobj(beats-4, expectations-6)

=========

nsubj(easy-3, It-1)
cop(easy-3, was-2)
root(ROOT-0, easy-3)
aux(set-5, to-4)
xcomp(easy-3, set-5)
prt(set-5, up-6)
nsubj(has-9, it-8)
conj_and(easy-3, has-9)
det(feature-12, the-10)
amod(feature-12, added-11)
dobj(has-9, feature-12)
cop(3-D-15, being-14)
prepc_of(feature-12, 3-D-15)

=========

nsubj(hope-3, I-1)
advmod(hope-3, just-2)
root(ROOT-0, hope-3)
nsubj(lasts-5, it-4)
ccomp(hope-3, lasts-5)
advmod(long-7, as-6)
advmod(lasts-5, long-7)
poss(TV-11, my-9)
amod(TV-11, previous-10)
prep_as(lasts-5, TV-11)

