=========

nn(TV-2, Great-1)
nsubj(good-6, TV-2)
appos(TV-2, 3d-4)
cop(good-6, is-5)
root(ROOT-0, good-6)
nsubj(work-14, hdtv-8)
cop(work-14, is-9)
amod(work-14, good-10)
amod(work-14, internet-12)
nn(work-14, apps-13)
dep(good-6, work-14)
advmod(work-14, fast-15)
mark(have-19, If-17)
nsubj(have-19, you-18)
ccomp(good-6, have-19)
det(space-22, a-20)
amod(space-22, small-21)
dobj(have-19, space-22)
nsubj(recommend-24, I-23)
rcmod(space-22, recommend-24)
det(one-26, this-25)
dobj(recommend-24, one-26)

