=========

nn(IQ-2, JPEG-1)
nsubj(great-4, IQ-2)
nsubj(high-7, IQ-2)
cop(great-4, is-3)
ccomp(old-14, great-4)
conj_but(great-4, high-7)
ccomp(old-14, high-7)
nsubj(mediocre-10, ISO-8)
cop(mediocre-10, is-9)
ccomp(great-4, mediocre-10)
nsubj(old-14, sensor-12)
cop(old-14, is-13)
root(ROOT-0, old-14)
prep(old-14, vs.-15)
amod(cameras-18, rival-16)
nn(cameras-18, mirrorless-17)
dep(vs.-15, cameras-18)
nn(focus-21, auto-20)
nsubj(enough-24, focus-21)
nsubj(lack-26, focus-21)
cop(enough-24, is-22)
advmod(enough-24, fast-23)
parataxis(old-14, enough-24)
parataxis(old-14, lack-26)
conj_but(enough-24, lack-26)
dep(lack-26, focus-27)
dep(focus-27, assist-28)
amod(light-31, low-30)
prep_in(assist-28, light-31)
nsubj(useless-36, which-33)
cop(useless-36, is-34)
advmod(useless-36, near-35)
ccomp(old-14, useless-36)
prepc_with(useless-36, moving-38)
dobj(moving-38, objects-39)
dobj(moving-38, people-41)
conj_or(objects-39, people-41)
amod(light-44, low-43)
prep_in(moving-38, light-44)

