=========

nsubj(repeat-4, I-1)
nsubj(wanted-10, I-1)
xsubj(point-12, I-1)
aux(repeat-4, will-2)
neg(repeat-4, not-3)
root(ROOT-0, repeat-4)
dobj(said-8, what-5)
nsubj(said-8, others-6)
aux(said-8, have-7)
ccomp(repeat-4, said-8)
conj_but(repeat-4, wanted-10)
aux(point-12, to-11)
xcomp(wanted-10, point-12)
prt(point-12, out-13)
det(issues-16, a-14)
amod(issues-16, few-15)
dobj(point-12, issues-16)
complm(had-20, that-17)
nsubj(had-20, I-18)
aux(had-20, have-19)
ccomp(point-12, had-20)
poss(camera-23, my-22)
prep_with(had-20, camera-23)

=========

det(screen-3, The-1)
nn(screen-3, monitor-2)
nsubj(got-4, screen-3)
root(ROOT-0, got-4)
dobj(got-4, scratched-5)
prep_on(got-4, mine-7)
amod(use-10, normal-9)
prep_during(got-4, use-10)

=========

nsubj(scratched-4, I-1)
aux(scratched-4, have-2)
neg(scratched-4, never-3)
root(ROOT-0, scratched-4)
det(screen-6, a-5)
dobj(scratched-4, screen-6)
prep_on(screen-6, any-8)
poss(cameras-12, my-10)
amod(cameras-12, digital-11)
prep_of(any-8, cameras-12)
nn(phones-15, cell-14)
prep_of(any-8, phones-15)
conj_or(cameras-12, phones-15)
advmod(scratched-4, before-16)

=========

det(camera-2, This-1)
nsubj(new-5, camera-2)
nsubj(stored-7, camera-2)
cop(new-5, was-3)
dep(new-5, brand-4)
root(ROOT-0, new-5)
conj_and(new-5, stored-7)
predet(case-14, a-9)
det(case-14, a-10)
nn(case-14, brand-11)
amod(case-14, new-12)
nn(case-14, camera-13)
prep_in(stored-7, case-14)
advmod(used-20, when-15)
nsubjpass(used-20, it-16)
aux(used-20, was-17)
neg(used-20, not-18)
auxpass(used-20, being-19)
advcl(stored-7, used-20)

=========

det(screen-3, The-1)
nn(screen-3, monitor-2)
nsubj(ended-4, screen-3)
dep(owned-21, ended-4)
prt(ended-4, up-5)
det(bunch-8, a-7)
prep_with(ended-4, bunch-8)
amod(scratches-11, tiny-10)
prep_of(bunch-8, scratches-11)
amod(use-14, normal-13)
prep_during(ended-4, use-14)
det(weeks-19, the-16)
amod(weeks-19, first-17)
amod(weeks-19, few-18)
prep_during(ended-4, weeks-19)
nsubj(owned-21, I-20)
nsubj(brought-24, I-20)
root(ROOT-0, owned-21)
dobj(owned-21, it-22)
conj_and(owned-21, brought-24)
dobj(brought-24, it-25)
prep_on(brought-24, vacation-27)

=========

nsubj(possible-5, It-1)
aux(possible-5, should-2)
neg(possible-5, not-3)
cop(possible-5, be-4)
root(ROOT-0, possible-5)
aux(make-7, to-6)
xcomp(possible-5, make-7)
amod(scratches-9, tiny-8)
dobj(make-7, scratches-9)
mark(hardened-15, as-10)
det(screen-12, the-11)
nsubjpass(hardened-15, screen-12)
aux(hardened-15, should-13)
auxpass(hardened-15, be-14)
advcl(make-7, hardened-15)
det(extent-18, the-17)
prep_to(hardened-15, extent-18)
advmod(puts-24, where-19)
advmod(impact-23, only-20)
det(impact-23, a-21)
amod(impact-23, major-22)
nsubj(puts-24, impact-23)
advcl(possible-5, puts-24)
det(scratch-26, a-25)
dobj(puts-24, scratch-26)
prep_on(scratch-26, it-28)
nsubj(create-33, that-31)
aux(create-33, would-32)
conj_and(possible-5, create-33)
det(scratch-36, a-34)
amod(scratch-36, deep-35)
dobj(create-33, scratch-36)
prep(create-33, not-37)
det(bunch-39, a-38)
pobj(not-37, bunch-39)
nsubj(indicative-46, bunch-39)
amod(ones-42, tiny-41)
prep_of(bunch-39, ones-42)
cop(indicative-46, are-44)
advmod(indicative-46, more-45)
rcmod(bunch-39, indicative-46)
det(plastic-49, the-48)
npadvmod(just-50, plastic-49)
advmod(soft-53, just-50)
cop(soft-53, being-51)
advmod(soft-53, too-52)
prepc_of(indicative-46, soft-53)

=========

poss(situation-3, my-2)
prep_in(realized-6, situation-3)
nsubj(realized-6, I-5)
root(ROOT-0, realized-6)
complm(soft-13, that-7)
det(screen-9, the-8)
nsubj(soft-13, screen-9)
cop(soft-13, was-10)
advmod(soft-13, just-11)
advmod(soft-13, too-12)
ccomp(realized-6, soft-13)
amod(defective-15, likely-14)
amod(soft-13, defective-15)

=========

det(screen-2, The-1)
nsubj(sticks-4, screen-2)
advmod(sticks-4, obviously-3)
root(ROOT-0, sticks-4)
prt(sticks-4, out-5)
conj_and(sticks-4, rubs-7)
dep(rubs-7, against-8)
poss(shirt-10, your-9)
pobj(against-8, shirt-10)
advmod(used-15, when-11)
nsubjpass(used-15, it-12)
aux(used-15, is-13)
auxpass(used-15, being-14)
advcl(sticks-4, used-15)
nsubj(needs-18, it-17)
xsubj(able-21, it-17)
conj_and(sticks-4, needs-18)
aux(able-21, to-19)
cop(able-21, be-20)
xcomp(needs-18, able-21)
aux(rub-23, to-22)
xcomp(able-21, rub-23)
prep_against(rub-23, things-25)
nn(buttons-28, shirt-27)
prep_like(things-25, buttons-28)

=========

nsubj(designed-2, They-1)
root(ROOT-0, designed-2)
dobj(designed-2, it-3)
advmod(part-11, so-4)
dep(part-11, that-5)
det(screen-7, the-6)
nsubj(part-11, screen-7)
cop(part-11, is-8)
det(part-11, the-9)
amod(part-11, outermost-10)
advcl(designed-2, part-11)
det(camera-14, the-13)
prep_of(part-11, camera-14)
advmod(part-11, back-15)
mark(resting-21, so-16)
nsubj(resting-21, it-17)
aux(resting-21, will-18)
advmod(resting-21, always-19)
cop(resting-21, be-20)
advcl(part-11, resting-21)
prep_against(resting-21, something-23)
advmod(in-25, when-24)
advcl(resting-21, in-25)
det(case-27, the-26)
pobj(in-25, case-27)
prep_of(case-27, hung-29)
det(strap-33, the-31)
nn(strap-33, neck-32)
prep_from(hung-29, strap-33)

=========

advmod(failed-4, Anyway-1)
nsubj(failed-4, Olympus-3)
xsubj(honor-6, Olympus-3)
root(ROOT-0, failed-4)
aux(honor-6, to-5)
xcomp(failed-4, honor-6)
det(warranty-8, the-7)
dobj(honor-6, warranty-8)
det(screen-11, the-10)
prep_on(warranty-8, screen-11)
det(fact-14, the-13)
prep_despite(honor-6, fact-14)
complm(defective-18, that-15)
nsubj(defective-18, it-16)
cop(defective-18, was-17)
ccomp(honor-6, defective-18)
dep(way-22, became-20)
amod(way-22, scratched-21)
conj_and(failed-4, way-22)
advmod(easily-24, too-23)
advmod(way-22, easily-24)
amod(use-27, normal-26)
prep_during(way-22, use-27)

=========

nsubj(allow-5, They-1)
aux(allow-5, do-2)
neg(allow-5, not-3)
advmod(allow-5, even-4)
root(ROOT-0, allow-5)
amod(communication-8, twoway-7)
prep_for(allow-5, communication-8)
poss(process-12, their-10)
nn(process-12, warranty-11)
prep_with(allow-5, process-12)

=========

nsubj(state-3, They-1)
advmod(state-3, simply-2)
root(ROOT-0, state-3)
complm(needs-7, that-4)
det(camera-6, the-5)
nsubj(needs-7, camera-6)
xsubj(sent-10, camera-6)
ccomp(state-3, needs-7)
aux(sent-10, to-8)
auxpass(sent-10, be-9)
xcomp(needs-7, sent-10)
prep(sent-10, in-11)
nsubj(make-15, they-13)
aux(make-15, 'll-14)
ccomp(state-3, make-15)
conj_and(needs-7, make-15)
poss(determination-18, their-16)
amod(determination-18, own-17)
dobj(make-15, determination-18)
complm(repaired-26, whether-21)
nsubj(repaired-26, it-22)
dep(repaired-26, is-23)
det(repaired-26, a-24)
amod(repaired-26, covered-25)
prepc_as_to(make-15, repaired-26)

=========

nsubj(interesting-3, It-1)
cop(interesting-3, 's-2)
root(ROOT-0, interesting-3)
aux(note-5, to-4)
xcomp(interesting-3, note-5)
complm(make-11, that-6)
det(way-9, the-7)
amod(way-9, only-8)
nsubj(make-11, way-9)
aux(make-11, to-10)
ccomp(note-5, make-11)
xcomp(note-5, make-11)
complm(been-16, that-12)
nsubj(been-16, determination-13)
xsubj(contact-18, determination-13)
