=========

nsubj(interested-4, I-1)
aux(interested-4, have-2)
cop(interested-4, been-3)
root(ROOT-0, interested-4)
det(camera-8, a-6)
amod(camera-8, mirroless-7)
prep_in(interested-4, camera-8)
mark(introduced-12, since-9)
nsubjpass(introduced-12, they-10)
auxpass(introduced-12, were-11)
dep(interested-4, introduced-12)
mark(own-18, since-15)
nsubj(own-18, I-16)
advmod(own-18, already-17)
dep(interested-4, own-18)
conj_but(introduced-12, own-18)
det(camera-21, a-19)
nn(camera-21, Dslr-20)
dobj(own-18, camera-21)
nsubj(question-23, I-22)
rcmod(camera-21, question-23)
det(price-25, the-24)
dobj(question-23, price-25)
det(camera-29, these-27)
amod(camera-29, smaller-28)
prep_of(price-25, camera-29)
det(sensor-33, a-31)
amod(sensor-33, smaller-32)
prep_with(camera-29, sensor-33)

=========

advmod(dropping-6, Now-1)
dep(dropping-6, that-2)
det(prices-4, the-3)
nsubj(dropping-6, prices-4)
aux(dropping-6, are-5)
dep(felt-16, dropping-6)
prep_on(dropping-6, some-8)
det(models-13, the-10)
advmod(older-12, slightly-11)
amod(models-13, older-12)
prep_of(some-8, models-13)
nsubj(felt-16, I-15)
root(ROOT-0, felt-16)
mark(justify-20, like-17)
nsubj(justify-20, I-18)
aux(justify-20, could-19)
advcl(felt-16, justify-20)
det(cost-22, the-21)
dobj(justify-20, cost-22)
prepc_of(cost-22, owning-24)
det(camera-26, another-25)
dobj(owning-24, camera-26)

=========

nsubj(compared-2, I-1)
nsubj(settled-7, I-1)
root(ROOT-0, compared-2)
amod(brands-4, several-3)
dobj(compared-2, brands-4)
advmod(settled-7, finally-6)
conj_and(compared-2, settled-7)
det(EPL2-12, the-9)
nn(EPL2-12, Olympus-10)
nn(EPL2-12, Pen-11)
prep_on(settled-7, EPL2-12)

=========

dep(!!-2, Wow-1)
root(ROOT-0, !!-2)
nsubj(love-4, I-3)
ccomp(!!-2, love-4)
dobj(love-4, it-5)

=========

det(camera-2, This-1)
nsubj(light-4, camera-2)
nsubj(easy-6, camera-2)
cop(light-4, is-3)
root(ROOT-0, light-4)
conj_and(light-4, easy-6)
aux(carry-8, to-7)
xcomp(light-4, carry-8)
advmod(want-13, when-9)
nsubj(want-13, I-10)
xsubj(lug-15, I-10)
aux(want-13, do-11)
neg(want-13, not-12)
advcl(carry-8, want-13)
aux(lug-15, to-14)
xcomp(want-13, lug-15)
poss(camera-19, my-17)
amod(camera-19, larger-18)
prep_around(lug-15, camera-19)

=========

det(menus-2, The-1)
nsubj(easy-4, menus-2)
nsubj(takes-8, menus-2)
nsubj(handles-12, menus-2)
cop(easy-4, are-3)
root(ROOT-0, easy-4)
aux(use-6, to-5)
xcomp(easy-4, use-6)
conj_and(easy-4, takes-8)
amod(pictures-10, excellent-9)
dobj(takes-8, pictures-10)
conj_and(easy-4, handles-12)
advmod(well-14, very-13)
advmod(handles-12, well-14)

=========

nsubj(purchased-3, I-1)
aux(purchased-3, have-2)
root(ROOT-0, purchased-3)
det(viewfinder-6, an-4)
amod(viewfinder-6, electronic-5)
dobj(purchased-3, viewfinder-6)
det(lens-11, a-8)
amod(lens-11, longer-9)
nn(lens-11, zoom-10)
dobj(purchased-3, lens-11)
conj_and(viewfinder-6, lens-11)
nsubj(pleased-16, I-13)
cop(pleased-16, am-14)
advmod(pleased-16, very-15)
conj_and(purchased-3, pleased-16)

=========

nsubj(have-4, I-1)
nsubj(recommend-10, I-1)
aux(have-4, do-2)
neg(have-4, not-3)
root(ROOT-0, have-4)
det(negatives-6, any-5)
dobj(have-4, negatives-6)
aux(recommend-10, would-8)
advmod(recommend-10, highly-9)
conj_and(have-4, recommend-10)
prep_to(recommend-10, anyone-12)
det(knowlege-17, a-14)
amod(knowlege-17, little-15)
nn(knowlege-17, photo-16)
prep_with(recommend-10, knowlege-17)
conj_and(have-4, enjoys-19)
conj_and(recommend-10, enjoys-19)
xcomp(enjoys-19, taking-20)
amod(photographs-22, good-21)
dobj(taking-20, photographs-22)

