=========

advmod(model-22, First-1)
poss(price-5, Amazon-3)
nsubj(model-22, price-5)
cop(model-22, was-6)
amod(model-22, great-7)
dep(model-22, $-9)
num($-9, 150-10)
dep($-9, $-12)
num($-12, 225-13)
amod(model-22, less-14)
prep(less-14, than-15)
advmod(else-17, anywhere-16)
pobj(than-15, else-17)
nsubj(seen-20, I-18)
aux(seen-20, did-19)
rcmod(else-17, seen-20)
dobj(seen-20, this-21)
root(ROOT-0, model-22)
nn(Samsung-26, 5300-24)
nn(Samsung-26, Series-25)
appos(model-22, Samsung-26)

=========

nsubj(hurt-5, It-1)
advmod(hurt-5, also-2)
aux(hurt-5, did-3)
neg(hurt-5, not-4)
root(ROOT-0, hurt-5)
complm(was-8, that-6)
expl(was-8, there-7)
ccomp(hurt-5, was-8)
det(tax-10, no-9)
nsubj(was-8, tax-10)
det(charge-14, no-12)
amod(charge-14, shipping-13)
nsubj(was-8, charge-14)
conj_and(tax-10, charge-14)

=========

nsubj(saved-2, That-1)
partmod(newest-17, saved-2)
iobj(saved-2, me-3)
det($-5, another-4)
dobj(saved-2, $-5)
num($-5, 70-6)
dep($-5, $-8)
num($-8, 80-9)
partmod($-8, !!!-10)
advmod(!!!-10, Secondly-11)
det(TV-14, the-13)
nsubj(newest-17, TV-14)
cop(newest-17, is-15)
det(newest-17, the-16)
root(ROOT-0, newest-17)
nn(TV-22, Samsung-18)
nn(TV-22, SMART-20)
dep(newest-17, TV-22)

=========

nsubj(easy-3, It-1)
cop(easy-3, was-2)
root(ROOT-0, easy-3)
aux(put-5, to-4)
xcomp(easy-3, put-5)
advmod(put-5, together-6)
advmod(follow-9, just-8)
parataxis(put-5, follow-9)
det(manual-11, the-10)
dobj(follow-9, manual-11)

=========

det(TV-2, The-1)
nsubj(measured-3, TV-2)
root(ROOT-0, measured-3)
poss(width-6, 36.5-4)
dobj(measured-3, width-6)
dobj(know-13, what-9)
nsubj(know-13, I-10)
aux(know-13, did-11)
neg(know-13, not-12)
dep(have-23, know-13)
mark(opened-16, until-14)
nsubj(opened-16, I-15)
advcl(know-13, opened-16)
det(manual-18, the-17)
nsubj(is-19, manual-18)
ccomp(opened-16, is-19)
advmod(have-23, arecommend-21)
nsubj(have-23, you-22)
conj_but(measured-3, have-23)
dobj(have-23, 4-24)
prep_of(4-24, space-27)
det(sides-30, all-29)
prep_on(space-27, sides-30)

=========

prep_as(have-4, luck-2)
aux(have-4, would-3)
root(ROOT-0, have-4)
dobj(have-4, it-5)
det(cabinet-7, the-6)
nsubj(have-4, cabinet-7)
dobj(has-10, cabinet-7)
nsubj(has-10, I-8)
aux(has-10, have-9)
rcmod(cabinet-7, has-10)
prep_about(cabinet-7, 5-12)
amod(5-12, left-14)
amod(5-12, right-16)
conj_and(left-14, right-16)

=========

advmod(make-2, So-1)
root(ROOT-0, make-2)
acomp(make-2, sure-3)
amod(ALLOWS-6, YOUR-4)
nn(ALLOWS-6, CABINET-5)
dep(sure-3, ALLOWS-6)
det(OTHERWISE-11, THE-8)
nn(OTHERWISE-11, EXTRA-9)
nn(OTHERWISE-11, SPACE-10)
prep_for(ALLOWS-6, OTHERWISE-11)
prepc_according_to(ALLOWS-6, to-14)
det(manual-16, the-15)
pobj(ALLOWS-6, manual-16)
det(OVERHEAT-23, THE-18)
nn(OVERHEAT-23, TV-19)
nn(OVERHEAT-23, IS-20)
nn(OVERHEAT-23, SUBJECT-21)
nn(OVERHEAT-23, TO-22)
dep(ALLOWS-6, OVERHEAT-23)
nn(DAMAGED-26, BE-25)
dep(ALLOWS-6, DAMAGED-26)
conj_and(OVERHEAT-23, DAMAGED-26)

=========

nsubj(perfect-4, Everything-1)
advmod(Everything-1, else-2)
