=========

dobj(say-4, What-1)
aux(say-4, can-2)
nsubj(say-4, I-3)
root(ROOT-0, say-4)
complm(said-9, that-5)
aux(said-9, has-6)
neg(said-9, not-7)
auxpass(said-9, been-8)
ccomp(say-4, said-9)
advmod(said-9, before-10)

=========

det(TV-2, This-1)
nsubj(HDTV-6, TV-2)
cop(HDTV-6, is-3)
det(HDTV-6, a-4)
amod(HDTV-6, great-5)
root(ROOT-0, HDTV-6)
det(price-9, the-8)
prep_for(HDTV-6, price-9)

=========

det(stand-2, The-1)
nsubj(easy-4, stand-2)
cop(easy-4, is-3)
root(ROOT-0, easy-4)
aux(attach-6, to-5)
xcomp(easy-4, attach-6)
det(TV-9, the-8)
prep_to(attach-6, TV-9)

=========

nsubj(quick-5, Set-1)
nsubj(simple-7, Set-1)
advmod(quick-5, up-2)
cop(quick-5, is-3)
advmod(quick-5, really-4)
root(ROOT-0, quick-5)
conj_and(quick-5, simple-7)
prepc_including(quick-5, updating-9)
det(firmware-11, the-10)
dobj(updating-9, firmware-11)

=========

advmod(together-2, All-1)
advmod(had-4, together-2)
nsubj(had-4, I-3)
root(ROOT-0, had-4)
dep(up-6, it-5)
dep(had-4, up-6)
dep(had-4, running-8)
conj_and(up-6, running-8)
prep_in(running-8, less-10)
advmod(less-10, then-11)
num(minutes-13, 3-12)
dep(less-10, minutes-13)

=========

det(complaints-3, The-1)
amod(complaints-3, only-2)
dobj(with-7, complaints-3)
nsubj(is-10, complaints-3)
nsubj(with-7, I-4)
advmod(with-7, really-5)
aux(with-7, have-6)
rcmod(complaints-3, with-7)
det(TV-9, this-8)
pobj(with-7, TV-9)
root(ROOT-0, is-10)
complm(seem-14, that-11)
det(menus-13, the-12)
nsubj(seem-14, menus-13)
xsubj(lag-16, menus-13)
nsubj(is-23, menus-13)
ccomp(is-10, seem-14)
aux(lag-16, to-15)
xcomp(seem-14, lag-16)
det(bit-19, a-17)
amod(bit-19, small-18)
dobj(lag-16, bit-19)
complm(is-23, that-21)
expl(is-23, there-22)
ccomp(is-10, is-23)
conj_and(seem-14, is-23)
nsubj(seems-25, it-24)
xsubj(have-27, it-24)
ccomp(is-23, seems-25)
aux(have-27, to-26)
xcomp(seems-25, have-27)
det(hook-31, a-28)
amod(hook-31, combined-29)
nn(hook-31, RCA\/Component-30)
dobj(have-27, hook-31)
advmod(hook-31, up-32)

=========

nsubj(liked-4, I-1)
xsubj(have-6, I-1)
aux(liked-4, would-2)
aux(liked-4, have-3)
root(ROOT-0, liked-4)
aux(have-6, to-5)
xcomp(liked-4, have-6)
det(hookups-8, both-7)
dobj(have-6, hookups-8)
advmod(have-6, seperately-9)

=========

nsubj(complaints-5, Those-1)
cop(complaints-5, are-2)
det(complaints-5, the-3)
amod(complaints-5, only-4)
root(ROOT-0, complaints-5)
dobj(level-8, complaints-5)
nsubj(level-8, I-6)
aux(level-8, can-7)
rcmod(complaints-5, level-8)
det(TV-11, this-10)
prep_at(level-8, TV-11)
advmod(level-8, though-12)

=========

cc(recommend-15, So-1)
mark(want-4, if-2)
nsubj(want-4, you-3)
dep(recommend-15, want-4)
det(HDTV-7, a-5)
amod(HDTV-7, good-6)
dobj(want-4, HDTV-7)
det(price-11, a-9)
amod(price-11, good-10)
prep_at(want-4, price-11)
advmod(recommend-15, then-12)
nsubj(recommend-15, I-13)
aux(recommend-15, did-14)
root(ROOT-0, recommend-15)
dobj(recommend-15, it-16)

=========

poss(piece-3, My-1)
num(piece-3, one-2)
nsubj(is-6, piece-3)
prep_of(piece-3, advice-5)
root(ROOT-0, is-6)
mark(say-10, if-7)
nsubj(say-10, you-8)
aux(say-10, have-9)
advcl(is-6, say-10)
det(videogame-13, some-11)
amod(videogame-13, older-12)
nsubj(consoles-14, videogame-13)
ccomp(say-10, consoles-14)
det(PS2-19, a-16)
nn(PS2-19, Gamecube-17)
prep_like(consoles-14, PS2-19)
dep(PS2-19, etc-21)
nsubj(want-24, you-22)
xsubj(get-26, you-22)
aux(want-24, may-23)
ccomp(consoles-14, want-24)
aux(get-26, to-25)
xcomp(want-24, get-26)
det(switcher-28, a-27)
dobj(get-26, switcher-28)
complm(hook-33, that-30)
nsubj(hook-33, you-31)
aux(hook-33, can-32)
ccomp(consoles-14, hook-33)
conj_so(want-24, hook-33)
prt(hook-33, up-34)
amod(RCA-36, multiple-35)
dobj(hook-33, RCA-36)
nn(hookups-39, component-38)
dobj(hook-33, hookups-39)
conj_and(RCA-36, hookups-39)

