=========

nsubj(had-2, Have-1)
nsubj(thought-10, Have-1)
root(ROOT-0, had-2)
det(plasma-4, a-3)
dobj(had-2, plasma-4)
partmod(plasma-4, set-5)
det(while-8, a-7)
prep_for(set-5, while-8)
conj_and(had-2, thought-10)
nsubj(test-13, I-11)
aux(test-13, did-12)
ccomp(thought-10, test-13)
det(waters-15, the-14)
dobj(test-13, waters-15)
det(LED-18, an-17)
prep_with(test-13, LED-18)
mark(suffered-26, since-20)
poss(Panasonic-24, my-21)
amod(Panasonic-24, 14-month-22)
amod(Panasonic-24, old-23)
nsubj(suffered-26, Panasonic-24)
advmod(suffered-26, recently-25)
advcl(test-13, suffered-26)
poss(flashes-30, the-27)
num(flashes-30, 7-29)
dobj(suffered-26, flashes-30)
prep_of(flashes-30, death-32)

=========

cc(story-6, But-1)
nsubj(story-6, that-2)
cop(story-6, 's-3)
det(story-6, a-4)
amod(story-6, different-5)
root(ROOT-0, story-6)

=========

advmod(clear-13, Well-1)
num(day-5, one-4)
prep_after(clear-13, day-5)
det(LED-10, this-7)
num(LED-10, 40-8)
prep_with(day-5, LED-10)
nsubj(clear-13, it-11)
cop(clear-13, is-12)
root(ROOT-0, clear-13)
prep_to(clear-13, me-15)
complm(has-18, that-16)
nsubj(has-18, technology-17)
xsubj(address-21, technology-17)
ccomp(clear-13, has-18)
advmod(has-18, yet-19)
aux(address-21, to-20)
xcomp(has-18, address-21)
det(issue-25, the-22)
amod(issue-25, viewing-23)
nn(issue-25, angle-24)
dobj(address-21, issue-25)
prep_of(issue-25, LEDs-27)

=========

expl(is-2, There-1)
root(ROOT-0, is-2)
neg(is-2, not-3)
advmod(else-5, much-4)
acomp(is-2, else-5)
aux(say-7, to-6)
xcomp(else-5, say-7)
advmod(say-7, here-8)
mark(interested-15, because-10)
nsubj(interested-15, I-11)
cop(interested-15, am-12)
neg(interested-15, not-13)
advmod(interested-15, much-14)
advcl(is-2, interested-15)
advmod(smart-19, how-17)
dep(is-23, smart-19)
det(TV-22, a-21)
nsubj(is-23, TV-22)
prepc_on(interested-15, is-23)
nsubj(want-27, I-25)
advmod(want-27, simply-26)
parataxis(is-2, want-27)
det(picture-30, a-28)
amod(picture-30, great-29)
dobj(want-27, picture-30)

=========

det(TV-3, this-2)
nsubj(deliver-5, TV-3)
aux(deliver-5, does-4)
root(ROOT-0, deliver-5)
det(picture-8, a-6)
amod(picture-8, GREAT-7)
dobj(deliver-5, picture-8)
nn(ONLY-11, BUT-10)
dep(picture-8, ONLY-11)
dobj(sitting-15, ONLY-11)
mark(sitting-15, if-12)
nsubj(sitting-15, you-13)
aux(sitting-15, are-14)
dep(ONLY-11, sitting-15)
advmod(sitting-15, directly-16)
det(TV-21, the-20)
prep_in_front_of(sitting-15, TV-21)
nsubj(lean-26, you-23)
aux(lean-26, do-24)
neg(lean-26, not-25)
conj_and(deliver-5, lean-26)
prt(lean-26, over-27)
det(side-30, either-29)
prep_to(lean-26, side-30)

=========

nsubjpass(shocked-3, I-1)
auxpass(shocked-3, was-2)
root(ROOT-0, shocked-3)
advmod(mangled-12, how-5)
advmod(mangled-12, drastically-6)
det(colors-8, the-7)
nsubj(mangled-12, colors-8)
conj_and(colors-8, contrast-10)
nsubj(mangled-12, contrast-10)
cop(mangled-12, are-11)
prepc_at(shocked-3, mangled-12)
advmod(watching-16, when-13)
nsubj(watching-16, you-14)
aux(watching-16, are-15)
ccomp(mangled-12, watching-16)
advmod(axis-22, just-17)
det(axis-22, a-18)
amod(axis-22, few-19)
num(axis-22, degrees-20)
amod(axis-22, off-center-21)
dobj(watching-16, axis-22)
det(horizontally-25, both-24)
dobj(watching-16, horizontally-25)
conj_and(axis-22, horizontally-25)
dobj(watching-16, vertically-29)
conj_and(axis-22, vertically-29)

=========

nsubj(tell-4, I-1)
aux(tell-4, can-2)
neg(tell-4, not-3)
root(ROOT-0, tell-4)
dobj(tell-4, you-5)
advmod(many-8, exactly-6)
advmod(many-8, how-7)
amod(degrees-9, many-8)
dep(takes-11, degrees-9)
nsubj(takes-11, it-10)
xsubj(notice-13, it-10)
dep(tell-4, takes-11)
aux(notice-13, to-12)
xcomp(takes-11, notice-13)
nn(loss-15, integrity-14)
dobj(notice-13, loss-15)
det(picture-18, the-17)
prep_of(loss-15, picture-18)
nsubj(seems-21, it-20)
conj_but(tell-4, seems-21)
mark(center-32, like-22)
nsubj(center-32, it-23)
cop(center-32, is-24)
quantmod(15-29, as-25)
quantmod(15-29, little-26)
quantmod(15-29, as-27)
quantmod(15-29, about-28)
num(degrees-30, 15-29)
npadvmod(off-31, degrees-30)
advmod(center-32, off-31)
advcl(seems-21, center-32)
det(distance-36, a-34)
amod(distance-36, viewing-35)
prep_at(center-32, distance-36)
advmod(feet-40, about-38)
num(feet-40, 6-7-39)
prep_of(distance-36, feet-40)

=========

quantmod(45-3, about-2)
num(degrees-4, 45-3)
prep_at(forget-6, degrees-4)
root(ROOT-0, forget-6)
prep_about(forget-6, it-8)

=========

neg(sure-2, Not-1)
root(ROOT-0, sure-2)
mark(factor-8, if-3)
amod(distance-5, viewing-4)
nsubj(factor-8, distance-5)
cop(factor-8, is-6)
det(factor-8, a-7)
dep(sure-2, factor-8)

Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

nsubj(giving-3, I-1)
aux(giving-3, am-2)
root(ROOT-0, giving-3)
iobj(giving-3, it-4)
det(stars-8, a-5)
amod(stars-8, generous-6)
num(stars-8, 3-7)
dobj(giving-3, stars-8)
mark(rating-26, because-9)
nsubj(said-13, I-12)
prepc_like(rating-26, said-13)
mark(watching-18, if-15)
nsubj(watching-18, you-16)
aux(watching-18, are-17)
advcl(said-13, watching-18)
dobj(watching-18, head-on-19)
nsubj(rating-26, it-20)
cop(rating-26, is-21)
advmod(rating-26, easily-22)
det(rating-26, a-23)
num(rating-26, 5-24)
nn(rating-26, star-25)
dep(stars-8, rating-26)
prep_from(rating-26, me-28)

=========

nsubj(returning-4, I-1)
aux(returning-4, will-2)
aux(returning-4, be-3)
root(ROOT-0, returning-4)
det(set-7, this-5)
nn(set-7, LED-6)
dobj(returning-4, set-7)
mark(fixed-12, once-8)
poss(Panasonic-10, my-9)
nsubjpass(fixed-12, Panasonic-10)
auxpass(fixed-12, is-11)
advcl(returning-4, fixed-12)

=========

expl(seem-2, There-1)
xsubj(be-4, There-1)
root(ROOT-0, seem-2)
aux(be-4, to-3)
xcomp(seem-2, be-4)
det(choices-7, no-5)
amod(choices-7, other-6)
npadvmod(out-8, choices-7)
advmod(be-4, out-8)
advmod(right-10, there-9)
advmod(be-4, right-10)
advmod(other-12, now-11)
advmod(right-10, other-12)
det(plasma-15, a-14)
prep_than(be-4, plasma-15)
nsubj(discovering-19, I-17)
aux(discovering-19, am-18)
parataxis(be-4, discovering-19)
mark(priority-27, if-21)
nsubj(priority-27, picture-22)
cop(priority-27, is-23)
poss(priority-27, your-24)
number(1-26, #-25)
amod(priority-27, 1-26)
advcl(be-4, priority-27)

