=========

poss(TV-5, My-1)
amod(TV-5, first-2)
nn(TV-5, Flatscreen-3)
nn(TV-5, HD-4)
nsubj(did-8, TV-5)
advmod(TV-5, but-7)
root(ROOT-0, did-8)
det(lot-10, a-9)
dobj(did-8, lot-10)
prep_of(lot-10, comparisons-12)
prepc_before(did-8, pulling-14)
det(trigger-16, the-15)
dobj(pulling-14, trigger-16)
det(model-21, the-18)
num(model-21, 37-19)
prep_on(pulling-14, model-21)

=========

root(ROOT-0, Not-1)
dep(Not-1, to-2)
pobj(to-2, big-3)
advmod(big-3, not-5)
prep_to(not-5, small-7)

=========

aux(want-3, Did-1)
neg(want-3, not-2)
root(ROOT-0, want-3)
det(TV-6, the-4)
dobj(want-3, TV-6)
aux(object-12, to-8)
cop(object-12, be-9)
det(object-12, the-10)
amod(object-12, defining-11)
xcomp(want-3, object-12)
poss(room-16, my-14)
nn(room-16, living-15)
prep_in(object-12, room-16)
conj_but(want-3, wanted-19)
det(factor-25, the-20)
amod(factor-25, gee-22)
nn(factor-25, wiz-23)
nsubj(TV-29, factor-25)
det(TV-29, a-26)
amod(TV-29, large-27)
nn(TV-29, screen-28)
xcomp(wanted-19, TV-29)

=========

det(37-2, The-1)
nsubj(perfect-4, 37-2)
cop(perfect-4, is-3)
root(ROOT-0, perfect-4)
prep_for(perfect-4, this-6)

=========

det(adjusting-3, some-2)
prep_after(wonderful-8, adjusting-3)
det(picture-6, the-5)
nsubj(wonderful-8, picture-6)
nsubj(sharp-10, picture-6)
nsubj(clear-12, picture-6)
cop(wonderful-8, is-7)
root(ROOT-0, wonderful-8)
conj_and(wonderful-8, sharp-10)
conj_and(wonderful-8, clear-12)
advmod(good-16, very-15)
amod(tones-18, good-16)
nn(tones-18, skin-17)
prep_with(wonderful-8, tones-18)

=========

nsubj(bar-5, That-1)
cop(bar-5, 's-2)
det(bar-5, the-3)
root(ROOT-0, bar-5)
det(TV-10, a-8)
amod(TV-10, digital-9)
prep_for(bar-5, TV-10)
advmod(well-13, how-12)
advmod(projects-15, well-13)
nsubj(projects-15, it-14)
dep(TV-10, projects-15)
acomp(projects-15, accurate-16)
xcomp(projects-15, looking-17)
nn(tones-19, skin-18)
dobj(looking-17, tones-19)

=========

csubj(offered-14, Turned-1)
prt(Turned-1, off-2)
dobj(Turned-1, most-3)
det(settings-7, the-5)
amod(settings-7, dynamic-6)
prep_of(most-3, settings-7)
det(menus-13, the-9)
advmod(extensive-11, very-10)
amod(menus-13, extensive-11)
nn(menus-13, adjustment-12)
prep_of(settings-7, menus-13)
root(ROOT-0, offered-14)

=========

det(nice-2, A-1)
nsubj(feature-3, nice-2)
root(ROOT-0, feature-3)
aux(maze-9, can-6)
cop(maze-9, be-7)
det(maze-9, a-8)
conj_but(feature-3, maze-9)
aux(work-11, to-10)
infmod(maze-9, work-11)
prt(work-11, through-12)

=========

mark(set-2, Once-1)
advcl(picture-6, set-2)
det(great-5, a-4)
nsubj(picture-6, great-5)
root(ROOT-0, picture-6)

=========

nsubj(good-3, Sound-1)
cop(good-3, is-2)
root(ROOT-0, good-3)
det(screen-7, a-5)
amod(screen-7, flat-6)
prep_for(good-3, screen-7)
acomp(good-3, better-9)
amod(others-12, many-11)
prep_than(good-3, others-12)
mark(surround-21, if-15)
poss(turn-17, your-16)
nsubj(surround-21, turn-17)
det(simulated-20, the-19)
prep_on(turn-17, simulated-20)
advcl(have-32, surround-21)
acomp(surround-21, sound-22)
nsubj(nice-27, which-24)
cop(nice-27, is-25)
advmod(nice-27, pretty-26)
parataxis(have-32, nice-27)
nsubj(have-32, you-29)
aux(have-32, can-30)
neg(have-32, not-31)
conj_but(good-3, have-32)
dobj(have-32, Clearvoice-34)
nsubj(feature-43, Clearvoice-34)
cop(feature-43, is-38)
advmod(feature-43, also-39)
det(feature-43, a-40)
amod(feature-43, nice-41)
amod(feature-43, audio-42)
rcmod(Clearvoice-34, feature-43)

=========

mark(listen-3, If-1)
nsubj(listen-3, you-2)
advcl(want-11, listen-3)
prep_to(listen-3, music-5)
det(TV-8, this-7)
prep_on(listen-3, TV-8)
nsubj(want-11, you-9)
xsubj(invest-13, you-9)
aux(want-11, will-10)
root(ROOT-0, want-11)
aux(invest-13, to-12)
xcomp(want-11, invest-13)
det(system-17, a-15)
amod(system-17, sound-16)
prep_in(invest-13, system-17)

=========

expl(is-2, There-1)
root(ROOT-0, is-2)
advmod(is-2, only-3)
det(audio-6, a-4)
amod(audio-6, digital-5)
nsubj(is-2, audio-6)
dep(audio-6, out-7)
nsubj(have-12, it-10)
aux(have-12, does-11)
conj_but(is-2, have-12)
det(jack-16, an-13)
amod(jack-16, analog-14)
nn(jack-16, earphone-15)
dobj(have-12, jack-16)
dobj(using-21, jack-16)
rel(using-21, which-18)
nsubj(using-21, I-19)
aux(using-21, am-20)
rcmod(jack-16, using-21)
poss(system-27, my-23)
amod(system-27, old-24)
nn(system-27, computer-25)
nn(system-27, sound-26)
prep_with(using-21, system-27)

=========

neg(best-3, Not-1)
det(best-3, the-2)
nsubj(had-8, best-3)
prep(best-3, but-5)
dep(but-5, I-6)
advmod(had-8, already-7)
root(ROOT-0, had-8)
nsubj(sitting-10, it-9)
ccomp(had-8, sitting-10)
prt(sitting-10, around-11)

=========

advmod(HDTV-24, All-1)
prep_in(All-1, all-3)
mark(go-10, if-5)
det(TV-7, this-6)
nsubj(go-10, TV-7)
aux(go-10, does-8)
neg(go-10, not-9)
advcl(HDTV-24, go-10)
advmod(anytime-12, south-11)
advmod(go-10, anytime-12)
det(years-17, the-14)
amod(years-17, next-15)
amod(years-17, few-16)
prep_in(go-10, years-17)
nsubj(HDTV-24, it-19)
aux(HDTV-24, will-20)
cop(HDTV-24, be-21)
det(HDTV-24, a-22)
amod(HDTV-24, great-23)
root(ROOT-0, HDTV-24)
quantmod($-28, less-26)
quantmod($-28, than-27)
prep_for(HDTV-24, $-28)
number($-28, 450-29)

