=========

nsubj(very-6, Everything-1)
det(TV-4, this-3)
prep_about(Everything-1, TV-4)
cop(very-6, is-5)
root(ROOT-0, very-6)
cop(good-8, is-7)
ccomp(very-6, good-8)

=========

det(trouble-3, The-1)
amod(trouble-3, only-2)
dobj(with-6, trouble-3)
nsubj(is-9, trouble-3)
nsubj(with-6, I-4)
aux(with-6, have-5)
rcmod(trouble-3, with-6)
det(TV-8, this-7)
pobj(with-6, TV-8)
root(ROOT-0, is-9)
complm(recognize-14, that-10)
nsubj(recognize-14, it-11)
aux(recognize-14, can-12)
neg(recognize-14, not-13)
ccomp(is-9, recognize-14)
det(drive-18, an-15)
amod(drive-18, external-16)
nn(drive-18, Hard-17)
nsubj(larger-19, drive-18)
xcomp(recognize-14, larger-19)
num(TB-22, 1-21)
prep_than(recognize-14, TB-22)

=========

nsubj(case-6, Infact-2)
nsubj(case-6, this-3)
cop(case-6, is-4)
det(case-6, the-5)
root(ROOT-0, case-6)
amod(TVs-10, many-8)
amod(TVs-10, other-9)
prep_with(case-6, TVs-10)
advmod(case-6, also-12)
conj(case-6, also-12)
poss(player-18, my-14)
nn(player-18, Roku-15)
num(player-18, 2-16)
nn(player-18, XS-17)
prep_with(case-6, player-18)
conj_and(TVs-10, player-18)
advmod(well-20, as-19)
mwe(well-20, as-19)
dep(case-6, well-20)
dep(case-6, So-22)
nsubj(crib-26, I-23)
dep(crib-26, would-24)
neg(crib-26, not-25)
ccomp(case-6, crib-26)
prt(crib-26, about-27)
det(much-29, this-28)
dobj(crib-26, much-29)

=========

det(cable-4, the-2)
nn(cable-4, HDMI-3)
prep_through(connect-7, cable-4)
nsubj(connect-7, you-5)
aux(connect-7, can-6)
root(ROOT-0, connect-7)
poss(player-13, your-9)
nn(player-13, Computer-10)
appos(player-13, Roku-12)
prep_to(connect-7, player-13)
num(player-13, etc.-14)
det(port-19, the-17)
amod(port-19, USB-18)
nsubj(let-21, port-19)
aux(let-21, will-20)
conj_and(connect-7, let-21)
nsubj(play-23, you-22)
ccomp(let-21, play-23)
det(content-25, the-24)
dobj(play-23, content-25)
det(drive-30, an-27)
amod(drive-30, external-28)
nn(drive-30, Hard-29)
prep_from(play-23, drive-30)
det(drive-34, a-32)
nn(drive-34, Pen-33)
prep_from(play-23, drive-34)
conj_or(drive-30, drive-34)

=========

det(player-5, The-1)
amod(player-5, built-2)
prep_in(built-2, media-4)
nsubj(good-8, player-5)
nsubj(required-14, player-5)
cop(good-8, is-6)
advmod(good-8, very-7)
root(ROOT-0, good-8)
aux(required-14, has-10)
predet(controls-13, all-11)
det(controls-13, the-12)
dobj(required-14, controls-13)
conj_and(good-8, required-14)

=========

det(quality-3, The-1)
nn(quality-3, picture-2)
nsubj(good-6, quality-3)
cop(good-6, is-4)
advmod(good-6, very-5)
root(ROOT-0, good-6)
advmod(good-6, too-7)

=========

prep_for(TV-9, $-2)
num($-2, 500-3)
nsubj(TV-9, this-4)
cop(TV-9, is-5)
det(TV-9, a-6)
advmod(good-8, very-7)
amod(TV-9, good-8)
root(ROOT-0, TV-9)

