=========

nsubj(ordered-2, I-1)
root(ROOT-0, ordered-2)
det(tv-4, this-3)
nsubj(aware-5, tv-4)
xcomp(ordered-2, aware-5)
det(lottery-10, the-7)
nn(lottery-10, LG-8)
nn(lottery-10, panel-9)
prep_of(aware-5, lottery-10)
nsubj(doubted-13, I-12)
conj_but(ordered-2, doubted-13)
det(inch-16, the-14)
num(inch-16, 42-15)
nsubj(VA.-20, inch-16)
aux(VA.-20, would-17)
cop(VA.-20, be-18)
det(VA.-20, a-19)
ccomp(doubted-13, VA.-20)

=========

amod(cases-3, Most-1)
nn(cases-3, VA-2)
dobj(seen-6, cases-3)
nsubj(inch-11, cases-3)
nsubj(seen-6, I-4)
aux(seen-6, have-5)
rcmod(cases-3, seen-6)
cop(inch-11, are-7)
num(inch-11, 32-8)
conj_or(32-8, 37-10)
num(inch-11, 37-10)
root(ROOT-0, inch-11)

=========

nsubj(received-2, I-1)
nsubj(got-5, I-1)
root(ROOT-0, received-2)
dobj(received-2, it-3)
conj_and(received-2, got-5)
advmod(got-5, unlucky-6)
det('D-9, the-8)
poss(panel-11, 'D-9)
prep_with(got-5, panel-11)
nsubj(means-14, panel-11)
advmod(means-14, usually-13)
rcmod(panel-11, means-14)
dobj(means-14, VA-15)
prep_instead_of(VA-15, IPS-18)

=========

nsubj(ran-2, I-1)
nsubj(confirmed-7, I-1)
ccomp(good-42, ran-2)
det(test-5, the-3)
amod(test-5, loupe-4)
dobj(ran-2, test-5)
conj_and(ran-2, confirmed-7)
ccomp(good-42, confirmed-7)
complm(Pros-14, that-8)
nsubj(Pros-14, it-9)
cop(Pros-14, is-10)
number(%-12, 100-11)
amod(Pros-14, %-12)
nn(Pros-14, VA.-13)
ccomp(confirmed-7, Pros-14)
amod(picture-19, Cheap-16)
amod(picture-19, Nice-18)
nsubj(looks-25, picture-19)
appos(picture-19, plenty-21)
prep_of(plenty-21, inputs-23)
parataxis(ran-2, looks-25)
acomp(looks-25, good-26)
num(features-36, 360-28)
amod(features-36, decent-30)
nn(features-36, input-31)
nn(features-36, lag-32)
amod(features-36, nice-34)
amod(features-36, basic-35)
prep_with(good-26, features-36)
det(blacks-39, the-38)
nsubj(good-42, blacks-39)
cop(good-42, are-40)
advmod(good-42, pretty-41)
root(ROOT-0, good-42)

=========

root(ROOT-0, Cons-1)
nn(bottom-5, Ugly-3)
amod(bottom-5, brown-4)
dep(Cons-1, bottom-5)
appos(bottom-5, chance-7)
prepc_of(chance-7, getting-9)
dobj(getting-9, VA-10)
advmod(barebones-13, very-12)
amod(VA-10, barebones-13)
expl('s-16, there-15)
rcmod(VA-10, 's-16)
det(way-18, no-17)
nsubj('s-16, way-18)
poss(version-21, my-19)
nn(version-21, VA-20)
nsubj(has-22, version-21)
rcmod(way-18, has-22)
amod(time-25, 4ms-23)
nn(time-25, response-24)
dobj(has-22, time-25)

=========

advmod(rated-6, Overall-1)
nsubj(rated-6, I-3)
aux(rated-6, would-4)
aux(rated-6, have-5)
root(ROOT-0, rated-6)
det(tv-8, this-7)
dobj(rated-6, tv-8)
quantmod(five-10, a-9)
num(tv-8, five-10)
advmod(rated-6, just-12)
conj_but(rated-6, just-12)
mark(runs-15, because-13)
nsubj(runs-15, LG-14)
advcl(rated-6, runs-15)
conj_but(rated-6, runs-15)
det(ima-19, the-16)
nn(ima-19, panel-17)
nn(ima-19, lottery-18)
nsubj(give-20, ima-19)
ccomp(runs-15, give-20)
iobj(give-20, it-21)
dobj(give-20, -1-22)

=========

nsubj(have-2, I-1)
xsubj(run-5, I-1)
root(ROOT-0, have-2)
advmod(have-2, yet-3)
aux(run-5, to-4)
xcomp(have-2, run-5)
num(chroma-7, 4:4:4-6)
dobj(run-5, chroma-7)

=========

nsubj(heard-3, I-1)
aux(heard-3, have-2)
root(ROOT-0, heard-3)
amod(reviews-5, mixed-4)
dobj(heard-3, reviews-5)
prep(heard-3, to-6)
complm(do-14, whether-7)
ccomp(heard-3, not-9)
conj_or(do-14, not-9)
det(panel-12, the-10)
nn(panel-12, VA-11)
nsubj(do-14, panel-12)
aux(do-14, can-13)
ccomp(heard-3, do-14)
advmod(do-14, so-15)

=========

nsubj(come-2, Ill-1)
nsubj(edit-5, Ill-1)
root(ROOT-0, come-2)
advmod(come-2, back-3)
conj_and(come-2, edit-5)
dobj(edit-5, it-6)
advmod(edit-5, later-7)

=========

mark(did-8, If-1)
poss(i-7, your-2)
advmod(picky-4, really-3)
amod(i-7, picky-4)
prep_about(picky-4, IPS-6)
nsubj(did-8, i-7)
csubj(stay-9, did-8)
root(ROOT-0, stay-9)
prepc_away_from(stay-9, buying-12)
det(model-14, this-13)
dobj(buying-12, model-14)
prep_on(buying-12, Amazon-16)

