=========

nn(TV-2, LG-1)
nsubj(arrived-3, TV-2)
root(ROOT-0, arrived-3)
advmod(packed-7, quickly-4)
conj_and(quickly-4, well-6)
advmod(packed-7, well-6)
acomp(arrived-3, packed-7)

=========

nsubj(easy-4, It-1)
cop(easy-4, was-2)
advmod(easy-4, very-3)
root(ROOT-0, easy-4)
aux(install-6, to-5)
xcomp(easy-4, install-6)
mark(mount-10, as-7)
det(wall-9, a-8)
nsubj(mount-10, wall-9)
advcl(install-6, mount-10)
nsubj(had-13, I-12)
parataxis(mount-10, had-13)
det(mount-16, a-14)
amod(mount-16, suitable-15)
dobj(had-13, mount-16)
mark(light-22, as-18)
nsubj(light-22, it-19)
cop(light-22, is-20)
advmod(light-22, very-21)
advcl(mount-10, light-22)
det(lbs-31, a-24)
advmod(large-26, fairly-25)
amod(lbs-31, large-26)
nn(lbs-31, screen-27)
number(+-30, 18-29)
num(lbs-31, +-30)
prep_for(light-22, lbs-31)

=========

advmod(TV-7, Even-1)
dep(TV-7, though-2)
nsubj(TV-7, it-3)
nsubj(hooked-10, it-3)
cop(TV-7, is-4)
det(TV-7, a-5)
amod(TV-7, secondary-6)
advcl(good-19, TV-7)
neg(hooked-10, not-9)
conj_and(TV-7, hooked-10)
advcl(good-19, hooked-10)
prep_to(hooked-10, HD-12)
det(quality-16, the-14)
nn(quality-16, picture-15)
nsubj(good-19, quality-16)
cop(good-19, is-17)
advmod(good-19, very-18)
root(ROOT-0, good-19)

=========

det(bargain-3, A-1)
amod(bargain-3, true-2)
nsubj(purchased-11, bargain-3)
det(brand-7, a-5)
nn(brand-7, name-6)
prep_in(bargain-3, brand-7)
det(price-10, the-9)
prep_at(brand-7, price-10)
root(ROOT-0, purchased-11)

