=========

nsubj(would-2, I-1)
nsubj(arrived-32, I-1)
root(ROOT-0, would-2)
advmod(reccomend-4, highly-3)
dep(purchased-10, reccomend-4)
partmod(purchased-10, using-5)
det(provider-7, this-6)
dobj(using-5, provider-7)
nsubj(purchased-10, we-9)
nsubj(wonderful-23, we-9)
dep(would-2, purchased-10)
det(product-13, a-11)
amod(product-13, refurbished-12)
dobj(purchased-10, product-13)
cc(came-16, but-14)
nsubj(came-16, it-15)
dep(purchased-10, came-16)
det(box-20, a-18)
amod(box-20, secure-19)
prep_in(came-16, box-20)
dep(wonderful-23, works-22)
dep(would-2, wonderful-23)
conj_and(purchased-10, wonderful-23)
nsubj(present-30, it-25)
cop(present-30, was-26)
det(present-30, a-27)
amod(present-30, good-28)
nn(present-30, Chirstmas-29)
dep(would-2, present-30)
conj_and(purchased-10, present-30)
conj_and(would-2, arrived-32)
amod(time-35, good-34)
prep_in(arrived-32, time-35)

