=========

nsubj(found-2, I-1)
root(ROOT-0, found-2)
det(camera-4, this-3)
dobj(found-2, camera-4)
aux(value-9, to-5)
cop(value-9, be-6)
det(value-9, a-7)
amod(value-9, good-8)
infmod(camera-4, value-9)
det(price-12, the-11)
prep_for(value-9, price-12)

=========

nsubj(figured-4, I-1)
aux(figured-4, have-2)
neg(figured-4, not-3)
root(ROOT-0, figured-4)
prt(figured-4, out-5)
predet(settings-8, all-6)
det(settings-8, the-7)
dobj(figured-4, settings-8)
complm(has-12, that-9)
det(camera-11, this-10)
nsubj(has-12, camera-11)
nsubj(happy-15, camera-11)
ccomp(figured-4, has-12)
cop(happy-15, am-14)
ccomp(figured-4, happy-15)
conj_but(has-12, happy-15)
prep_with(happy-15, most-17)
det(results-20, the-19)
prep_of(most-17, results-20)
dobj(got-23, results-20)
nsubj(got-23, I-21)
aux(got-23, have-22)
rcmod(results-20, got-23)
det(camera-26, this-25)
prep_with(got-23, camera-26)

=========

nsubj(easier-4, It-1)
aux(easier-4, would-2)
cop(easier-4, be-3)
root(ROOT-0, easier-4)
aux(have-6, to-5)
xcomp(easier-4, have-6)
det(manual-8, a-7)
dobj(have-6, manual-8)
nsubj(explains-10, that-9)
nsubj(use-17, that-9)
dep(easier-4, explains-10)
det(settings-13, the-11)
amod(settings-13, various-12)
dobj(explains-10, settings-13)
advmod(use-17, how-15)
aux(use-17, to-16)
dep(easier-4, use-17)
conj_and(explains-10, use-17)
dobj(use-17, them-18)
prepc_instead_of(use-17, having-21)
aux(go-23, to-22)
xcomp(having-21, go-23)
prep(go-23, online-24)
aux(look-26, to-25)
xcomp(go-23, look-26)
dobj(look-26, it-27)
prt(look-26, up-28)

=========

det(practice-2, This-1)
nsubj(NEGATIVE-15, practice-2)
prep_of(practice-2, manufactures-4)
advmod(adding-6, just-5)
partmod(manufactures-4, adding-6)
det(manual-8, a-7)
dobj(adding-6, manual-8)
amod(operation-11, basic-10)
prep_for(manual-8, operation-11)
cop(NEGATIVE-15, is-12)
det(NEGATIVE-15, a-13)
nn(NEGATIVE-15, BIG-14)
root(ROOT-0, NEGATIVE-15)
prep_on(NEGATIVE-15, RATINGS-17)

=========

nsubj(want-2, I-1)
xsubj(know-4, I-1)
root(ROOT-0, want-2)
aux(know-4, to-3)
xcomp(want-2, know-4)
advmod(use-7, how-5)
aux(use-7, to-6)
ccomp(know-4, use-7)
xcomp(know-4, use-7)
predet(functions-11, all-8)
det(functions-11, the-9)
nn(functions-11, products-10)
dobj(use-7, functions-11)
prepc_without(use-7, having-13)
aux(go-15, to-14)
xcomp(having-13, go-15)
prep(go-15, online-16)

=========

nsubj(want-2, I-1)
root(ROOT-0, want-2)
aux(have-4, to-3)
dep(want-2, have-4)
det(manual-6, a-5)
dobj(have-4, manual-6)
poss(hands-9, my-8)
prep_in(manual-6, hands-9)
prepc_for(hands-9, looking-11)
prt(looking-11, up-12)
det(functions-15, the-13)
amod(functions-15, different-14)
dobj(looking-11, functions-15)
advmod(use-21, how-17)
dep(how-17, and-18)
dep(how-17, when-19)
aux(use-21, to-20)
dep(want-2, use-21)
conj_and(have-4, use-21)
dobj(use-21, them-22)
prt(use-21, out-23)
det(field-26, the-25)
prep_in(use-21, field-26)
advmod(have-31, when-27)
nsubj(have-31, I-28)
aux(have-31, do-29)
neg(have-31, not-30)
advcl(use-21, have-31)
amod(access-33, online-32)
dobj(have-31, access-33)

=========

nsubj(something-3, This-1)
cop(something-3, is-2)
ccomp(have-15, something-3)
complm(manufactures-6, that-4)
nsubj(manufactures-6, all-5)
ccomp(something-3, manufactures-6)
aux(do-8, should-7)
ccomp(manufactures-6, do-8)
det(satifaction-12, the-10)
nn(satifaction-12, consumers-11)
prep_for(do-8, satifaction-12)
nsubj(have-15, they-14)
root(ROOT-0, have-15)
det(manual-18, the-16)
amod(manual-18, full-17)
dobj(have-15, manual-18)
amod(manual-18, online-19)
advmod(online-19, so-20)
aux(save-22, to-21)
xcomp(online-19, save-22)
dobj(save-22, costs-23)
nsubj(give-25, they-24)
rcmod(costs-23, give-25)
iobj(give-25, you-26)
dobj(give-25, manuals-27)
nsubj(basic-31, manuals-27)
cop(basic-31, are-29)
advmod(basic-31, very-30)
rcmod(manuals-27, basic-31)
xcomp(online-19, really-33)
conj_and(save-22, really-33)
det(use-36, no-35)
prep_of(really-33, use-36)
det(consumer-39, the-38)
prep_to(use-36, consumer-39)

=========

advmod(cheap-9, So-1)
det(manufactures-4, all-3)
prep_to(So-1, manufactures-4)
aux(cheap-9, do-5)
neg(cheap-9, not-6)
cop(cheap-9, be-7)
advmod(cheap-9, so-8)
root(ROOT-0, cheap-9)
dep(cheap-9, start-10)
partmod(start-10, giving-11)
det(consumer-13, the-12)
iobj(giving-11, consumer-13)
det(manual-16, a-14)
amod(manual-16, full-15)
dobj(giving-11, manual-16)
poss(products-19, your-18)
prep_with(manual-16, products-19)

=========

nsubj(believe-4, I-1)
aux(believe-4, do-2)
neg(believe-4, not-3)
root(ROOT-0, believe-4)
dobj(believe-4, That-5)
nsubj(one-10, I-6)
cop(one-10, am-7)
det(one-10, the-8)
amod(one-10, only-9)
rcmod(That-5, one-10)
nsubj(feels-12, one-10)
rcmod(one-10, feels-12)
det(way-14, this-13)
dobj(feels-12, way-14)
det(subject-17, this-16)
prep_on(way-14, subject-17)

