Sentence skipped: no PCFG fallback.
SENTENCE_SKIPPED_OR_UNPARSABLE
=========

nsubj(using-4, I-1)
aux(using-4, have-2)
aux(using-4, been-3)
root(ROOT-0, using-4)
det(TV-6, this-5)
dobj(using-4, TV-6)
advmod(using-4, now-7)
det(month-10, a-9)
prep_for(using-4, month-10)
nsubj(is-13, it-12)
conj_and(using-4, is-13)
advmod(is-13, just-14)
amod(picture-19, good-16)
amod(picture-19, amazing-18)
prep_as(is-13, picture-19)
ccomp(is-13, watching-21)
dobj(watching-21, Bluray-22)
prep_on(Bluray-22, it-24)
ccomp(is-13, playing-26)
conj_and(watching-21, playing-26)
nsubj(look-31, PS3\/360-27)
conj_and(PS3\/360-27, they-29)
nsubj(look-31, they-29)
advmod(look-31, all-30)
ccomp(playing-26, look-31)
acomp(look-31, great-32)

=========

det(TV-2, The-1)
nsubj(heavy-6, TV-2)
nsubj(looks-8, TV-2)
cop(heavy-6, is-3)
neg(heavy-6, not-4)
advmod(heavy-6, too-5)
root(ROOT-0, heavy-6)
conj_and(heavy-6, looks-8)
dobj(looks-8, slick-9)

=========

nsubj(liked-4, I-1)
aux(liked-4, would-2)
aux(liked-4, have-3)
root(ROOT-0, liked-4)
det(port-8, an-5)
amod(port-8, additional-6)
nn(port-8, HDMI-7)
dobj(liked-4, port-8)
nsubj(issue-15, that-10)
cop(issue-15, 's-11)
neg(issue-15, not-12)
det(issue-15, a-13)
amod(issue-15, major-14)
conj_but(liked-4, issue-15)

=========

nn(products-2, Sony-1)
nsubj(quality-5, products-2)
cop(quality-5, are-3)
advmod(quality-5, high-4)
root(ROOT-0, quality-5)
conj_and(quality-5, last-7)
det(time-11, a-9)
amod(time-11, long-10)
prep_for(quality-5, time-11)
dep(time-11, both-12)
poss(Bravia-15, my-13)
amod(Bravia-15, previous-14)
conj(time-11, Bravia-15)
nsubj(been-19, PS3-17)
aux(been-19, have-18)
conj_and(quality-5, been-19)
amod(use-22, constant-21)
prep_in(been-19, use-22)
prep_since(been-19, 2008-24)
nsubj(work-28, they-26)
advmod(work-28, still-27)
conj_and(quality-5, work-28)
conj_and(been-19, work-28)

=========

nsubj(recommend-4, I-1)
aux(recommend-4, would-2)
advmod(recommend-4, definitely-3)
root(ROOT-0, recommend-4)
det(TV-6, this-5)
dobj(recommend-4, TV-6)
nsubj(find-11, you-8)
aux(find-11, will-9)
neg(find-11, not-10)
dep(recommend-4, find-11)
det(HDTV-16, a-12)
advmod(HDTV-16, better-13)
num(inches-15, 40-14)
pobj(better-13, inches-15)
dobj(find-11, HDTV-16)
quantmod($-19, under-18)
prep_for(find-11, $-19)
number($-19, 500-20)

